
[00:00:00.000 --> 00:00:02.760]  當我們要去認識一個新的領域
[00:00:02.760 --> 00:00:03.920]  新的產品
[00:00:03.920 --> 00:00:05.400]  我們經常都會鼓勵別人
[00:00:05.400 --> 00:00:06.320]  來看看吧
[00:00:06.320 --> 00:00:08.320]  先來看看吧
[00:00:08.320 --> 00:00:10.080]  看是第一步
[00:00:10.080 --> 00:00:13.040]  也是重要的一步
[00:00:13.040 --> 00:00:14.120]  我二十歲那年
[00:00:14.120 --> 00:00:16.560]  就是因爲牧者跟我說了一句
[00:00:16.560 --> 00:00:17.560]  來看看吧
[00:00:17.560 --> 00:00:20.760]  就去了我第一次的短孫
[00:00:20.760 --> 00:00:22.360]  話說那時候在讀書
[00:00:22.360 --> 00:00:24.520]  在七月的時候
[00:00:24.520 --> 00:00:26.440]  我成長的教會的總會
[00:00:26.440 --> 00:00:28.840]  即是類似現在的生命堂聯會
[00:00:28.840 --> 00:00:32.040]  就搞了一個短孫去臺灣
[00:00:32.040 --> 00:00:34.960]  去協辦一個兒童暑期聖經班
[00:00:34.960 --> 00:00:36.480]  因爲我成長的教會
[00:00:36.480 --> 00:00:38.280]  是我讀的那間小學
[00:00:38.280 --> 00:00:40.600]  教會每一年都會爲小學生
[00:00:40.600 --> 00:00:42.720]  去舉辦暑期聖經班
[00:00:42.720 --> 00:00:44.680]  所以自從中三開始
[00:00:44.680 --> 00:00:46.640]  我就每一年的暑假都有幫忙
[00:00:46.640 --> 00:00:48.160]  當然最初的時候
[00:00:48.160 --> 00:00:49.440]  我都是幫忙收拾一下凳子
[00:00:49.440 --> 00:00:50.400]  設一下牆
[00:00:50.400 --> 00:00:52.000]  預備一下茶點
[00:00:52.000 --> 00:00:53.240]  到了第二第三年
[00:00:53.240 --> 00:00:55.400]  就慢慢開始學戴遊戲
[00:00:55.400 --> 00:00:57.080]  做手工
[00:00:57.080 --> 00:01:00.040]  所以當我知道有機會去臺灣
[00:01:00.040 --> 00:01:02.040]  幫忙暑期聖經班
[00:01:02.040 --> 00:01:03.960]  還有我幾個好朋友都一起去
[00:01:03.960 --> 00:01:05.920]  所以很興奮 很期待
[00:01:05.920 --> 00:01:08.160]  就報名參加了
[00:01:08.160 --> 00:01:11.280]  我們要準備訓練
[00:01:11.280 --> 00:01:12.840]  一切都準備好了
[00:01:12.840 --> 00:01:14.920]  但是就快要出發的時候
[00:01:14.920 --> 00:01:16.440]  我就開始焦急了
[00:01:16.440 --> 00:01:18.480]  因爲我的簽證
[00:01:18.480 --> 00:01:20.720]  遲遲都未批出
[00:01:20.720 --> 00:01:23.120]  結果我的臺灣簽證
[00:01:23.120 --> 00:01:27.200]  就在大隊出發之後才批出
[00:01:27.200 --> 00:01:30.000]  我就是去不成的
[00:01:30.000 --> 00:01:31.600]  所以是沒有去到
[00:01:31.600 --> 00:01:34.840]  不過原來神是爲我預備了另一條路
[00:01:34.840 --> 00:01:37.080]  是我想都沒有想過的
[00:01:37.080 --> 00:01:39.760]  因爲報名去這一次的臺灣短孫
[00:01:39.760 --> 00:01:42.320]  我就認識了總會的牧師
[00:01:42.320 --> 00:01:43.960]  牧師就跟我說
[00:01:43.960 --> 00:01:48.040]  他說我們八月有一個國內的團
[00:01:48.040 --> 00:01:50.960]  不如你去那個團吧
[00:01:50.960 --> 00:01:54.200]  我想都沒有想過
[00:01:54.200 --> 00:01:56.720]  國內?
[00:01:56.720 --> 00:01:58.840]  而且我國內也有些親戚
[00:01:58.840 --> 00:02:00.240]  我真的完全想象不到
[00:02:00.240 --> 00:02:03.240]  國內人怎麼信耶穌
[00:02:03.240 --> 00:02:07.280]  而且我不懂得跟大人傳福音
[00:02:07.280 --> 00:02:08.800]  當時牧師就說
[00:02:08.800 --> 00:02:11.400]  反正你放暑假沒事做
