
[00:00:00.000 --> 00:00:04.700]  有沒有看過耶穌跳舞?
[00:00:04.700 --> 00:00:10.960]  我相信耶穌在加拿大婚宴也會跳舞
[00:00:10.960 --> 00:00:18.000]  今天我們探討一下音樂、歌唱
[00:00:18.000 --> 00:00:24.780]  在希臘的一個小島
[00:00:24.780 --> 00:00:26.260]  所以這個和音樂沒有關係
[00:00:26.260 --> 00:00:29.220]  這個是技術的問題
[00:00:29.220 --> 00:00:32.140]  在希臘 我曾經去希臘
[00:00:32.140 --> 00:00:37.360]  當時是和影音使團一起去拍攝一些
[00:00:37.360 --> 00:00:40.380]  有關啟示錄的特輯
[00:00:40.380 --> 00:00:44.860]  去到這個很優美的白魔島
[00:00:44.860 --> 00:00:49.440]  白魔島就是仕途一項在那裏寫啟示錄的
[00:00:49.440 --> 00:00:54.820]  你看中間那幅圖就是當時仕途讓在山洞那裏
[00:00:54.820 --> 00:01:00.440]  耶穌向他顯現 而知道末世的秘密
[00:01:00.440 --> 00:01:05.700]  而山洞望出去就是左邊的那幅相 一個美麗的大海
[00:01:05.700 --> 00:01:09.540]  右邊的那幅相就是當時這個山洞
[00:01:09.540 --> 00:01:11.920]  現在建了一個修道院
[00:01:11.920 --> 00:01:14.500]  那個時期我們就在這個地方
[00:01:14.500 --> 00:01:20.360]  有沒有看過耶穌跳舞的最高層
[00:01:20.360 --> 00:01:26.180]  我們就想去拍攝一些裏面的一些他收藏的古物
[00:01:26.180 --> 00:01:29.440]  因為影音使團 城市電視
[00:01:29.440 --> 00:01:35.700]  但是誰才是他們的最高領導的主席呢?
[00:01:35.700 --> 00:01:40.440]  問題我們就想 通常那些修道高的人都是留鬍子的
[00:01:40.440 --> 00:01:44.120]  所以到處看看有沒有一些留鬍子的人
[00:01:44.120 --> 00:01:47.240]  越鬍子越多就是越高級
[00:01:47.240 --> 00:01:50.300]  所以我們當時就嘗試去找這些留鬍子的人
[00:01:50.300 --> 00:01:52.940]  逐個問一下 你是不是院長?
[00:01:52.940 --> 00:01:55.500]  結果我們去到山頂
[00:01:55.500 --> 00:01:58.020]  就是那個修道院再高一點的山上面
[00:01:58.020 --> 00:02:05.240]  看到有個有鬍子的人 他在那裏在望著天地
[00:02:05.240 --> 00:02:09.120]  望著大海在那裏思考
