
[00:00:00.000 --> 00:00:03.000]  我們一起重讀七節聖經好嗎?
[00:00:03.000 --> 00:00:07.000]  我們讀一讀提摩太后書第二章一至到七節
[00:00:07.000 --> 00:00:09.000]  我們一起重讀這七節聖經
[00:00:09.000 --> 00:00:10.000]  準備
[00:00:10.000 --> 00:00:16.000]  我兒啊!你要在基督耶穌的恩典上剛強起來
[00:00:16.000 --> 00:00:21.000]  你在許多見證人面前聽見我所教訓的
[00:00:21.000 --> 00:00:26.000]  也要交託那忠心能教導別人的人
[00:00:26.000 --> 00:00:28.000]  你要和我同受苦難
[00:00:28.000 --> 00:00:31.000]  好像基督耶穌的正兵
[00:00:31.000 --> 00:00:34.000]  凡在軍中當兵的
[00:00:34.000 --> 00:00:36.000]  不將誓謀纏身
[00:00:36.000 --> 00:00:40.000]  好叫那招他當兵的人喜悅
[00:00:40.000 --> 00:00:42.000]  人若在牆上比武
[00:00:42.000 --> 00:00:46.000]  非按規矩就不能得冠冕
[00:00:46.000 --> 00:00:48.000]  勞力的農夫
[00:00:48.000 --> 00:00:51.000]  你當先得糧食
[00:00:51.000 --> 00:00:54.000]  我所說的話你要思想
[00:00:54.000 --> 00:00:58.000]  因為凡事主必給你聰明
[00:00:58.000 --> 00:01:00.000]  其實當我在上星期三
[00:01:00.000 --> 00:01:02.000]  教會跟我說
[00:01:02.000 --> 00:01:05.000]  可不可以在年語會那邊說幾分鐘的東西
[00:01:05.000 --> 00:01:08.000]  當時我心裡邊都覺得都可以的
[00:01:08.000 --> 00:01:10.000]  可以說幾分鐘的說話
[00:01:10.000 --> 00:01:13.000]  但當日的年語會因為很多東西要報告
[00:01:13.000 --> 00:01:14.000]  很多東西要分享
[00:01:14.000 --> 00:01:16.000]  又要修改一些典章
[00:01:16.000 --> 00:01:18.000]  時間是長了
[00:01:18.000 --> 00:01:19.000]  於是我就說
[00:01:19.000 --> 00:01:22.000]  不如將那五分鐘變成兩分鐘
[00:01:22.000 --> 00:01:25.000]  多三分鐘大家可以做點酒
[00:01:25.000 --> 00:01:27.000]  當時我就說了兩節聖經
[00:01:27.000 --> 00:01:29.000]  送給教會
[00:01:29.000 --> 00:01:30.000]  第一節就說
[00:01:30.000 --> 00:01:32.000]  我們要忘記背後
[00:01:32.000 --> 00:01:33.000]  勞力面前
[00:01:33.000 --> 00:01:36.000]  我們要向著彪竿直跑
[00:01:36.000 --> 00:01:38.000]  第二段聖經我就說
[00:01:38.000 --> 00:01:39.000]  保羅說
[00:01:39.000 --> 00:01:41.000]  如今常傳的有信
[00:01:41.000 --> 00:01:42.000]  有望
[00:01:42.000 --> 00:01:43.000]  有愛
[00:01:43.000 --> 00:01:45.000]  其中最大的就是愛
[00:01:45.000 --> 00:01:48.000]  當然我相信保羅絕對不是否定
[00:01:48.000 --> 00:01:50.000]  信和望的重要性
[00:01:50.000 --> 00:01:52.000]  而是我們很深信今天我們人生當中
[00:01:52.000 --> 00:01:54.000]  在人際的關係裡邊
[00:01:54.000 --> 00:01:57.000]  最重要的是我們人與人之間的關心
[00:01:57.000 --> 00:01:59.000]  那種愛
[00:01:59.000 --> 00:02:00.000]  但我說因為只有兩分鐘
[00:02:00.000 --> 00:02:03.000]  我沒辦法去詮釋這兩節聖經
[00:02:03.000 --> 00:02:05.000]  於是我就預告了
[00:02:05.000 --> 00:02:06.000]  不如這個週末
[00:02:06.000 --> 00:02:09.000]  我就會去詮釋這兩節聖經
[00:02:09.000 --> 00:02:13.000]  能夠怎樣運用在我們今天這個世代裡邊
[00:02:13.000 --> 00:02:14.000]  但大家可能會覺得
[00:02:14.000 --> 00:02:18.000]  為什麼我又會讀提摩太后書第二章
[00:02:18.000 --> 00:02:21.000]  究竟和這兩節聖經的關係在哪裡
[00:02:21.000 --> 00:02:23.000]  提摩太后我經常都說
[00:02:23.000 --> 00:02:25.000]  過去十多年我經常都說
[00:02:25.000 --> 00:02:29.000]  一代要比一代精彩
[00:02:29.000 --> 00:02:32.000]  大家可能聽過我說無數次
[00:02:32.000 --> 00:02:33.000]  因為我經常都覺得
[00:02:33.000 --> 00:02:36.000]  不應該說一代不如一代
[00:02:36.000 --> 00:02:39.000]  因為當我們說一代不如一代的時候
[00:02:39.000 --> 00:02:42.000]  我們永遠是在奏助我們下一代
[00:02:42.000 --> 00:02:43.000]  望著下一代
[00:02:43.000 --> 00:02:44.000]  你是不如我這一代
[00:02:44.000 --> 00:02:48.000]  但如果我們說我們的神是祝福的神
[00:02:48.000 --> 00:02:50.000]  我們的神不是奏助的神
[00:02:50.000 --> 00:02:52.000]  我們沒理由將這個奏助
[00:02:52.000 --> 00:02:54.000]  一代一代傳下去
[00:02:54.000 --> 00:02:56.000]  反而我們是要將祝福
[00:02:56.000 --> 00:02:58.000]  一代一代傳下去
[00:02:58.000 --> 00:03:02.000]  以致我們說一代是要精彩過一代
[00:03:02.000 --> 00:03:03.000]  但另一方面
[00:03:03.000 --> 00:03:08.000]  我們怎樣將這一代比一代精彩的訊息
[00:03:08.000 --> 00:03:12.000]  能夠透過我在年語會所說的兩節聖經
[00:03:12.000 --> 00:03:15.000]  和今天這七節聖經的關係在哪裡
