
[00:00:00.000 --> 00:00:08.480]  今天我們講到的經文會在羅馬書第二章28-29節
[00:00:08.480 --> 00:00:10.480]  我們一起讀
[00:00:10.480 --> 00:00:12.480]  準備起
[00:00:12.480 --> 00:00:15.080]  因為外表是猶太人的
[00:00:15.080 --> 00:00:17.080]  不是真猶太人
[00:00:17.080 --> 00:00:19.080]  外表肉身的國禮
[00:00:19.080 --> 00:00:21.080]  也不是真國禮
[00:00:21.080 --> 00:00:23.680]  唯有內心作猶太人的
[00:00:23.680 --> 00:00:25.680]  才是真猶太人
[00:00:25.680 --> 00:00:28.280]  真國禮也是心裡的
[00:00:28.280 --> 00:00:30.280]  在乎聖靈
[00:00:30.280 --> 00:00:32.280]  不在乎移民
[00:00:32.280 --> 00:00:34.280]  這樣的人所受的稱讚
[00:00:34.280 --> 00:00:36.280]  不是從人來的
[00:00:36.280 --> 00:00:38.280]  而是從神來的
[00:00:38.280 --> 00:00:41.280]  保羅為什麼會講到國禮
[00:00:41.280 --> 00:00:43.280]  其實在前面
[00:00:43.280 --> 00:00:45.280]  他有講到
[00:00:45.280 --> 00:00:48.280]  猶太人怎樣看外邦人
[00:00:48.280 --> 00:00:50.280]  屬神的子民
[00:00:50.280 --> 00:00:53.280]  怎樣看那些不屬神的子民
[00:00:53.280 --> 00:00:55.280]  即是說
[00:00:55.280 --> 00:00:58.280]  我們怎樣看這個世界
[00:00:58.280 --> 00:01:00.280]  我們今天來到
[00:01:00.280 --> 00:01:02.280]  香港的社會祈禱
[00:01:02.280 --> 00:01:04.280]  我們怎樣看不同宗教的人
[00:01:04.280 --> 00:01:06.280]  在這裡說
[00:01:06.280 --> 00:01:08.280]  因為外表是猶太人的
[00:01:08.280 --> 00:01:09.280]  不是真猶太人
[00:01:09.280 --> 00:01:10.280]  外表肉身的國禮
[00:01:10.280 --> 00:01:12.280]  也不是真的國禮
[00:01:12.280 --> 00:01:15.280]  為什麼猶太人這麼重視國禮
[00:01:15.280 --> 00:01:17.280]  因為國禮
[00:01:17.280 --> 00:01:20.280]  是神昔日和阿伯蘭他們的祖先
[00:01:20.280 --> 00:01:22.280]  所立的約
[00:01:22.280 --> 00:01:25.280]  在創世紀十七章第四到十四節
[00:01:25.280 --> 00:01:28.280]  創世紀十七章四到十四節
[00:01:28.280 --> 00:01:31.280]  那裡是神祂自己說
[00:01:31.280 --> 00:01:34.280]  漢娜這是我與你所立的約
[00:01:34.280 --> 00:01:35.280]  你要成為多國的父
