
[00:00:00.000 --> 00:00:05.800]  我哋今日開始繼續我哋嘅Romance嘅Series
[00:00:05.800 --> 00:00:10.300]  考下你哋上個禮拜Pastor Gavin講咗啲乜嘢
[00:00:10.300 --> 00:00:12.300]  Pastor Gavin講咗啲乜嘢
[00:00:12.300 --> 00:00:14.300]  記唔記得
[00:00:14.300 --> 00:00:16.300]  唔記得
[00:00:16.300 --> 00:00:18.300]  Ester
[00:00:18.300 --> 00:00:23.300]  Ester嘅朋友記得
[00:00:23.300 --> 00:00:25.300]  仲有呢
[00:00:25.300 --> 00:00:27.300]  仲有記得啲乜嘢
[00:00:27.300 --> 00:00:29.300]  冇人記得
[00:00:29.300 --> 00:00:31.300]  Don't judge ok
[00:00:31.300 --> 00:00:33.300]  Gavin話Don't judge好啊
[00:00:33.300 --> 00:00:35.300]  上個禮拜係講
[00:00:35.300 --> 00:00:37.300]  呢基督徒呢個教會
[00:00:37.300 --> 00:00:39.300]  係有選擇嘅
[00:00:39.300 --> 00:00:41.300]  係咪有咩choice啊
[00:00:41.300 --> 00:00:43.300]  有咩選擇
[00:00:43.300 --> 00:00:45.300]  選擇乜嘢
[00:00:45.300 --> 00:00:47.300]  唔記得
[00:00:47.300 --> 00:00:49.300]  咩選擇
[00:00:49.300 --> 00:00:51.300]  Cindy記唔記得
[00:00:51.300 --> 00:00:53.300]  咩選擇
[00:00:53.300 --> 00:00:57.300]  細佬記唔記得
[00:00:57.300 --> 00:00:59.300]  Take responsibility
[00:00:59.300 --> 00:01:01.300]  Choose to forgive
[00:01:01.300 --> 00:01:03.300]  Choose to forgive
[00:01:03.300 --> 00:01:05.300]  OK
[00:01:05.300 --> 00:01:07.300]  Aaron呢
[00:01:07.300 --> 00:01:09.300]  Same answer
[00:01:09.300 --> 00:01:11.300]  OK Thank you
[00:01:11.300 --> 00:01:13.300]  有選擇記唔記得
[00:01:13.300 --> 00:01:15.300]  呢個教會呢好多人呢
[00:01:15.300 --> 00:01:17.300]  就想食肉
[00:01:17.300 --> 00:01:19.300]  有啲人呢就覺得食肉唔好
[00:01:19.300 --> 00:01:21.300]  係咪
[00:01:21.300 --> 00:01:23.300]  咁上個禮拜Pastor Gavin
[00:01:23.300 --> 00:01:25.300]  呢個四個point呢
[00:01:25.300 --> 00:01:27.300]  第一 Both are accepted by God
[00:01:27.300 --> 00:01:29.300]  Both do it for God
[00:01:29.300 --> 00:01:31.300]  Both belong to God
[00:01:31.300 --> 00:01:33.300]  Both need to give
[00:01:33.300 --> 00:01:35.300]  an account to God
[00:01:35.300 --> 00:01:37.300]  點解有啲人喺個教會
[00:01:37.300 --> 00:01:39.300]  想食肉
[00:01:39.300 --> 00:01:41.300]  有啲人又唔想食肉
[00:01:41.300 --> 00:01:43.300]  點解 係咪呢啲肉唔夠
[00:01:43.300 --> 00:01:45.300]  high grade 係咪唔係Angus beef
[00:01:45.300 --> 00:01:47.300]  唔係呢個
[00:01:47.300 --> 00:01:49.300]  Kobe beef
[00:01:49.300 --> 00:01:51.300]  唔係呢個 Wagyu beef
[00:01:51.300 --> 00:01:53.300]  所以唔想食 係咪
[00:01:53.300 --> 00:01:55.300]  點解唔想食呢啲油肉
[00:01:55.300 --> 00:01:57.300]  或者咩肉
[00:01:57.300 --> 00:01:59.300]  點解唔想食 知唔知 有冇人知
[00:01:59.300 --> 00:02:01.300]  Winnie嗰組呢 有冇人知
[00:02:01.300 --> 00:02:03.300]  唔知
[00:02:03.300 --> 00:02:05.300]  因為以前猶太人
[00:02:05.300 --> 00:02:07.300]  食唔食肉㗎 食咩肉㗎
[00:02:07.300 --> 00:02:11.300]  唔食豬啦 係咪
[00:02:11.300 --> 00:02:13.300]  佢哋好particular
[00:02:13.300 --> 00:02:15.300]  佢哋跟咩 follow乜嘢㗎
[00:02:15.300 --> 00:02:17.300]  follow
[00:02:17.300 --> 00:02:19.300]  舊約 係咪
[00:02:19.300 --> 00:02:21.300]  舊約好多唔同嘅rules
[00:02:21.300 --> 00:02:23.300]  佢哋有時覺得
[00:02:23.300 --> 00:02:25.300]  食肉就唔使啦
[00:02:25.300 --> 00:02:27.300]  佢哋跟返佢哋猶太嘅
[00:02:27.300 --> 00:02:29.300]  background
[00:02:29.300 --> 00:02:31.300]  有啲人呢 喺呢個教會
[00:02:31.300 --> 00:02:33.300]  都唔想食肉
[00:02:33.300 --> 00:02:35.300]  知唔知點解
[00:02:35.300 --> 00:02:37.300]  因為佢以前係咩
[00:02:37.300 --> 00:02:39.300]  dominant culture 咩係個dominant culture
[00:02:39.300 --> 00:02:41.300]  以前 佢哋
[00:02:41.300 --> 00:02:43.300]  啲猶太人
[00:02:43.300 --> 00:02:45.300]  what was the dominant culture
[00:02:45.300 --> 00:02:47.300]  of that time
[00:02:49.300 --> 00:02:51.300]  而家好似
[00:02:51.300 --> 00:02:53.300]  而家係咩 culture 係最dominant
[00:02:53.300 --> 00:02:57.300]  你啲movie
[00:02:57.300 --> 00:02:59.300]  你啲style 多數喺邊度
[00:02:59.300 --> 00:03:01.300]  嚟呀
[00:03:01.300 --> 00:03:03.300]  唔知
[00:03:03.300 --> 00:03:05.300]  it's American mostly right
[00:03:05.300 --> 00:03:07.300]  ok it's getting more
[00:03:07.300 --> 00:03:09.300]  versatile around
[00:03:09.300 --> 00:03:11.300]  the world 但係
[00:03:11.300 --> 00:03:13.300]  佢哋以前呢 係咩 dominant
[00:03:13.300 --> 00:03:15.300]  culture
[00:03:15.300 --> 00:03:17.300]  Roman culture
[00:03:17.300 --> 00:03:19.300]  ok 咁啲Romans
[00:03:19.300 --> 00:03:21.300]  多數啲肉係點㗎
[00:03:21.300 --> 00:03:23.300]  啲肉之前係點㗎
[00:03:23.300 --> 00:03:27.300]  係獻畀邊個㗎
[00:03:27.300 --> 00:03:29.300]  獻畀主耶穌係咪
[00:03:29.300 --> 00:03:31.300]  係Roman Gods
[00:03:31.300 --> 00:03:33.300]  咁所以
[00:03:33.300 --> 00:03:35.300]  有好多基督徒呢
[00:03:35.300 --> 00:03:37.300]  都唔係好想食肉
[00:03:37.300 --> 00:03:39.300]  因為好多呢啲肉呢
[00:03:39.300 --> 00:03:41.300]  唔知係咪畀啲Romans
[00:03:41.300 --> 00:03:43.300]  獻咗畀啲唔同Gods
[00:03:43.300 --> 00:03:45.300]  先嘅
[00:03:45.300 --> 00:03:47.300]  so those are the different reasons
[00:03:47.300 --> 00:03:49.300]  應該有個battle between
[00:03:49.300 --> 00:03:51.300]  the Jews
[00:03:51.300 --> 00:03:53.300]  and the
[00:03:53.300 --> 00:03:55.300]  new Christians
[00:03:55.300 --> 00:03:57.300]  that were of different origin
