
[00:00:00.000 --> 00:00:03.640]  上星期我們已經討論了這個系列
[00:00:03.640 --> 00:00:07.600]  我們又去看看那個
[00:00:07.600 --> 00:00:11.380]  就是我的英雄學院
[00:00:11.380 --> 00:00:14.640]  當然不是在討論一套動畫
[00:00:14.640 --> 00:00:17.800]  而是在討論神的英雄學院
[00:00:17.800 --> 00:00:21.460]  我知道聖經裡沒有討論神有間英雄學院
[00:00:21.460 --> 00:00:25.200]  不過神的確在歷史裡
[00:00:25.200 --> 00:00:31.560]  祂在以前不斷呼召人成為合用的工人
[00:00:31.560 --> 00:00:33.560]  來為祂工作
[00:00:33.560 --> 00:00:37.060]  所有的人在這裡我都稱之為英雄
[00:00:37.060 --> 00:00:41.340]  因為那些是為神在這個世界做事的
[00:00:41.340 --> 00:00:47.440]  神的心意是很想我們幫祂在這個地方跟我們同工
[00:00:47.440 --> 00:00:51.940]  所以在開始之前不如我們一起有個祈禱
[00:00:51.940 --> 00:00:55.200]  我們過了新年 接下來又有新年
[00:00:55.200 --> 00:00:57.820]  這個時候最好有個祈禱
[00:00:57.820 --> 00:00:59.820]  有個新的開始
[00:00:59.820 --> 00:01:02.420]  神啊我們祈禱同心的祈禱
[00:01:02.420 --> 00:01:03.820]  有個新的開始
[00:01:03.820 --> 00:01:08.580]  不過這個新的開始不是說以前的東西全部沒有了
[00:01:08.580 --> 00:01:12.520]  我們知道我們無論生命過去是怎樣
[00:01:12.520 --> 00:01:15.180]  神啊祢的祝福都在我們背後
[00:01:15.180 --> 00:01:17.680]  有些東西我們可能覺得難過
[00:01:17.680 --> 00:01:19.180]  有些可能不明白
[00:01:19.180 --> 00:01:21.580]  不過無論怎樣 神啊我們都相信祢
[00:01:21.580 --> 00:01:24.840]  所以祢建立的是我們對祢的信心
[00:01:24.840 --> 00:01:29.580]  神啊我們祢只要是祢的旨意成就在我們當中
[00:01:29.580 --> 00:01:31.580]  就如同成就在天上
[00:01:31.580 --> 00:01:34.000]  這是我們心裏面最大的祈禱
[00:01:34.000 --> 00:01:37.320]  就是祢的旨意成就在我們每一個人的生命裏面
[00:01:37.320 --> 00:01:38.720]  神啊新的一年裏面
[00:01:38.720 --> 00:01:44.800]  我們只是很希望見到祢和我們每一個人更加親近
[00:01:44.800 --> 00:01:46.800]  神啊我們很想親近祢
[00:01:46.800 --> 00:01:48.300]  聽祢的聲音
[00:01:48.300 --> 00:01:51.780]  因為我們知道祢的呼召 祢的所有東西
[00:01:51.780 --> 00:01:54.740]  都是祢在那份溫柔的聲音裏面
[00:01:54.740 --> 00:01:56.740]  祢是對我們每一個人說話
