
[00:00:00.000 --> 00:00:13.000]  明年新年元旦及農曆大年初一都在星期日(1月1日及1月22日)
[00:00:14.000 --> 00:00:35.000]  張國鈞議員
[00:00:44.000 --> 00:00:45.000]  張國鈞議員
[00:01:14.000 --> 00:01:15.000]  張國鈞議員
[00:01:15.000 --> 00:01:17.000]  張國鈞議員
[00:01:17.000 --> 00:01:19.000]  張國鈞議員
[00:01:19.000 --> 00:01:21.000]  張國鈞議員
[00:01:21.000 --> 00:01:23.000]  張國鈞議員
[00:01:23.000 --> 00:01:25.000]  張國鈞議員
[00:01:25.000 --> 00:01:27.000]  張國鈞議員
[00:01:27.000 --> 00:01:29.000]  張國鈞議員
[00:01:29.000 --> 00:01:31.000]  張國鈞議員
[00:01:31.000 --> 00:01:33.000]  張國鈞議員
[00:01:33.000 --> 00:01:35.000]  張國鈞議員
[00:01:35.000 --> 00:01:37.000]  張國鈞議員
[00:01:37.000 --> 00:01:39.000]  張國鈞議員
[00:01:39.000 --> 00:01:41.000]  張國鈞議員
[00:01:41.000 --> 00:01:43.000]  張國鈞議員
[00:01:44.000 --> 00:01:45.000]  張國鈞議員
[00:01:45.000 --> 00:01:47.000]  張國鈞議員
[00:01:47.000 --> 00:01:49.000]  張國鈞議員
[00:01:49.000 --> 00:01:51.000]  張國鈞議員
[00:01:51.000 --> 00:01:53.000]  張國鈞議員
[00:01:53.000 --> 00:01:55.000]  張國鈞議員
[00:01:55.000 --> 00:01:57.000]  張國鈞議員
[00:01:57.000 --> 00:01:59.000]  張國鈞議員
[00:01:59.000 --> 00:02:01.000]  張國鈞議員
[00:02:01.000 --> 00:02:03.000]  張國鈞議員
[00:02:03.000 --> 00:02:05.000]  張國鈞議員
[00:02:05.000 --> 00:02:07.000]  張國鈞議員
[00:02:07.000 --> 00:02:09.000]  張國鈞議員
[00:02:09.000 --> 00:02:11.000]  張國鈞議員
[00:02:11.000 --> 00:02:13.000]  張國鈞議員
[00:02:14.000 --> 00:02:15.000]  張國鈞議員
[00:02:15.000 --> 00:02:17.000]  張國鈞議員
[00:02:17.000 --> 00:02:19.000]  張國鈞議員
[00:02:19.000 --> 00:02:21.000]  張國鈞議員
[00:02:21.000 --> 00:02:23.000]  張國鈞議員
[00:02:23.000 --> 00:02:25.000]  張國鈞議員
[00:02:25.000 --> 00:02:27.000]  張國鈞議員
[00:02:27.000 --> 00:02:29.000]  張國鈞議員
[00:02:29.000 --> 00:02:31.000]  張國鈞議員
[00:02:31.000 --> 00:02:33.000]  張國鈞議員
[00:02:33.000 --> 00:02:35.000]  張國鈞議員
[00:02:35.000 --> 00:02:37.000]  張國鈞議員
[00:02:37.000 --> 00:02:39.000]  張國鈞議員
[00:02:39.000 --> 00:02:41.000]  張國鈞議員
[00:02:42.000 --> 00:02:44.000]  張國鈞議員
[00:02:44.000 --> 00:02:46.000]  張國鈞議員
[00:02:46.000 --> 00:02:48.000]  張國鈞議員
[00:02:48.000 --> 00:02:50.000]  張國鈞議員
[00:02:50.000 --> 00:02:52.000]  張國鈞議員
