
[00:00:00.000 --> 00:00:02.840]  我定了今個星期我們是侍奉主日
[00:00:02.840 --> 00:00:04.560]  希望從神的話語
[00:00:04.560 --> 00:00:06.960]  我們重尋侍奉的初衷
[00:00:06.960 --> 00:00:09.680]  我們更新我們的侍奉生命
[00:00:09.680 --> 00:00:12.360]  也很想藉這個機會去感謝弟兄姊妹
[00:00:12.360 --> 00:00:14.680]  很辛勞地在教會的服侍
[00:00:14.680 --> 00:00:16.920]  我們互相鼓勵去打打氣
[00:00:16.920 --> 00:00:19.560]  希望可以鼓勵更多弟兄姊妹
[00:00:19.560 --> 00:00:22.320]  一起投身去建立神的家
[00:00:22.320 --> 00:00:24.200]  也是同心的禱告
[00:00:24.200 --> 00:00:26.680]  聖下的恩主
[00:00:26.680 --> 00:00:29.040]  我們來到您的跟前
[00:00:29.040 --> 00:00:32.480]  感謝主祢賜下寶貴的救恩
[00:00:32.480 --> 00:00:35.440]  感謝主祢賜下寶貴的壞語
[00:00:35.440 --> 00:00:38.080]  求聖靈藉著你的壞語
[00:00:38.080 --> 00:00:41.640]  去釋放你要向我們說的話
[00:00:41.640 --> 00:00:45.400]  以致無論說的聽的一同去蒙福
[00:00:45.400 --> 00:00:47.360]  去建立你的教會
[00:00:47.360 --> 00:00:49.520]  求主祢這樣去帶領我們
[00:00:49.520 --> 00:00:50.680]  聽我們的禱告
[00:00:50.680 --> 00:00:51.760]  奉靠我救主
[00:00:51.760 --> 00:00:52.560]  耶穌基督
[00:00:52.560 --> 00:00:54.040]  寶貴聖名去求
[00:00:54.040 --> 00:00:55.040]  阿門
[00:00:56.280 --> 00:00:59.360]  我們一起看的經文是《以塞亞書》
[00:00:59.360 --> 00:01:00.960]  第六章
[00:01:00.960 --> 00:01:02.440]  如果參照引言
[00:01:02.440 --> 00:01:04.040]  一章一節這樣說
[00:01:04.040 --> 00:01:06.880]  當烏西亞若坦阿哈斯
[00:01:06.880 --> 00:01:09.360]  希西加作猶大王的時候
[00:01:09.360 --> 00:01:12.600]  阿摩斯的兒子以塞亞見到異象
[00:01:12.600 --> 00:01:15.920]  論到猶大和耶路撒冷
[00:01:15.920 --> 00:01:17.200]  我們看的第六章
[00:01:17.200 --> 00:01:20.680]  就是描述了以塞亞蒙召的歷程
[00:01:20.680 --> 00:01:22.840]  第六章
[00:01:22.840 --> 00:01:24.120]  一節八節大家比較熟悉
[00:01:24.120 --> 00:01:25.160]  特別我們很喜歡
[00:01:25.160 --> 00:01:27.160]  就是第八節
[00:01:27.160 --> 00:01:29.640]  以塞亞去回應上帝的呼召
[00:01:29.640 --> 00:01:32.200]  我在這裡請差遣我
[00:01:32.200 --> 00:01:35.520]  不過如果你看看
[00:01:35.520 --> 00:01:37.440]  傳章的上下文
[00:01:37.440 --> 00:01:41.320]  以塞亞是在烏西亞王駕崩的那一年
[00:01:41.320 --> 00:01:44.840]  國家正處於危難的時候蒙召
[00:01:44.840 --> 00:01:47.760]  而神去預告了給白以塞亞知道
[00:01:47.760 --> 00:01:49.760]  那幫百姓是很深硬的
[00:01:49.760 --> 00:01:52.640]  你說的東西他們不會聽的
[00:01:52.640 --> 00:01:55.480]  就眼看來神就好像在一個亂世
[00:01:55.480 --> 00:01:57.320]  差遣一個人去參與一個
[00:01:57.320 --> 00:02:00.200]  沒有果效百造的侍奉
[00:02:00.200 --> 00:02:01.520]  很奇怪
[00:02:01.520 --> 00:02:03.520]  我們仔細去看看
[00:02:03.520 --> 00:02:04.840]  我們先來看一節四節
[00:02:04.840 --> 00:02:07.600]  以塞亞見到的異象的場景
[00:02:07.600 --> 00:02:08.680]  第一節
[00:02:08.680 --> 00:02:10.800]  當烏西亞王崩的那年
[00:02:10.800 --> 00:02:15.360]  我看見主坐在高高的寶座上
[00:02:15.360 --> 00:02:18.000]  以塞亞強調是地上的君王
[00:02:18.000 --> 00:02:20.400]  烏西亞駕崩的那一年
[00:02:20.400 --> 00:02:22.400]  去見到這個異象
[00:02:22.400 --> 00:02:26.440]  我們首先要看烏西亞王一生的政績
[00:02:26.440 --> 00:02:29.320]  回看歷代之下的二十六章
[00:02:29.320 --> 00:02:32.320]  烏西亞登基時十六歲
[00:02:32.320 --> 00:02:34.960]  在耶路撒冷作王五十二年
[00:02:34.960 --> 00:02:38.000]  他仍然無話眼中看為正的事
[00:02:38.000 --> 00:02:39.840]  神使他亨通
[00:02:39.840 --> 00:02:41.440]  他勵政圖治
[00:02:41.440 --> 00:02:42.960]  修復失土
[00:02:42.960 --> 00:02:45.520]  社會繁榮安定
