
[00:00:00.000 --> 00:00:02.140]  我們今天早上有一個福音主日
[00:00:02.140 --> 00:00:05.140]  我們再次思想聖經裏面寶貴的福音
[00:00:05.140 --> 00:00:06.520]  大家再一次來祈禱
[00:00:06.520 --> 00:00:09.120]  我再次來祈禱仰望神
[00:00:09.120 --> 00:00:15.120]  因著我們感謝祢
[00:00:15.120 --> 00:00:17.060]  主啊 祢的名
[00:00:17.060 --> 00:00:19.820]  在全地何其美
[00:00:19.820 --> 00:00:22.540]  因為祢自己的聖名
[00:00:22.540 --> 00:00:24.480]  主啊 祢將喜樂
[00:00:24.480 --> 00:00:28.340]  將拯救 將平安 賜給我們
[00:00:29.100 --> 00:00:31.820]  主啊 我們今天在祢面前何等有福
[00:00:31.820 --> 00:00:35.380]  無論在地上我們的狀況如何
[00:00:35.380 --> 00:00:37.160]  但是主啊 我們知道
[00:00:37.160 --> 00:00:38.680]  永恆的上帝
[00:00:38.680 --> 00:00:40.680]  今天與我們同在
[00:00:40.680 --> 00:00:44.100]  主啊 祢又允許凡是信靠祢的人
[00:00:44.100 --> 00:00:47.700]  主啊 祢永永遠遠與我們同在
[00:00:47.700 --> 00:00:50.980]  主啊 我們今天在祢面前敬拜祢
[00:00:50.980 --> 00:00:53.180]  也再次來思念
[00:00:53.180 --> 00:00:55.700]  主啊 祢所賜寶貴的福音
[00:00:55.700 --> 00:00:57.900]  但願祢自己幫助我們
[00:00:57.900 --> 00:01:00.200]  亦不忘記祢所賜的福音
[00:01:00.200 --> 00:01:04.400]  也知道去領受 又去傳揚
[00:01:04.400 --> 00:01:06.400]  求祢大地這段時間
[00:01:06.400 --> 00:01:09.700]  讓我們再次在祢眼前蒙恩惟
[00:01:09.700 --> 00:01:11.700]  我們仰望祈禱
[00:01:11.700 --> 00:01:14.540]  奉耶穌聖名求 阿們
[00:01:14.540 --> 00:01:19.500]  剛才讀的聖經《馬號福音》第五章的經文
[00:01:19.500 --> 00:01:22.400]  一段大家都會讀過的聖經
[00:01:22.400 --> 00:01:25.100]  我讀的時候就想起一件事情
[00:01:25.100 --> 00:01:27.100]  我想簡單地分享
[00:01:27.100 --> 00:01:30.700]  我曾經提及過一位弟兄的故事
[00:01:30.700 --> 00:01:34.300]  這位弟兄有一次在聚會當中聽他的分享
[00:01:34.300 --> 00:01:38.400]  他本身在中國東北省的地方出來香港
[00:01:38.400 --> 00:01:41.700]  有一個聚會他講他自己的見證
[00:01:41.700 --> 00:01:44.200]  這位弟兄是失明的
[00:01:44.200 --> 00:01:47.000]  但同時他做了一個傳道人
[00:01:47.000 --> 00:01:49.000]  我很有興趣知道
[00:01:49.000 --> 00:01:52.000]  一位失明的朋友他怎樣做傳道人
[00:01:52.000 --> 00:01:56.500]  他說自己至少已經失明
[00:01:56.500 --> 00:01:59.500]  但他不知道自己跟別人不同
[00:01:59.500 --> 00:02:01.500]  直到六歲的時候
[00:02:01.500 --> 00:02:03.500]  有一次跟一群小朋友玩
[00:02:03.500 --> 00:02:05.500]  大家一起散開的時候
[00:02:05.500 --> 00:02:08.900]  唯有他掉進一個坑渠裏面
[00:02:08.900 --> 00:02:12.300]  他很奇怪為何其他人不會掉下去
[00:02:12.300 --> 00:02:14.300]  只有他才會掉下去
[00:02:14.300 --> 00:02:18.900]  在那次他是第一次知道自己是看不到東西的
[00:02:18.900 --> 00:02:22.100]  也不知道其他人是看到東西的
[00:02:22.100 --> 00:02:24.100]  所以在那時候六歲
[00:02:24.100 --> 00:02:26.100]  第一次知道自己是失明
[00:02:26.100 --> 00:02:28.100]  自此之後自己很自卑
[00:02:28.100 --> 00:02:32.100]  對自己的前途很灰暗
[00:02:32.100 --> 00:02:35.100]  在那個時候他沒有甚麼做到
[00:02:35.100 --> 00:02:37.100]  很多時候就是聽收音機
[00:02:37.100 --> 00:02:39.100]  聽著聽著的時候
[00:02:39.100 --> 00:02:41.100]  有一次他說很奇怪
[00:02:41.100 --> 00:02:43.100]  聽到一些訊息
[00:02:43.100 --> 00:02:46.100]  有一個叫做福音廣播電台
[00:02:46.100 --> 00:02:49.100]  是講了一位的神
[00:02:49.100 --> 00:02:51.100]  名叫主耶穌
[00:02:51.100 --> 00:02:53.100]  在他的觀念裏面
[00:02:53.100 --> 00:02:55.100]  他說我至少認識的
[00:02:55.100 --> 00:02:57.100]  很多神靈
[00:02:57.100 --> 00:02:59.100]  只是要人去供奉祂
[00:02:59.100 --> 00:03:01.100]  如果你不聽話
[00:03:01.100 --> 00:03:03.100]  祂就會懲罰你
[00:03:03.100 --> 00:03:06.100]  所以聽到神靈的時候很驚慌
[00:03:06.100 --> 00:03:08.100]  第一次聽到這位主耶穌
[00:03:08.100 --> 00:03:11.100]  竟然是愛人的
[00:03:11.100 --> 00:03:13.100]  竟然是樂意為人受死
[00:03:13.100 --> 00:03:15.100]  在十字架上
[00:03:15.100 --> 00:03:17.100]  而且來到服事人
[00:03:17.100 --> 00:03:19.100]  不是受人的服事
[00:03:19.100 --> 00:03:21.100]  而且來到世上
[00:03:21.100 --> 00:03:26.100]  要為我們去行大事
[00:03:26.100 --> 00:03:27.100]  他一直說的時候
[00:03:27.100 --> 00:03:28.100]  他覺得很驚訝
[00:03:28.100 --> 00:03:30.100]  他不相信有位這樣的神
[00:03:30.100 --> 00:03:32.100]  是這樣愛自己
