
[00:00:00.000 --> 00:00:04.720]  在聆聽主導以前,我們一起跟心梯頭、肚、腹、淫、亡、慾、主、愛、神
[00:00:04.720 --> 00:00:11.520]  天父,多謝祢,多謝祢讓我們能夠在祢的說話裡面去學習
[00:00:11.520 --> 00:00:15.200]  也很感謝祢讓我們仍然有生命氣息去敬拜祢
[00:00:15.200 --> 00:00:21.320]  願意聖靈幫助我們,好使我們能夠在主祢的說話當中得到慰養
[00:00:21.320 --> 00:00:28.400]  也讓在心靈裡面需要得到安慰的,可以從主祢的說話當中重新得到光強
[00:00:28.840 --> 00:00:36.080]  也讓我們在主祢裡面,倘若有力量去能夠更有效的侍奉
[00:00:36.080 --> 00:00:43.560]  求聖靈讓祢的教導,幫助我們能夠準確去將應當去履行的事
[00:00:43.560 --> 00:00:48.520]  應當可作的侍奉,都能夠將祂做得好
[00:00:48.520 --> 00:00:52.920]  我們求主祢的帶領,禱告奉靠,主耶穌會獨得聖的名字而求
[00:00:52.920 --> 00:00:53.800]  阿們
[00:00:55.800 --> 00:01:03.320]  進入我們看到這段聖經的馬太福音的第21章裡面
[00:01:03.320 --> 00:01:11.960]  我們發覺到有很多是我們過去在聖經裡面都沒有留意到的東西
[00:01:11.960 --> 00:01:18.920]  特別是在馬太福音裡面,原來馬太用了很多描述去提出信徒
[00:01:18.920 --> 00:01:22.280]  甚至宗教領袖他們的問題
[00:01:24.040 --> 00:01:29.080]  讓我們看看為什麼會有這些種種的問題
[00:01:29.080 --> 00:01:36.120]  我歸咎於一個我們最方便的解釋,就是聚進了世界
[00:01:36.120 --> 00:01:45.560]  當聚進了這個世界之後,人就很容易造成了很多私心,或者很多邪惡的事情
[00:01:45.560 --> 00:01:48.840]  甚至損人不利己的事情都會做
[00:01:51.080 --> 00:01:55.240]  不知道你會在這樣的世界裡面會覺得如何呢?
[00:01:55.240 --> 00:01:57.560]  有時候會覺得挺諷刺的
[00:01:57.560 --> 00:02:04.840]  其實我們不是不知道這個世界有這麼多的地方有罪的污染在裡面
[00:02:04.840 --> 00:02:13.800]  不過,我們作為信徒也不能否定我們不存在這個世界的時候
