
[00:00:00.000 --> 00:00:05.380]  今個禮拜的題目就叫做「被揀選的族類」
[00:00:05.380 --> 00:00:07.760]  相信大家都明白為什麼會說這些題目
[00:00:07.760 --> 00:00:12.180]  因為我們已經進入了本季的第二個季題
[00:00:12.180 --> 00:00:15.500]  就是叫做「角色的定位」
[00:00:15.500 --> 00:00:19.120]  這次的經文我們是在四月份第一個禮拜
[00:00:19.120 --> 00:00:22.460]  翁牧師已經開始了 說了部分
[00:00:22.460 --> 00:00:26.180]  其實我們正在想怎樣去說呢
[00:00:26.180 --> 00:00:30.240]  而我們在這個「角色的定位」和「認定自己的角色」的時候
[00:00:30.240 --> 00:00:33.040]  我在去年去想整個主題的時候
[00:00:33.040 --> 00:00:37.920]  其實你問我 我的心儀其實是這一節的主題經文
[00:00:37.920 --> 00:00:39.720]  因為都很清晰了 是不是回教會很久
[00:00:39.720 --> 00:00:42.380]  我們都知道究竟我們是做一個驕途
[00:00:42.380 --> 00:00:44.100]  我們做一個信徒是什麼樣的
[00:00:44.100 --> 00:00:46.880]  不過如果你心水清 有沒有留意那個牌
[00:00:46.880 --> 00:00:48.960]  那個牌就不是用這一節的
[00:00:48.960 --> 00:00:52.320]  反而就是在馬太夫音的十六章的二十六節
[00:00:52.320 --> 00:00:53.860]  我們想一起讀一讀這段經文先 好嗎
[00:00:53.860 --> 00:00:55.080]  一二三
[00:00:55.080 --> 00:01:00.460]  「人若賺得全世界,賠上自己的生命,有什麼益處呢?」
[00:01:00.460 --> 00:01:04.300]  「人還能拿,什麼換生命呢?」
[00:01:04.300 --> 00:01:05.180]  為什麼會這樣呢
[00:01:05.180 --> 00:01:06.960]  我自己其實都爭論了很久的 當年
[00:01:06.960 --> 00:01:08.760]  因為我覺得其實生命的定位
[00:01:08.760 --> 00:01:10.940]  無論是做老公啊 老婆啊 做子女啊
[00:01:10.940 --> 00:01:13.000]  我們做市民啊 很多角色的嘛
[00:01:13.000 --> 00:01:14.140]  很多東西是可以說
[00:01:14.140 --> 00:01:16.680]  而在聖經裡面 說得很清晰的就是
[00:01:16.680 --> 00:01:19.520]  比如說前書第二章這一段經文
[00:01:19.520 --> 00:01:22.180]  但是不知道為什麼當他在預備的時候
[00:01:22.180 --> 00:01:26.420]  上帝是不斷不斷去重複問題是
[00:01:26.420 --> 00:01:33.800]  你究竟 是不是願意為這一個的身份
[00:01:33.800 --> 00:01:38.960]  而是去捨棄你眼前所擁有的一切呢
[00:01:38.960 --> 00:01:41.060]  所以在很多掙扎的裡面
[00:01:41.060 --> 00:01:43.940]  就將這一個 反而「人若賺得全世界」
[00:01:43.940 --> 00:01:45.980]  就成為了我們這一季的季題
[00:01:45.980 --> 00:01:48.500]  在開始的時候 反而我們就去想一下
