
[00:00:00.000 --> 00:00:02.360]  為什麼我知道那些人沒有姓姓呢?
[00:00:02.360 --> 00:00:04.200]  因為下一本書
[00:00:04.200 --> 00:00:09.000]  下一本書叫《約書也死了》
[00:00:09.000 --> 00:00:10.760]  下一本書叫《史詩記》
[00:00:10.760 --> 00:00:13.200]  如果你一個月之後回來聽《史詩記》
[00:00:13.200 --> 00:00:16.280]  你就知道是無骨悚然的一本書
[00:00:16.280 --> 00:00:17.680]  無骨悚然的一本書
[00:00:17.680 --> 00:00:19.200]  不是因為《史詩記》裡面
[00:00:19.200 --> 00:00:21.240]  再沒有人去敬拜耶和華
[00:00:21.240 --> 00:00:22.440]  無骨悚然的地方就是
[00:00:22.440 --> 00:00:24.320]  每個人口頭上都說耶和華
[00:00:24.320 --> 00:00:25.600]  耶和華 耶和華
[00:00:25.600 --> 00:00:27.080]  發現裡面的人
[00:00:27.080 --> 00:00:31.360]  完全不知道耶和華是什麼水
[00:00:31.360 --> 00:00:32.920]  你明白我的意思嗎?
[00:00:32.920 --> 00:00:34.240]  現在得人驚的地方
[00:00:34.240 --> 00:00:35.400]  不是教會沒有人
[00:00:35.400 --> 00:00:36.280]  得人驚的地方是
[00:00:36.280 --> 00:00:37.200]  教會很多人
[00:00:37.200 --> 00:00:39.040]  但是很多人裡面說
[00:00:39.040 --> 00:00:40.560]  耶穌很靈啊 耶穌什麼的
[00:00:40.560 --> 00:00:44.000]  就是如果你將耶穌全部剷除
[00:00:44.000 --> 00:00:45.360]  只是聽教會裡面說
[00:00:45.360 --> 00:00:47.000]  上帝為他做了什麼
[00:00:47.000 --> 00:00:52.280]  你發現其實跟黃大仙是沒有什麼分別的
[00:00:52.280 --> 00:00:53.720]  你發現原來銅鑼灣
[00:00:53.720 --> 00:00:55.240]  都是黃大仙站而已
[00:00:55.240 --> 00:00:58.280]  原來全香港所有教會都是黃大仙
[00:00:58.280 --> 00:01:02.320]  那你才得人驚
[00:01:02.320 --> 00:01:03.640]  所以我說
[00:01:03.640 --> 00:01:05.800]  當我想起一些神學家說
[00:01:05.800 --> 00:01:09.040]  其實在《藥書亞記》完結的時候
[00:01:09.040 --> 00:01:10.440]  藥書亞很明顯挑戰
[00:01:10.440 --> 00:01:12.600]  知道他們當中有很多其他的神明
[00:01:12.600 --> 00:01:14.920]  而他們最後只是口頭上說
[00:01:14.920 --> 00:01:16.400]  我們會侍奉 我們會侍奉
[00:01:16.400 --> 00:01:21.800]  但是沒有人在家裡拿一些偶像出來
[00:01:21.800 --> 00:01:22.680]  他告訴我們
[00:01:22.680 --> 00:01:24.240]  這幫人根本不知道他們在做什麼
[00:01:24.240 --> 00:01:30.880]  他以為他可以好像服侍其他的神明
[00:01:30.880 --> 00:01:33.600]  一樣的服侍耶穌
[00:01:33.600 --> 00:01:35.120]  其他的神明怎麼服侍呢
[00:01:35.120 --> 00:01:35.960]  你不用只相信我
[00:01:35.960 --> 00:01:37.040]  你可以相信其他人
[00:01:37.040 --> 00:01:38.240]  撒旦最厲害的地方
[00:01:38.240 --> 00:01:39.960]  你不用只拜我撒旦的
[00:01:39.960 --> 00:01:43.240]  你有時候也不用一定貪錢的
[00:01:43.240 --> 00:01:47.000]  你貪錢不用貪盡它
[00:01:47.000 --> 00:01:50.080]  你喜歡給教會一點點錢都可以去
[00:01:50.080 --> 00:01:52.120]  撒旦是一個很奇怪
[00:01:52.120 --> 00:01:52.960]  不是很奇怪
[00:01:52.960 --> 00:01:56.800]  是一個很狡猾的神明
[00:01:56.800 --> 00:01:58.720]  因為我們的自私
[00:01:58.720 --> 00:01:59.680]  因為我們的慈禮
[00:01:59.680 --> 00:02:00.960]  因為我們的自我忠誠
[00:02:00.960 --> 00:02:01.600]  我們會覺得
[00:02:01.600 --> 00:02:05.080]  當上帝要求我們絕對的忠誠的時候
[00:02:05.080 --> 00:02:13.320]  我們會覺得上帝很刻薄
[00:02:13.320 --> 00:02:14.520]  侍奉撒旦就不是這樣
[00:02:14.520 --> 00:02:17.560]  撒旦說有時候貪一下
[00:02:17.560 --> 00:02:19.960]  做人也為己天誅地滅
[00:02:19.960 --> 00:02:21.800]  不過如果你有時候想做一下好事
[00:02:21.800 --> 00:02:23.440]  都隨便你
[00:02:23.440 --> 00:02:25.200]  撒旦多好
[00:02:25.200 --> 00:02:28.280]  喜歡做善事他又說OK
[00:02:28.280 --> 00:02:30.920]  貪一下又OK
[00:02:30.920 --> 00:02:31.600]  做什麼都
[00:02:31.600 --> 00:02:35.720]  人要均衡一點
[00:02:35.720 --> 00:02:36.560]  但有沒有想過
[00:02:36.560 --> 00:02:37.960]  這個就是他搞壞的地方
[00:02:37.960 --> 00:02:40.360]  他容許你走上這件事
[00:02:40.360 --> 00:02:41.120]  而走著走著
[00:02:41.120 --> 00:02:45.040]  其實你在走一條地獄的路
[00:02:45.040 --> 00:02:47.760]  你都不知道
[00:02:47.760 --> 00:02:49.520]  可不可以大家想想這件事
[00:02:49.520 --> 00:02:52.640]  我也想跟你說
[00:02:52.640 --> 00:02:56.080]  上帝最後呼召我們活的
[00:02:56.080 --> 00:02:58.240]  忠誠的人生
[00:02:58.240 --> 00:03:00.320]  是最美的人生
[00:03:00.320 --> 00:03:04.520]  是唯一真正喜樂的人生
[00:03:04.520 --> 00:03:07.200]  我想帶你去新約
[00:03:07.200 --> 00:03:12.160]  這一切最後在十字架裡面成就了
[00:03:12.160 --> 00:03:13.800]  耶穌是新約的約書亞
[00:03:13.800 --> 00:03:17.720]  耶穌是更大最終的約書亞
[00:03:17.720 --> 00:03:21.280]  耶穌帶領我們會進入這個回行生
[00:03:21.280 --> 00:03:23.600]  很多人說福音就是這樣
[00:03:23.600 --> 00:03:25.920]  耶穌就是新的約書亞
[00:03:25.920 --> 00:03:29.000]  耶穌為我們得著永恆的安息
[00:03:29.000 --> 00:03:30.400]  如果你願意接受
[00:03:30.400 --> 00:03:32.240]  那你就可以得到這個安息
[00:03:32.240 --> 00:03:34.440]  不是這麼簡單的
