
[00:00:00.000 --> 00:00:01.700]  希伯來書的精彩的地方
[00:00:01.700 --> 00:00:03.000]  我提過
[00:00:03.000 --> 00:00:05.000]  就是這個作者對耶穌基督
[00:00:05.000 --> 00:00:06.600]  是很清楚的描述
[00:00:06.600 --> 00:00:07.900]  甚至很多人會說
[00:00:07.900 --> 00:00:09.400]  希伯來書的主題
[00:00:09.400 --> 00:00:13.200]  就是講到耶穌基督是超越很多很多的東西
[00:00:13.200 --> 00:00:13.700]  但另一方面
[00:00:13.700 --> 00:00:15.200]  當我自己去思考這個
[00:00:15.200 --> 00:00:16.300]  希伯來書的時候
[00:00:16.300 --> 00:00:18.100]  特別提到耶穌基督
[00:00:18.100 --> 00:00:21.700]  耶穌基督的而且確是我們整個信仰裏面
[00:00:21.700 --> 00:00:24.200]  一個很重要的一個核心價值
[00:00:24.200 --> 00:00:26.100]  特別祂的死 祂的復活
[00:00:26.100 --> 00:00:27.300]  甚至很多人都說
[00:00:27.300 --> 00:00:28.900]  如果我們有機會
[00:00:28.900 --> 00:00:31.200]  能夠有方法去證明
[00:00:31.200 --> 00:00:33.700]  耶穌基督是沒有復活的話
[00:00:33.700 --> 00:00:35.000]  整個基督教信仰
[00:00:35.000 --> 00:00:37.700]  是可以說完全可以被拖垮
[00:00:37.700 --> 00:00:39.000]  可以被打沉
[00:00:39.000 --> 00:00:40.100]  但很感恩
[00:00:40.100 --> 00:00:41.600]  在過去二千年當中
[00:00:41.600 --> 00:00:43.100]  縱然有很多很多人
[00:00:43.100 --> 00:00:44.600]  很想用不同的方法
[00:00:44.600 --> 00:00:47.000]  想去證明耶穌基督是沒有復活的
[00:00:47.000 --> 00:00:49.000]  但是他們都失敗之餘
[00:00:49.000 --> 00:00:51.400]  差不多每個人去做研究的人
[00:00:51.400 --> 00:00:53.400]  最終都信了耶穌
[00:00:53.400 --> 00:00:54.400]  所以換言之
[00:00:54.400 --> 00:00:56.800]  整個我們的信仰的中心
[00:00:56.800 --> 00:00:57.800]  我們的核心價值
[00:00:57.800 --> 00:00:59.800]  我們不能夠沒有了耶穌
[00:00:59.800 --> 00:01:01.300]  而希伯來書的作者
[00:01:01.300 --> 00:01:02.600]  他精彩的地方
[00:01:02.600 --> 00:01:04.600]  他就讓我們更深
[00:01:04.600 --> 00:01:06.500]  更深入的去了解
[00:01:06.500 --> 00:01:07.600]  我們所信的神
[00:01:07.600 --> 00:01:09.000]  以致到我們的信仰
[00:01:09.000 --> 00:01:10.800]  是有根 是有基
[00:01:10.800 --> 00:01:12.500]  以致到我們不只是停留在
[00:01:12.500 --> 00:01:14.400]  我們的信仰的初階
[00:01:14.400 --> 00:01:16.100]  我們很希望這個作者
[00:01:16.100 --> 00:01:17.200]  透過希伯來書
[00:01:17.200 --> 00:01:21.200]  帶我們能夠進去信仰一個更基本的
[00:01:21.200 --> 00:01:23.500]  更深入的一些觀點
[00:01:23.500 --> 00:01:26.100]  以致我們不再去學無
[00:01:26.100 --> 00:01:27.500]  飲靈奶
[00:01:27.500 --> 00:01:30.700]  而我們能夠可以開始吃一些乾糧
[00:01:30.700 --> 00:01:31.900]  當然一開始的時候
[00:01:31.900 --> 00:01:33.300]  這個作者就說到
[00:01:33.300 --> 00:01:34.500]  耶穌基督的啟示
[00:01:34.500 --> 00:01:37.200]  是超越所有眾先知的啟示
[00:01:37.200 --> 00:01:38.500]  當然我強調
[00:01:38.500 --> 00:01:40.800]  眾先知的啟示不是不重要
[00:01:40.800 --> 00:01:42.500]  而是每一個先知
[00:01:42.500 --> 00:01:43.900]  上帝給他的啟示
[00:01:43.900 --> 00:01:45.300]  都是部分的啟示
[00:01:45.300 --> 00:01:47.400]  而上帝給耶穌基督的啟示
[00:01:47.400 --> 00:01:49.000]  是一個全面的啟示
[00:01:49.000 --> 00:01:49.900]  所以換言之
[00:01:49.900 --> 00:01:50.900]  耶穌基督的啟示
[00:01:50.900 --> 00:01:53.300]  是超越眾先知的啟示
[00:01:53.300 --> 00:01:54.100]  而同樣
[00:01:54.100 --> 00:01:56.300]  耶穌基督也是超越天使
[00:01:56.300 --> 00:01:58.700]  聖經說天使是服役的靈
[00:01:58.700 --> 00:02:00.700]  亦都是被神所差派
[00:02:00.700 --> 00:02:04.300]  甚至是服侍我們一班得救的人
[00:02:04.300 --> 00:02:05.300]  換言之
[00:02:05.300 --> 00:02:07.600]  天使縱然有他的重要性
[00:02:07.600 --> 00:02:09.600]  亦都是將上帝的說話
[00:02:09.600 --> 00:02:10.800]  上帝的信息
[00:02:10.800 --> 00:02:11.900]  上帝的信差
[00:02:11.900 --> 00:02:14.300]  亦都將上帝的心意跟我們說
[00:02:14.300 --> 00:02:15.200]  但另一方面
[00:02:15.200 --> 00:02:16.600]  我們看到耶穌基督
[00:02:16.600 --> 00:02:18.500]  亦都是能夠差顯他
[00:02:18.500 --> 00:02:21.200]  亦都是超越這個天使
[00:02:21.200 --> 00:02:22.300]  去到第二章的時候
[00:02:22.300 --> 00:02:24.500]  他就開始發出第一個警告
