
[00:00:00.000 --> 00:00:04.000]  格雷西書也是一個很特別的書信
[00:00:04.000 --> 00:00:10.000]  那今天我訂的題目是叫「迎神接福的教會」
[00:00:10.000 --> 00:00:14.000]  那訂這個題目呢,因為剛剛我們過了新年
[00:00:14.000 --> 00:00:20.000]  雖然也是過去了,不過也是剛剛,也是沒多久而已
[00:00:20.000 --> 00:00:24.000]  就覺得這個題目也是比較有喜慶的感覺
[00:00:24.000 --> 00:00:29.000]  那但是我們可能會問,什麼是一個迎神接福的教會呢?
[00:00:29.000 --> 00:00:34.000]  那我們可以從格雷西書1章1到14節的來去找這個答案
[00:00:34.000 --> 00:00:38.000]  開始之前我們先做一個簡單的禱告好不好?
[00:00:38.000 --> 00:00:45.000]  蔡天賦,謝謝你給孩子有這個機會,可以有這個講臺的服事
[00:00:45.000 --> 00:00:49.000]  求主你真的使用孩子,也使用你自己的話語
[00:00:49.000 --> 00:00:54.000]  讓我們靜聞姐妹,我們能夠同感一靈的來領受你自己的真理,自己的真道
[00:00:54.000 --> 00:00:59.000]  進入你的話語當中,能夠明白你的真理,也讓我們有個受教的心
[00:00:59.000 --> 00:01:03.000]  以及我們願意的去活出來,我們感謝主聽我們的禱告
[00:01:03.000 --> 00:01:06.000]  是封靠主耶,是基督寶貴的民窮,阿門
[00:01:06.000 --> 00:01:11.000]  好,那我們先看第一章的第一跟第二節
[00:01:11.000 --> 00:01:26.000]  那第二節基本上是一個像格雷西教會的一個問安
[00:01:26.000 --> 00:01:30.000]  那也是保羅他的一般的書信的風格
[00:01:30.000 --> 00:01:35.000]  就是按照這個希臘跟羅馬的一個書信的風格格式
[00:01:35.000 --> 00:01:39.000]  那首先他介紹自己,表明他是一個使徒的身份
[00:01:39.000 --> 00:01:41.000]  也是一個發信的人
[00:01:41.000 --> 00:01:44.000]  他也提到他的親密的同工提莫泰
[00:01:44.000 --> 00:01:51.000]  那有些人,有些學者認為因為可能保羅當時候他有這個顏值
[00:01:51.000 --> 00:01:55.000]  可能他看不清楚,所以他讓提莫泰替他代筆
[00:01:55.000 --> 00:02:00.000]  然後這個信也指出這個受信人就是格雷西教會的人
[00:02:00.000 --> 00:02:02.000]  所以這個就是很清楚的
[00:02:02.000 --> 00:02:08.000]  另外當我們認識多一些格雷西教會的背景之後
[00:02:08.000 --> 00:02:13.000]  我們發現這些卷書確實有一個很特別的地方
[00:02:13.000 --> 00:02:19.000]  在13卷的保羅的書信當中,有4卷是寫給個人的
[00:02:19.000 --> 00:02:25.000]  有1卷是寫給一個地區的,就是宣教歷史中第一站的加拉泰
[00:02:25.000 --> 00:02:31.000]  然後有4卷是寫給當時羅馬帝國之中三個最主要的城市的教會
[00:02:31.000 --> 00:02:35.000]  包括以夫索、哥林多還有羅馬
[00:02:35.000 --> 00:02:42.000]  另外2卷就是在北面路上一個通道之中的一個重鎮中的教會
[00:02:42.000 --> 00:02:46.000]  就是這個菲利比跟貼薩羅尼加
[00:02:46.000 --> 00:02:52.000]  這5個城市在保羅的宣教旅程之中是一個有很重要的位置
[00:02:52.000 --> 00:02:55.000]  那麼剩下一卷就是格雷西書
[00:02:55.000 --> 00:02:58.000]  那保羅其實他沒有到過這個地方
[00:02:58.000 --> 00:03:04.000]  而且在這個地方在信仰的時代也沒有一個什麼重要的地位
[00:03:04.000 --> 00:03:09.000]  那麼為什麼保羅他要寫信給格雷西教會呢?
[00:03:09.000 --> 00:03:13.000]  那按一般的估計,這卷書是監獄書信之一
[00:03:13.000 --> 00:03:16.000]  可能是在公元60到62年
[00:03:16.000 --> 00:03:21.000]  使徒保羅在羅馬被監禁等候上訴判決的時候所寫的
[00:03:21.000 --> 00:03:28.000]  而考古的資料顯示,格雷西在公元60年的時候發生過地震
[00:03:28.000 --> 00:03:30.000]  有很多的破壞
[00:03:30.000 --> 00:03:37.000]  所以也可能引發出很多在當地一些的範靈的思想或許一些迷信的習俗
[00:03:37.000 --> 00:03:41.000]  所以很多學者都認為保羅寫這個信給格雷西教會的目的
[00:03:41.000 --> 00:03:48.000]  是基於發生地震之後出現了一些假教師和迷惑人的一些情況
[00:03:48.000 --> 00:03:52.000]  以及信徒在信仰上產生一些的混淆
[00:03:52.000 --> 00:04:00.000]  所以什麼是一個迎神接福的教會呢?
[00:04:00.000 --> 00:04:06.000]  迎神接福的教會是一個迎接人來認識神並接出福音的教會
[00:04:06.000 --> 00:04:09.000]  我不曉得你們可能會覺得有點牽強
[00:04:09.000 --> 00:04:12.000]  不過我覺得還挺通順的
[00:04:12.000 --> 00:04:15.000]  那首先我們一起來讀第三到第八節好不好?
[00:04:15.000 --> 00:04:17.000]  來一起讀,一二三
[00:04:17.000 --> 00:04:24.000]  我們為你們報告的時候常常感謝我們主耶穌基督的父上
[00:04:24.000 --> 00:04:31.000]  因為聽見你們對基督耶穌的信心並對眾聖徒有感恩心
[00:04:31.000 --> 00:04:36.000]  這都是因著那給你們傳在天上的安保
[00:04:36.000 --> 00:04:42.000]  它就是你們從前所聽見真理的道,就是這福音
[00:04:42.000 --> 00:04:48.000]  這福音傳到你們那裡,也傳到普天下
[00:04:48.000 --> 00:04:52.000]  迎著繼續增長,不斷結果
[00:04:52.000 --> 00:04:58.000]  正如自從你們聽見福音,甚至傳到神裡恩惠的日子
[00:04:58.000 --> 00:05:01.000]  在你們中間也是這樣
[00:05:01.000 --> 00:05:08.000]  這福音是你們從我們所信愛,一同做普人的第八口所收到的
[00:05:08.000 --> 00:05:16.000]  祂為我們做了基督忠心不移,也把聖靈賜給你們的愛,告訴我們
[00:05:16.000 --> 00:05:20.000]  那這一段的經文是一個感恩
