
[00:00:00.000 --> 00:00:02.540]  好 讓我們在聽神的道 以先讓我們同心討究
[00:00:02.540 --> 00:00:06.600]  讓我們聽神的道之前 先同心禱告
[00:00:06.600 --> 00:00:09.840]  慈禧護神 多謝你給我們能夠再次打開你的說話
[00:00:09.840 --> 00:00:12.620]  在我們中國人的農曆年的時間
[00:00:12.620 --> 00:00:14.920]  或者思想在正月的時候
[00:00:14.920 --> 00:00:17.440]  在聖經曾經發生過一段的歷史
[00:00:17.440 --> 00:00:21.560]  讓我們能夠在這個新的一年的開始
[00:00:21.560 --> 00:00:23.200]  也都讓我們知道新的一年
[00:00:23.200 --> 00:00:27.480]  怎樣是活在主你的恩典和在你的教導之下
[00:00:27.480 --> 00:00:31.320]  求你與我們同在 讓我們有一個活潑的靈
[00:00:31.320 --> 00:00:33.400]  也都能夠有一個充滿的耳朵
[00:00:33.400 --> 00:00:36.160]  能夠聽得準確主你的教訓
[00:00:36.160 --> 00:00:39.080]  讓我們生命也都能夠接受主你的教導
[00:00:39.080 --> 00:00:41.480]  我們謝謝你 我們的親愛的父神
[00:00:41.480 --> 00:00:43.520]  你給我們能夠再次有生命
[00:00:43.520 --> 00:00:46.760]  來到這新的一年 農曆年的時間
[00:00:46.760 --> 00:00:49.440]  我們弟兄姐妹聚在一起
[00:00:49.440 --> 00:00:51.800]  來到一同仰望在你的跟前
[00:00:51.800 --> 00:00:53.560]  我們再次獻上感謝
[00:00:53.560 --> 00:00:56.560]  你給我們能夠打開你的說話
[00:00:56.560 --> 00:00:58.640]  從聖經裡面思想一段
[00:00:58.640 --> 00:01:04.240]  有關正月的時間所發生的一段歷史
[00:01:04.240 --> 00:01:05.840]  使我們也同時明白到
[00:01:05.840 --> 00:01:08.280]  我們道地上面應當如此
[00:01:08.280 --> 00:01:11.800]  來活我們在新的一年裡面的生活
[00:01:11.800 --> 00:01:15.520]  求你的幫助 使我們聰明的靈
[00:01:15.520 --> 00:01:17.520]  也讓我們有清澈的耳朵
[00:01:17.520 --> 00:01:19.600]  能夠接受主你的教訓
[00:01:19.600 --> 00:01:21.800]  能夠把新的一年
[00:01:21.800 --> 00:01:25.360]  成為一個更活潑見證神的生命
[00:01:25.360 --> 00:01:27.960]  讓我們每一天的生活來到時空裡
[00:01:27.960 --> 00:01:29.880]  我們禱告封住耶穌的名嘴
[00:01:29.880 --> 00:01:30.880]  Amen
