
[00:00:00.000 --> 00:00:02.000]  大英師妹,我們一起祈禱
[00:00:02.000 --> 00:00:05.000]  天父,我們來到你面前聚集的時候
[00:00:05.000 --> 00:00:06.000]  我們多謝你
[00:00:06.000 --> 00:00:10.000]  因為你的慈愛比生命更加寶貴
[00:00:10.000 --> 00:00:12.000]  我們今天讀這篇詩篇的時候
[00:00:12.000 --> 00:00:14.000]  求你自己都向我們講說話
[00:00:14.000 --> 00:00:17.000]  主要給我們不單止是讀到
[00:00:17.000 --> 00:00:20.000]  以前私人的一些歌詞
[00:00:20.000 --> 00:00:22.000]  更加是給我們的心
[00:00:22.000 --> 00:00:24.000]  好像發出共鳴的時候
[00:00:24.000 --> 00:00:27.000]  我們去享受到你的慈愛
[00:00:27.000 --> 00:00:29.000]  願你帶領我們,願我們同在
[00:00:29.000 --> 00:00:32.000]  我們這樣禱告,奉耶穌基督的名祈求
[00:00:32.000 --> 00:00:34.000]  下門
[00:00:34.000 --> 00:00:39.000]  今天這篇詩篇,第63篇
[00:00:39.000 --> 00:00:43.000]  基本上大家可能都比較熟悉
[00:00:43.000 --> 00:00:45.000]  因為有些詩歌都是根據
[00:00:45.000 --> 00:00:47.000]  這篇詩篇第63篇去作
[00:00:47.000 --> 00:00:49.000]  可能你都唱過
[00:00:49.000 --> 00:00:51.000]  一開始的時候
[00:00:51.000 --> 00:00:52.000]  其實這篇詩篇第63篇
[00:00:52.000 --> 00:00:55.000]  有一個很重要的主題
[00:00:55.000 --> 00:01:02.000]  就是私人感覺到神是非常寶貴
[00:01:02.000 --> 00:01:05.000]  在人世間當然其中一樣
[00:01:05.000 --> 00:01:07.000]  我們每個人都非常珍惜
[00:01:07.000 --> 00:01:11.000]  亦都非常要保存的
[00:01:11.000 --> 00:01:15.000]  當然就是一個生存的渴求
[00:01:15.000 --> 00:01:21.000]  生命本身去保存自己
[00:01:21.000 --> 00:01:23.000]  面對著生命的威脅
[00:01:23.000 --> 00:01:29.000]  這個本身基本上是最重要的
[00:01:29.000 --> 00:01:31.000]  就是要保存自己,不用死
[00:01:31.000 --> 00:01:34.000]  而事實上這篇詩篇本身
[00:01:34.000 --> 00:01:36.000]  一開始的時候
[00:01:36.000 --> 00:01:38.000]  我們剛才讀過
[00:01:38.000 --> 00:01:40.000]  前面如果你有自己的聖經
[00:01:40.000 --> 00:01:42.000]  你看到一些細字
[00:01:42.000 --> 00:01:45.000]  就解釋到這篇詩篇寫作的背景的時候
[00:01:45.000 --> 00:01:47.000]  你就知道原來是大衛的時候
[00:01:47.000 --> 00:01:51.000]  他在猶太的抗野的時候寫的
[00:01:51.000 --> 00:01:53.000]  大衛在猶太抗野的時候
[00:01:53.000 --> 00:01:55.000]  寫作的背景是怎樣的呢
[00:01:55.000 --> 00:01:59.000]  就是當時來說他是被掃羅王追殺
[00:01:59.000 --> 00:02:02.000]  由聖經講到有不止一次
[00:02:02.000 --> 00:02:06.000]  其實他是來死只是相隔一步
[00:02:06.000 --> 00:02:08.000]  大衛在這邊生走
[00:02:08.000 --> 00:02:13.000]  在另外一邊掃羅已經有很多的隨從
[00:02:13.000 --> 00:02:15.000]  軍隊在另外一邊已經追殺著他
[00:02:15.000 --> 00:02:22.000]  而他一個人被掃羅的軍隊如果一捉到
[00:02:22.000 --> 00:02:24.000]  基本上就是實死無生
[00:02:24.000 --> 00:02:29.000]  掃羅不止一次要去追殺他
[00:02:29.000 --> 00:02:33.000]  有一次你可能記得聖經
[00:02:33.000 --> 00:02:36.000]  《十無二記》非常緊張的故事
[00:02:36.000 --> 00:02:38.000]  大衛追到走投無路的時候
[00:02:38.000 --> 00:02:40.000]  就躲進山洞裡
[00:02:40.000 --> 00:02:47.000]  掃羅一群人已經在山洞門口
[00:02:47.000 --> 00:02:49.000]  很緊張
[00:02:49.000 --> 00:02:52.000]  你可以想像大衛躲在山洞最深的地方
[00:02:52.000 --> 00:02:53.000]  黑黑的
[00:02:53.000 --> 00:02:55.000]  但是你想像的情景
[00:02:55.000 --> 00:02:58.000]  你在山洞裡黑的
[00:02:58.000 --> 00:03:00.000]  你望著外面是有光的
[00:03:00.000 --> 00:03:02.000]  前面的人已經很多人聲
[00:03:02.000 --> 00:03:03.000]  越來越近
[00:03:03.000 --> 00:03:05.000]  接著直接去到山洞的門口
[00:03:05.000 --> 00:03:08.000]  你看到有些光的人影在那裡
[00:03:08.000 --> 00:03:12.000]  接著還要
[00:03:12.000 --> 00:03:16.000]  後來看到掃羅一步一步地走進山洞裡
[00:03:16.000 --> 00:03:20.000]  隨從可能有一兩個保鏢跟著進來
[00:03:20.000 --> 00:03:23.000]  跟著差不多掃羅就再走進一點
[00:03:23.000 --> 00:03:25.000]  大衛想著
[00:03:25.000 --> 00:03:28.000]  非常之危險了
[00:03:28.000 --> 00:03:30.000]  難道被他找到我
[00:03:30.000 --> 00:03:32.000]  就躲在山洞裡
[00:03:32.000 --> 00:03:36.000]  故事後來原來掃羅是不知道
[00:03:36.000 --> 00:03:39.000]  就進去大解而已
[00:03:39.000 --> 00:03:44.000]  但是大衛就在那次
[00:03:44.000 --> 00:03:47.000]  就切了他的衣襟
[00:03:47.000 --> 00:03:49.000]  大衛就沒有殺到掃羅
