
[00:00:00.000 --> 00:00:04.000]  造成了肉身 住在我們中間
[00:00:04.000 --> 00:00:08.000]  匆匆滿滿地有恩典 有真理
[00:00:08.000 --> 00:00:11.000]  我們也見過他的榮光
[00:00:11.000 --> 00:00:16.000]  正是父獨一兒子的榮光
[00:00:16.000 --> 00:00:19.000]  復活節的前夕
[00:00:19.000 --> 00:00:25.000]  我們繼續去默想主耶穌基督的降生 受死 復活
[00:00:25.000 --> 00:00:29.000]  什麼是恩典 什麼是榮耀
[00:00:29.000 --> 00:00:32.000]  什麼是真正的相信耶穌
[00:00:32.000 --> 00:00:36.000]  什麼才是復活的生命
[00:00:36.000 --> 00:00:40.000]  歡迎大家來到我們的周六崇拜
[00:00:40.000 --> 00:00:44.000]  時間是公元九十幾年
[00:00:44.000 --> 00:00:50.000]  地點是愛琴海上的一個希臘小島 名叫拔摩
[00:00:50.000 --> 00:00:56.000]  距離主耶穌基督受死復活已經有六十幾年的歲月
[00:00:56.000 --> 00:00:59.000]  福音已經被廣傳
[00:00:59.000 --> 00:01:02.000]  然而猶太人要的是神蹟
[00:01:02.000 --> 00:01:05.000]  希離利人求的是智慧
[00:01:05.000 --> 00:01:09.000]  我們卻傳釘十架基督
[00:01:09.000 --> 00:01:12.000]  在猶太人看為半腳石
[00:01:12.000 --> 00:01:16.000]  在外邦人看為魚鑽
[00:01:16.000 --> 00:01:19.000]  八十後的老約翰
[00:01:19.000 --> 00:01:24.000]  被放逐到拔摩島已經有一段日子
[00:01:24.000 --> 00:01:29.000]  距離他釋放的歲月卻是遙遙無期
[00:01:29.000 --> 00:01:31.000]  相信他自己時日無多
[00:01:31.000 --> 00:01:37.000]  約翰決意在島上寫下第四本榮耀的福音
[00:01:37.000 --> 00:01:42.000]  他要去鼓勵一班信徒在驚濤駭浪之中
[00:01:42.000 --> 00:01:47.000]  仍然去勇敢為真理作見證
[00:01:47.000 --> 00:01:49.000]  約翰福音的信息
[00:01:49.000 --> 00:01:53.000]  不是那些上帝保守出入平安
[00:01:53.000 --> 00:01:56.000]  信靠耶穌加肥屋苑
[00:01:56.000 --> 00:02:00.000]  約翰寫的正如他自己的人生
[00:02:00.000 --> 00:02:04.000]  是一本轟轟烈烈的福音書
[00:02:04.000 --> 00:02:07.000]  他叫我們獻上我們自己
[00:02:07.000 --> 00:02:10.000]  傳言為主甚至傾家蕩產
[00:02:10.000 --> 00:02:13.000]  奉上自己的生命
[00:02:13.000 --> 00:02:17.000]  約翰說這樣才是真正的人生
[00:02:17.000 --> 00:02:19.000]  豐盛的人生
[00:02:19.000 --> 00:02:21.000]  復活的生命
[00:02:21.000 --> 00:02:24.000]  榮耀的生命
[00:02:24.000 --> 00:02:27.000]  如果我們要用兩句說話
[00:02:27.000 --> 00:02:30.000]  去總結整本約翰福音
[00:02:30.000 --> 00:02:33.000]  我們可以這樣寫
[00:02:33.000 --> 00:02:37.000]  道成肉身榮耀主
[00:02:37.000 --> 00:02:41.000]  信從基督得生命
[00:02:41.000 --> 00:02:45.000]  上星期說了第一句道成肉身榮耀主
[00:02:45.000 --> 00:02:47.000]  今天要說下一句
[00:02:47.000 --> 00:02:49.000]  信從基督得生命
[00:02:49.000 --> 00:02:54.000]  上星期我們讀的是約翰福音的起頭
[00:02:54.000 --> 00:02:58.000]  今天我們先從約翰福音的結尾開始讀
[00:02:58.000 --> 00:03:04.000]  約翰福音第20章第30節和31節這樣說
[00:03:04.000 --> 00:03:07.000]  耶穌在他門徒面前
[00:03:07.000 --> 00:03:10.000]  另外行了許多的神蹟
[00:03:10.000 --> 00:03:12.000]  沒有記錄在這書上
[00:03:12.000 --> 00:03:14.000]  但記載這些事
[00:03:14.000 --> 00:03:18.000]  是要你們信耶穌是基督
[00:03:18.000 --> 00:03:20.000]  是上帝的兒子
[00:03:20.000 --> 00:03:23.000]  並且使你們信他
[00:03:23.000 --> 00:03:27.000]  好欣著他的名得到生命
[00:03:27.000 --> 00:03:31.000]  約翰說耶穌行了許多的神蹟
[00:03:31.000 --> 00:03:33.000]  一個更好的翻譯
[00:03:33.000 --> 00:03:38.000]  應該是耶穌行了很多天國的記號
[00:03:38.000 --> 00:03:41.000]  耶穌給我們的不是普通的神蹟
[00:03:41.000 --> 00:03:43.000]  而是天國的記號
[00:03:43.000 --> 00:03:45.000]  所謂的記號就是
[00:03:45.000 --> 00:03:49.000]  等於神蹟裡面包住了一個信息
[00:03:49.000 --> 00:03:52.000]  神蹟只是上帝的包裝
[00:03:52.000 --> 00:03:58.000]  裡面的信息才是祂給世人的恩典和禮物
[00:03:58.000 --> 00:04:04.000]  約翰說這些事是要使你們相信
[00:04:04.000 --> 00:04:06.000]  這些事是什麼事?
[00:04:06.000 --> 00:04:08.000]  是說那七個記號
[00:04:08.000 --> 00:04:11.000]  上星期我和你看了七個
[00:04:11.000 --> 00:04:15.000]  在約翰福音裡面所記載的神蹟記號
[00:04:15.000 --> 00:04:17.000]  而這七個記號
[00:04:17.000 --> 00:04:23.000]  結果都是指向主耶穌基督的壽死復活
[00:04:23.000 --> 00:04:25.000]  於是約翰在他的福音書裡面
[00:04:25.000 --> 00:04:27.000]  有一個屬靈的方程式
[00:04:27.000 --> 00:04:31.000]  方程式不是看看神蹟拜拜耶穌
[00:04:31.000 --> 00:04:34.000]  不是叫你看看耶穌有多大的能力
[00:04:34.000 --> 00:04:38.000]  於是我們個個好像要拜黃大仙去拜耶穌
[00:04:38.000 --> 00:04:41.000]  這個不是他的屬靈方程式
[00:04:41.000 --> 00:04:44.000]  他的屬靈方程式是明白記號
[00:04:44.000 --> 00:04:49.000]  知道記號背後所講的是十字架和空墳墓
[00:04:49.000 --> 00:04:58.000]  於是你和我背負我們自己的十字架去跟隨耶穌
[00:04:58.000 --> 00:05:00.000]  他說我寫這本福音書
[00:05:00.000 --> 00:05:03.000]  我寫這麼多的神蹟記號
[00:05:03.000 --> 00:05:07.000]  是要你知道使你們相信
[00:05:07.000 --> 00:05:10.000]  有古卷說使你們相信這句話
[00:05:10.000 --> 00:05:12.000]  一個更好的翻譯
