
[00:00:00.000 --> 00:00:03.400]  我哋立法堂一齊大家行咗三十年
[00:00:03.400 --> 00:00:05.960]  喺三十年裏面我哋所做嘅嘢
[00:00:05.960 --> 00:00:08.160]  當你回顧返諗嘅時候
[00:00:08.160 --> 00:00:10.160]  你會唔會相信
[00:00:10.160 --> 00:00:11.960]  你又會唔會應該明白
[00:00:11.960 --> 00:00:14.920]  其實有一啲嘢我哋係做得唔好嘅呢
[00:00:14.920 --> 00:00:16.920]  我哋係做咗有虧欠
[00:00:16.920 --> 00:00:19.000]  或者我哋係做得唔夠嘅呢
[00:00:19.000 --> 00:00:22.280]  今日我就想大家一齊思想呢件事
[00:00:22.280 --> 00:00:24.680]  如果我哋能夠再有三十年
[00:00:24.680 --> 00:00:26.280]  再有三十年
[00:00:26.280 --> 00:00:28.480]  再次嘅去發夢嘅時候
[00:00:28.480 --> 00:00:29.960]  我又會點樣嘅做呢
[00:00:29.960 --> 00:00:32.360]  你又會點樣嘅做呢
[00:00:32.360 --> 00:00:34.040]  唔單單淨係講緊立法堂
[00:00:34.040 --> 00:00:36.040]  我講緊你自己嘅生命
[00:00:36.040 --> 00:00:38.040]  點解你仲會存留喺度㗎呢
[00:00:38.040 --> 00:00:40.040]  點解你仲會生存㗎呢
[00:00:40.040 --> 00:00:42.760]  點解你仲係會過得幾好呢
[00:00:42.760 --> 00:00:45.360]  會唔會上帝其實有個心意畀你
[00:00:45.360 --> 00:00:48.320]  就叫你去再活一次你嘅生命呢
[00:00:48.320 --> 00:00:50.320]  重新嘅去諗下
[00:00:50.320 --> 00:00:53.320]  你應該點樣樣活你嘅人生呢
[00:00:53.320 --> 00:00:56.440]  呢個就係今日想同大家一齊嘅去睇㗎
[00:00:56.440 --> 00:00:59.080]  我哋呢今日用兩段嘅聖經呢
[00:00:59.080 --> 00:01:01.840]  聖經係用咗兩個嘅比喻呢
[00:01:01.840 --> 00:01:04.840]  嚟教我哋點樣再諗再次嘅夢㗎
[00:01:04.840 --> 00:01:06.440]  第一個比喻呢就講到
[00:01:06.440 --> 00:01:08.640]  點樣嘅係建築
[00:01:08.640 --> 00:01:11.160]  點樣嘅建造一個教會
[00:01:11.160 --> 00:01:12.400]  建造一個樓房
