
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹 住內平安 早安
[00:00:04.000 --> 00:00:10.000]  今天我是講傳福音的 題目是
[00:00:10.000 --> 00:00:14.000]  我們Elly姐有傳福音的活動 昨天
[00:00:14.000 --> 00:00:20.000]  盼望主多多地將人帶到我們月月堂
[00:00:20.000 --> 00:00:27.000]  我們平時都喜歡聊天 聊天就是聊聊天
[00:00:28.000 --> 00:00:32.000]  談話 通常我們會約人聊天
[00:00:32.000 --> 00:00:36.000]  喝一口茶 坐下來慢慢聊
[00:00:36.000 --> 00:00:41.000]  聊天聊天 其實聊天是什麼意思呢
[00:00:41.000 --> 00:00:44.000]  我們普通話就說談話
[00:00:44.000 --> 00:00:48.000]  聊天我們語語真是很豐富的意思
[00:00:48.000 --> 00:00:53.000]  聊天原來的意思是先清喉嚨
[00:00:53.000 --> 00:00:57.000]  後來就引申為我們交談
[00:00:58.000 --> 00:01:01.000]  清喉嚨和交談 即是我要先做好準備
[00:01:01.000 --> 00:01:04.000]  和你去有這個對話
[00:01:04.000 --> 00:01:07.000]  所以聊天是和我們的交談
[00:01:07.000 --> 00:01:12.000]  和我們平時有空喝一口茶聊聊天
[00:01:12.000 --> 00:01:15.000]  這個聊天是很悠閒的
[00:01:15.000 --> 00:01:20.000]  這個字其實和佛教的字是有關的
[00:01:20.000 --> 00:01:24.000]  他就說聊天就是智慧的話
[00:01:24.000 --> 00:01:28.000]  他不是單是一般的閒聊
[00:01:28.000 --> 00:01:31.000]  你聊的時候就帶出那個智慧
[00:01:31.000 --> 00:01:36.000]  所以聊就是吐出來
[00:01:36.000 --> 00:01:38.000]  我們倒出來
[00:01:38.000 --> 00:01:42.000]  將心裡那些智慧想表達的
[00:01:42.000 --> 00:01:46.000]  講出來在一個很輕鬆的環境當中
[00:01:46.000 --> 00:01:49.000]  如果開會呢 開會就麻煩了 很嚴肅
[00:01:49.000 --> 00:01:53.000]  大家都很緊張 因為很正式
[00:01:53.000 --> 00:01:57.000]  聊天就不同了 聊天就很容易建立關係
[00:01:57.000 --> 00:02:01.000]  世人就會聊天 帶出那個世界的道理
[00:02:01.000 --> 00:02:04.000]  你在當中聊的時候 你就知道很多的訊息
[00:02:04.000 --> 00:02:07.000]  或者甚至是學到很多世界的道理
[00:02:07.000 --> 00:02:10.000]  基督徒呢 我們聊天 聊的時候
[00:02:10.000 --> 00:02:12.000]  如果是和講福音有關的
[00:02:12.000 --> 00:02:16.000]  我們在這個過程就要有那種智慧
[00:02:16.000 --> 00:02:20.000]  不單止我們講的話 裡面有真理
[00:02:20.000 --> 00:02:24.000]  我們講的過程就需要有智慧
[00:02:24.000 --> 00:02:26.000]  因為你有智慧的時候
[00:02:26.000 --> 00:02:28.000]  你的關係就可以建立得到
[00:02:28.000 --> 00:02:33.000]  傳福音就比較容易入手
[00:02:33.000 --> 00:02:37.000]  主耶穌就是幫我們做了一個很好的榜樣
[00:02:37.000 --> 00:02:39.000]  在這段經文中
[00:02:39.000 --> 00:02:42.000]  經文就說到
[00:02:42.000 --> 00:02:44.000]  約翰是傳福音
[00:02:44.000 --> 00:02:47.000]  天國近了 你們應當悔改
[00:02:47.000 --> 00:02:49.000]  耶穌基督呢 祂同樣是傳福音
[00:02:49.000 --> 00:02:52.000]  大家都是做福音工作的
[00:02:52.000 --> 00:02:58.000]  但是當時約翰的門徒就說了一句話
[00:02:58.000 --> 00:03:01.000]  意思就是大家都去了耶穌那裡
[00:03:01.000 --> 00:03:05.000]  我們這裡人越來越少了
[00:03:05.000 --> 00:03:10.000]  所以就在試探 在挑起爭端
[00:03:10.000 --> 00:03:12.000]  這句話其實很容易
