
[00:00:00.000 --> 00:00:04.600]  早上我是按以導自建的《釋經》靈修材料
[00:00:04.600 --> 00:00:09.040]  今天早上我是按《爾道自建每日釋經》的靈修材料
[00:00:09.040 --> 00:00:12.040]  我就選擇了1月8日的詩篇13篇
[00:00:12.040 --> 00:00:14.080]  作為和大家的分享
[00:00:14.080 --> 00:00:17.400]  我就選擇了1月8日那篇詩篇13篇
[00:00:17.400 --> 00:00:18.680]  跟大家分享
[00:00:18.680 --> 00:00:22.280]  我承認開始了這個聖賢三合一
[00:00:22.280 --> 00:00:23.800]  對主要學的老師
[00:00:23.800 --> 00:00:27.640]  或者團契查經小組的組長是有一定的壓力
[00:00:27.900 --> 00:00:31.740]  我承認今年我開始選擇那個聖賢三合一
[00:00:31.740 --> 00:00:34.800]  對主要學老師或團契查經小組長
[00:00:34.800 --> 00:00:36.080]  是一項挑戰
[00:00:36.080 --> 00:00:38.640]  其實我自己是首當其衝的
[00:00:38.640 --> 00:00:40.700]  其實大家所面對的困難
[00:00:40.700 --> 00:00:42.740]  我是當然是首當其衝的
[00:00:42.740 --> 00:00:45.560]  何牧師都間接跟我發出一個信號
[00:00:45.560 --> 00:00:47.100]  是很難的
[00:00:47.100 --> 00:00:49.400]  何牧師也是跟我一塊抱著同一個信號
[00:00:49.400 --> 00:00:51.960]  都覺得大家共同的體驗就是覺得很難
[00:00:51.960 --> 00:00:54.000]  其實其中一個最大的困難是
[00:00:54.000 --> 00:00:56.060]  即使我們做牧師
[00:00:56.060 --> 00:00:57.840]  其實我們不是可以
[00:00:58.100 --> 00:01:00.160]  掌握每一卷聖經的經卷
[00:01:00.160 --> 00:01:02.200]  其中最大的困難是
[00:01:02.200 --> 00:01:04.000]  即便是牧師傳道人
[00:01:04.000 --> 00:01:07.080]  也未必有足夠能力去駕馭聖經每一卷書
[00:01:07.080 --> 00:01:12.700]  大家知道忠臣有一個很出名的教授叫馮蔭坤博士
[00:01:12.700 --> 00:01:14.740]  大家曉得忠臣有位
[00:01:14.740 --> 00:01:18.080]  很著名的神學博士叫馮蔭坤博士
[00:01:18.080 --> 00:01:22.940]  他是每天用8個小時
[00:01:22.940 --> 00:01:25.760]  他每天用超過8個小時
[00:01:25.760 --> 00:01:27.300]  一個星期六日
[00:01:27.540 --> 00:01:28.820]  一個星期六天
[00:01:28.820 --> 00:01:30.880]  四年寫本式經書
[00:01:30.880 --> 00:01:35.220]  總共花了四年才寫出一本聖經書
[00:01:35.220 --> 00:01:41.620]  所以研究神的話語是可以非常之博大精深的一件事
[00:01:41.620 --> 00:01:44.960]  所以說研究神的話語是一個博大精深的事情
[00:01:44.960 --> 00:01:47.760]  另外有時經文不一定是適合講道
[00:01:47.760 --> 00:01:51.600]  另外一部分是經文不一定是適合在台上講道
[00:01:51.600 --> 00:01:54.420]  因為畢竟靈修和講道是兩回事來的
[00:01:54.420 --> 00:01:56.980]  因為畢竟講道和靈修是兩回事
[00:01:56.980 --> 00:01:59.280]  加上要很短時間去預備
[00:01:59.280 --> 00:02:00.560]  這個難度是非常之高
[00:02:00.560 --> 00:02:03.120]  就算在短時間內來一塊講的話
[00:02:03.120 --> 00:02:04.920]  難度是會增加的
[00:02:04.920 --> 00:02:07.480]  我想講這麼多都是鼓勵大家
[00:02:07.480 --> 00:02:08.760]  都是要讀
[00:02:08.760 --> 00:02:11.580]  不是說他講那麼多是鼓勵
[00:02:11.580 --> 00:02:13.620]  只是鼓勵大家要讀聖經
[00:02:13.620 --> 00:02:14.900]  難的我們要讀
[00:02:14.900 --> 00:02:16.180]  容易的我們要讀
[00:02:16.180 --> 00:02:17.460]  難的話要讀
[00:02:17.460 --> 00:02:19.260]  容易的話更需要讀
[00:02:19.260 --> 00:02:21.300]  否則我們聽來聽去都是四福音
[00:02:21.300 --> 00:02:22.580]  你永遠都不會長進
[00:02:22.580 --> 00:02:25.140]  否則我們聽來聽去都是四福音的話
[00:02:25.400 --> 00:02:27.380]  沒有不可能長進
[00:02:27.380 --> 00:02:30.000]  有一位古教父亞特納修他這樣形容詩篇
[00:02:30.000 --> 00:02:34.100]  有一位古教父亞特納修曾經這樣形容詩篇
[00:02:34.100 --> 00:02:36.660]  他說聖經都是神對我們說話
[00:02:36.660 --> 00:02:39.220]  聖經都是神向我們說話
[00:02:39.220 --> 00:02:42.560]  唯有詩篇是教我們怎樣向神說話
[00:02:42.560 --> 00:02:45.880]  唯一詩篇去教導我們怎樣跟神說話
[00:02:45.880 --> 00:02:49.200]  詩篇是一種我們說叫做一種宗教的語言
[00:02:49.200 --> 00:02:50.240]  一種心靈的語言
[00:02:50.240 --> 00:02:52.800]  詩篇是一個宗教的語言
[00:02:53.040 --> 00:02:55.600]  心靈的語言可以表達我們宗教的感情
[00:02:55.600 --> 00:02:57.640]  去表達我們宗教的感情
[00:02:57.640 --> 00:03:00.720]  詩篇也都教導我們應該說透過私人
[00:03:00.720 --> 00:03:03.280]  我們怎樣學習去接觸我們的內心世界
[00:03:03.280 --> 00:03:05.080]  詩篇也都引導我們透過
[00:03:05.080 --> 00:03:07.120]  私人來接觸我們內心的世界
[00:03:07.120 --> 00:03:08.400]  也都去
[00:03:08.400 --> 00:03:12.500]  透過我們在那種的掙扎現實生活種種的掙扎
[00:03:12.500 --> 00:03:15.820]  也透過我們在現實生活中種種的掙扎
[00:03:15.820 --> 00:03:17.100]  我們透過祈禱
[00:03:17.100 --> 00:03:18.900]  向神發出哀求
[00:03:18.900 --> 00:03:19.920]  我們透過
[00:03:19.920 --> 00:03:21.720]  禱告向神
[00:03:21.720 --> 00:03:22.480]  做呼求
[00:03:22.740 --> 00:03:25.820]  從我們心底裏面向神發出呼喊
[00:03:25.820 --> 00:03:27.100]  打從我們心裏面
[00:03:27.100 --> 00:03:29.140]  對神做真誠的呼喊
[00:03:29.140 --> 00:03:31.960]  有時候我們會經歷從懷疑到信靠
[00:03:31.960 --> 00:03:35.280]  有時候偶爾我們會經歷到從懷疑到信靠
[00:03:35.280 --> 00:03:37.840]  有時候我們會向神去爭辯到讚美
[00:03:37.840 --> 00:03:40.660]  有時候我們從對神爭辯到讚美
[00:03:40.660 --> 00:03:43.980]  甚至我們跟神疏離到重新轉向神
[00:03:43.980 --> 00:03:46.300]  甚至有時候我們跟神疏離
[00:03:46.300 --> 00:03:48.080]  然後重新回歸到神身邊
[00:03:48.080 --> 00:03:52.440]  對一些特別不想禱告不懂得禱告的頂姐妹
[00:03:52.700 --> 00:03:57.560]  對一些特別不想禱告不懂得禱告的頂姐妹
[00:03:57.560 --> 00:04:02.680]  或者我們對祈禱已經不大有期望的人
[00:04:02.680 --> 00:04:06.020]  或者我們對祈禱已經不大有期望的人
[00:04:06.020 --> 00:04:09.860]  詩篇是一個開啟我們心靈信仰的好導師
[00:04:09.860 --> 00:04:13.180]  詩篇確實是一個開啟我們心靈信仰的導師
[00:04:13.180 --> 00:04:14.720]  詩篇有不同的分類
[00:04:14.720 --> 00:04:16.260]  詩篇有不同的分類
[00:04:16.260 --> 00:04:22.660]  如果《倚道志見》這個月是集中在詩篇1至72篇裏面
[00:04:22.660 --> 00:04:24.700]  去選取讀一些叫愛歌
[00:04:24.700 --> 00:04:31.360]  在《倚道志見》裏面我們這個月抽取詩篇是1至72篇裏面
