
[00:00:00.000 --> 00:00:02.600]  我哋一齊同心去祈禱
[00:00:02.600 --> 00:00:04.600]  我哋親愛嘅天父上帝
[00:00:04.600 --> 00:00:06.600]  我哋懷住一個感恩嘅心
[00:00:06.600 --> 00:00:08.800]  喺主日嘅時候嚟到你嘅家
[00:00:08.800 --> 00:00:10.000]  你嘅殿裏面
[00:00:10.000 --> 00:00:12.600]  去宣告你係我哋生命嘅主
[00:00:12.600 --> 00:00:14.600]  你係人類歷史嘅主
[00:00:14.600 --> 00:00:16.600]  你係創造天地嘅主
[00:00:16.600 --> 00:00:18.000]  我哋嚟敬拜你
[00:00:18.000 --> 00:00:20.400]  就要承認你對我哋有主權
[00:00:20.400 --> 00:00:23.000]  求你接納我哋嘅敬拜
[00:00:23.000 --> 00:00:26.000]  求你接納我哋從心裏面發出嘅讚美
[00:00:26.000 --> 00:00:27.400]  亦都願你嘅聖靈
[00:00:27.400 --> 00:00:29.400]  臨喺我哋嘅心靈裏面
[00:00:29.400 --> 00:00:32.600]  讓我哋去打開屬靈嘅眼睛
[00:00:32.600 --> 00:00:34.600]  望見屬靈嘅真理
[00:00:34.600 --> 00:00:37.000]  聽到你自己嘅說話
[00:00:37.000 --> 00:00:40.200]  亦都讓我哋能夠快快嘅去跟隨你
[00:00:40.200 --> 00:00:43.400]  讓你嘅靈去觸動我哋
[00:00:43.400 --> 00:00:46.200]  讓我哋去實踐你自己嘅要求
[00:00:46.200 --> 00:00:48.400]  你既然係生命嘅主
[00:00:48.400 --> 00:00:50.400]  你對我哋有咩要求
[00:00:50.400 --> 00:00:52.600]  我哋靠自己唔能夠做到
[00:00:52.600 --> 00:00:55.800]  求你讓我哋靠著你嘅力量去做到
[00:00:55.800 --> 00:00:57.200]  我哋咁樣嘅祈禱
[00:00:57.200 --> 00:00:58.400]  係奉耶穌基督嘅名
[00:00:58.400 --> 00:01:00.400]  阿門
[00:01:00.400 --> 00:01:01.800]  好感謝神嘅恩典
[00:01:01.800 --> 00:01:03.200]  亦都好多謝
[00:01:03.200 --> 00:01:06.400]  播道會廣福堂林誠信牧師嘅邀請
[00:01:06.400 --> 00:01:10.200]  佢畀咗一個幾唔容易嘅挑戰
[00:01:10.200 --> 00:01:12.600]  就係佢設計咗一個教會
[00:01:12.600 --> 00:01:16.200]  改革運動五百周年嘅講道系列
[00:01:16.200 --> 00:01:20.600]  然後佢就想喺十二月嘅第一周嘅時候
[00:01:20.600 --> 00:01:22.400]  就開始呢個系列
[00:01:22.400 --> 00:01:25.400]  就嗰個題目就係從青年角度去睇
[00:01:25.400 --> 00:01:29.200]  上帝嘅愛釋放我哋嚟去改變世界
[00:01:29.200 --> 00:01:34.200]  所以我係跟住呢個方向去寫我嘅講章
[00:01:34.200 --> 00:01:36.600]  林牧師就畀我一篇文
[00:01:36.600 --> 00:01:38.200]  我就睇過好多次
[00:01:38.200 --> 00:01:39.600]  喺祈禱嘅裏面
[00:01:39.600 --> 00:01:41.600]  我就係設計咗個架構
[00:01:41.600 --> 00:01:45.400]  邀請同工將個架構打出嚟
[00:01:45.400 --> 00:01:47.000]  我就喺教會講道
[00:01:47.000 --> 00:01:49.000]  我都未試過咁神學性嘅
[00:01:49.000 --> 00:01:52.600]  所以我就今次係第四堂講
[00:01:52.600 --> 00:01:56.400]  我都係繼續會有修改我第一部分
[00:01:56.400 --> 00:01:59.600]  希望大家你能夠跟得到
[00:01:59.600 --> 00:02:01.400]  首先第一部分就係話
[00:02:01.400 --> 00:02:03.800]  從罪裏面得到自由
[00:02:03.800 --> 00:02:05.400]  自由嘅去服事
[00:02:05.400 --> 00:02:07.800]  如果你睇英文係容易明啲
[00:02:07.800 --> 00:02:10.600]  Free from sin, free to serve
[00:02:10.600 --> 00:02:13.600]  即係話我哋基督徒係從罪裏面得釋放
[00:02:13.600 --> 00:02:15.600]  我可以歡喜快樂嘅
