
[00:00:00.000 --> 00:00:04.000]  今天也算是一個特別的日子
[00:00:04.000 --> 00:00:13.000]  主席領事也提到中樹主日
[00:00:13.000 --> 00:00:17.000]  雖然我們教會沒有明文規定來慶祝
[00:00:17.000 --> 00:00:20.000]  這個是中樹主日
[00:00:20.000 --> 00:00:26.000]  在天主教是聖枝主日
[00:00:26.000 --> 00:00:34.000]  也是目的去紀念當日耶穌光榮進入耶路撒冷城
[00:00:34.000 --> 00:00:38.000]  被群眾夾道歡迎 歡呼喝彩
[00:00:38.000 --> 00:00:43.000]  他們揮動手上的中樹枝去歡迎
[00:00:43.000 --> 00:00:46.000]  一路歡呼 一路揮動
[00:00:46.000 --> 00:00:52.000]  群眾和門徒也不知道
[00:00:52.000 --> 00:00:55.000]  也沒有想過再過幾天
[00:00:55.000 --> 00:01:00.000]  他們的主耶穌便會被釘在十字架上
[00:01:00.000 --> 00:01:03.000]  耶穌自己當然知道
[00:01:03.000 --> 00:01:09.000]  但是祂甘願畏贖我們世人的罪
[00:01:09.000 --> 00:01:13.000]  祂自願走上十字架
[00:01:13.000 --> 00:01:19.000]  我們看約翰一書三章十六節
[00:01:19.000 --> 00:01:25.000]  很清楚的說 主為我們寫明
[00:01:25.000 --> 00:01:29.000]  我們從此就知道何為愛
[00:01:29.000 --> 00:01:34.000]  當我們思想耶穌基督的受難釘十字架的時候
[00:01:34.000 --> 00:01:38.000]  我們必然會想到主耶穌的愛
[00:01:38.000 --> 00:01:41.000]  對我們世人的愛
[00:01:41.000 --> 00:01:46.000]  這節聖經說出了一個很重要的真理
[00:01:46.000 --> 00:01:50.000]  就是耶穌基督甘願上十字架
[00:01:50.000 --> 00:01:55.000]  為我們世人願意釘在十字架上的動機
[00:01:55.000 --> 00:01:58.000]  是為了愛我們
[00:01:58.000 --> 00:02:04.000]  祂是想我們像約翰福音三章十六節所說
[00:02:04.000 --> 00:02:08.000]  神愛世人 甚至將他的獨生子賜給他們
[00:02:08.000 --> 00:02:13.000]  叫一切順他的不至滅亡 反得永生
[00:02:13.000 --> 00:02:16.000]  耶穌對我們這麼大的愛 這麼大的恩情
[00:02:16.000 --> 00:02:19.000]  我們當然不要辜負祂的好意
[00:02:19.000 --> 00:02:23.000]  所以我藉著今天的訊息
[00:02:23.000 --> 00:02:26.000]  能夠對大家有所提醒
[00:02:26.000 --> 00:02:32.000]  對未信的人 我鼓勵你們快些信耶穌
[00:02:32.000 --> 00:02:37.000]  看到這些經文和聽這些訊息
[00:02:37.000 --> 00:02:40.000]  希望能夠感動到你的心
[00:02:40.000 --> 00:02:43.000]  對我們已經信了主的人
[00:02:43.000 --> 00:02:46.000]  鼓勵你要常常去思念主
[00:02:46.000 --> 00:02:50.000]  為我們在十字架上所受的痛苦
[00:03:10.000 --> 00:03:25.000]  那些故事是發生在耶穌將要進入耶路撒冷之前的一段時間
[00:03:25.000 --> 00:03:28.000]  可能是禮拜一所遇到的事
[00:03:28.000 --> 00:03:35.000]  那些人也是和耶穌相遇
[00:03:35.000 --> 00:03:40.000]  他們對耶穌的反應和回應
[00:03:40.000 --> 00:03:44.000]  是很值得我們去借鑒
[00:03:44.000 --> 00:03:47.000]  去反省我們自己
[00:03:47.000 --> 00:03:51.000]  反省我們自己的信到底是否正確
[00:03:51.000 --> 00:03:53.000]  是否符合聖經所說的
[00:03:53.000 --> 00:03:58.000]  所以今天我們要學的功課就是
[00:03:58.000 --> 00:04:02.000]  我們如何得救
[00:04:02.000 --> 00:04:07.000]  或者我們說得救應該是怎樣的呢
[00:04:07.000 --> 00:04:14.000]  今天的講題是誰能得救呢
[00:04:14.000 --> 00:04:21.000]  這句話是出自剛才我們讀的經文裡的其中一句
[00:04:21.000 --> 00:04:23.000]  是六合福音十八章
[00:04:23.000 --> 00:04:29.000]  其實整個故事是十八章的十八節至二十七節
[00:04:29.000 --> 00:04:39.000]  是說有一個很富有的官去問耶穌關於永生之道
[00:04:39.000 --> 00:04:47.000]  那個官至少是遵守律法很規矩的
[00:04:47.000 --> 00:04:51.000]  但他有一個問題就是他以為這樣就夠了
[00:04:51.000 --> 00:04:59.000]  誰知道當耶穌要他變賣一切所有去分級窮人的時候
[00:04:59.000 --> 00:05:02.000]  還要他來跟隨主耶穌的時候
[00:05:02.000 --> 00:05:06.000]  我們看二十三節他的反應是怎樣
[00:05:06.000 --> 00:05:15.000]  他聽見者說就甚憂愁因為他很富足
[00:05:15.000 --> 00:05:22.000]  表面看來這個富有的官是不捨得他的錢財
[00:05:22.000 --> 00:05:24.000]  這個很明顯
[00:05:24.000 --> 00:05:32.000]  但其實背後我自己認為他的信念是有問題的
[00:05:32.000 --> 00:05:41.000]  因為人的信念是支配人的抉擇和行為的
[00:05:41.000 --> 00:05:45.000]  這個官很可能有那種自以為意
[00:05:45.000 --> 00:05:52.000]  我們常常說自以為意的心態
[00:05:52.000 --> 00:05:56.000]  可以想像一下為什麼他會自以為意
[00:05:56.000 --> 00:05:59.000]  就是他的工作很成功
[00:05:59.000 --> 00:06:01.000]  做官的
[00:06:01.000 --> 00:06:04.000]  他信仰也很成功
[00:06:04.000 --> 00:06:07.000]  他守齊了那些誡命
[00:06:07.000 --> 00:06:11.000]  無惡可指責
[00:06:11.000 --> 00:06:13.000]  他的生活也很成功
[00:06:13.000 --> 00:06:18.000]  他很有錢
[00:06:18.000 --> 00:06:28.000]  這麼成功的人必定會有一套生活的價值觀
[00:06:28.000 --> 00:06:32.000]  他已經定了一套成功之道
[00:06:32.000 --> 00:06:36.000]  他有一個固定的信念
[00:06:36.000 --> 00:06:42.000]  如果有人跟他說另外一套價值觀或信念
[00:06:42.000 --> 00:06:47.000]  我相信他很難接受
[00:06:47.000 --> 00:06:50.000]  我們自己想想
[00:06:50.000 --> 00:06:57.000]  如果有人跟我們說跟我們心目中所持有的
[00:06:57.000 --> 00:07:02.000]  發達之道 幸福之道 健康之道
[00:07:02.000 --> 00:07:06.000]  跟我們所做的不同
[00:07:06.000 --> 00:07:09.000]  有些半信半疑
[00:07:09.000 --> 00:07:13.000]  可能我的那套比你的那套還要好
[00:07:13.000 --> 00:07:17.000]  我自己那套很順利
[00:07:17.000 --> 00:07:19.000]  這是很自然的
[00:07:19.000 --> 00:07:25.000]  一個很順利的人很難聽得入福音
[00:07:25.000 --> 00:07:27.000]  如果他是未信的
[00:07:27.000 --> 00:07:30.000]  一個信了的人如果他很順利
[00:07:30.000 --> 00:07:38.000]  也很難更正他偏差了的信念
[00:07:38.000 --> 00:07:47.000]  自以為意最可怕的一個表現或現象或後果是什麼呢?
[00:07:47.000 --> 00:07:53.000]  自以為意就不會有自己的良心虧欠
[00:07:53.000 --> 00:07:59.000]  自以為意的人不會有良心責備
[00:07:59.000 --> 00:08:03.000]  覺得自己是對的 怎會責備自己呢?
[00:08:03.000 --> 00:08:05.000]  那就糟糕了
[00:08:05.000 --> 00:08:07.000]  錯就繼續錯下去
[00:08:07.000 --> 00:08:11.000]  而且不會悔改
[00:08:11.000 --> 00:08:14.000]  所以我們要很小心
[00:08:14.000 --> 00:08:24.000]  不要讓自己墮入自以為意的陷阱
[00:08:24.000 --> 00:08:29.000]  在座之中都會有人有一個經驗
[00:08:29.000 --> 00:08:31.000]  在傳福音的時候
[00:08:31.000 --> 00:08:38.000]  如果我們向一些他未信但生活工作很成功的人
[00:08:38.000 --> 00:08:42.000]  你會發覺很難跟他們講福音
[00:08:42.000 --> 00:08:44.000]  講來講去他都未笑
[00:08:44.000 --> 00:08:46.000]  因為他會笑我們
[00:08:46.000 --> 00:08:49.000]  我的那套比你的那套還要好
[00:08:49.000 --> 00:08:54.000]  很難 都是這個原因
[00:08:54.000 --> 00:09:00.000]  當然 怎樣才能改變一個人呢?
[00:09:00.000 --> 00:09:03.000]  當人經歷到神的愛的時候
[00:09:03.000 --> 00:09:06.000]  就會感動過來
[00:09:06.000 --> 00:09:10.000]  剛才詩歌也有說
[00:09:10.000 --> 00:09:14.000]  怎樣看到主的愛?
[00:09:14.000 --> 00:09:18.000]  看到祂刺穿的手
[00:09:18.000 --> 00:09:22.000]  如果我們只是憑理智來信耶穌
[00:09:22.000 --> 00:09:28.000]  只是憑看遵守聖經的規條來信耶穌
[00:09:28.000 --> 00:09:31.000]  我們只能成為一個律法主義者
[00:09:31.000 --> 00:09:34.000]  很容易就會墮入自以為意
[00:09:34.000 --> 00:09:37.000]  做齊了 做得很好
[00:09:37.000 --> 00:09:40.000]  那我就行了
[00:09:40.000 --> 00:09:44.000]  他看不到主的愛 從來領受不到主的愛
[00:09:44.000 --> 00:09:47.000]  是很糟糕的
[00:09:47.000 --> 00:09:52.000]  而且也不會守得多久
[00:09:52.000 --> 00:09:55.000]  所以我們很重要的是
[00:09:55.000 --> 00:10:00.000]  我們要不斷尋求經歷神的愛
[00:10:00.000 --> 00:10:08.000]  特別是耶穌基督為我們釘十字架所表現出來的愛
[00:10:08.000 --> 00:10:11.000]  耶穌基督釘十字架的愛
[00:10:11.000 --> 00:10:15.000]  對我有什麼感動呢?
[00:10:15.000 --> 00:10:22.000]  這是我們一生人需要不斷不斷去尋求 去經歷
[00:10:22.000 --> 00:10:24.000]  當你經歷越深的時候
[00:10:24.000 --> 00:10:28.000]  你越感受到神的恩典憐憫
[00:10:28.000 --> 00:10:30.000]  你感受到神的愛
[00:10:30.000 --> 00:10:37.000]  你的生命就可以改變過來
[00:10:37.000 --> 00:10:38.000]  關於自以為意
[00:10:38.000 --> 00:10:43.000]  這種自己有一套幸福之道的信念
[00:10:43.000 --> 00:10:46.000]  我特別鼓勵未信主的朋友
[00:10:46.000 --> 00:10:49.000]  如果你有這種信念
[00:10:49.000 --> 00:10:51.000]  這種信念很容易
[00:10:51.000 --> 00:10:54.000]  為什麼我們很理解很難接受新的一套
[00:10:54.000 --> 00:10:57.000]  就是聖經的一套
[00:10:57.000 --> 00:10:59.000]  不想改變
[00:10:59.000 --> 00:11:01.000]  因為以往已經很好了
[00:11:01.000 --> 00:11:02.000]  不想改變
[00:11:02.000 --> 00:11:04.000]  不想轉
[00:11:04.000 --> 00:11:05.000]  因為怕什麼呢?
[00:11:05.000 --> 00:11:08.000]  連以往的幸福之道都沒有了
[00:11:08.000 --> 00:11:10.000]  很害怕
[00:11:10.000 --> 00:11:12.000]  如果你有這種顧慮
[00:11:12.000 --> 00:11:13.000]  我告訴你
[00:11:13.000 --> 00:11:14.000]  你不用顧慮
[00:11:14.000 --> 00:11:15.000]  你放心
[00:11:15.000 --> 00:11:20.000]  因為聖經裡面所說的永生之道
[00:11:20.000 --> 00:11:22.000]  耶穌基督的福音
[00:11:22.000 --> 00:11:30.000]  比世界上任何東西都更加幸福
[00:11:30.000 --> 00:11:32.000]  更加有益
[00:11:32.000 --> 00:11:33.000]  更加有價值
[00:11:33.000 --> 00:11:35.000]  值得去換取
[00:11:35.000 --> 00:11:40.000]  而且你不需要怕會有不良後果
[00:11:40.000 --> 00:11:44.000]  因為耶穌親自應許我們
[00:11:44.000 --> 00:11:48.000]  他在約翰福音十章十節裡說過
[00:11:48.000 --> 00:11:54.000]  我來是要叫人得更豐盛的生命
[00:11:54.000 --> 00:11:56.000]  當你轉的時候你不用怕
[00:11:56.000 --> 00:12:03.000]  你只會得到更豐盛的生命
[00:12:03.000 --> 00:12:05.000]  是耶穌親自應許我們的
[00:12:05.000 --> 00:12:08.000]  所以我們可以放心去信耶穌
[00:12:08.000 --> 00:12:14.000]  放心去被聖經改變我們
