
[00:00:00.000 --> 00:00:02.480]  大英姊妹,祝你平安
[00:00:02.480 --> 00:00:04.040]  新年快樂
[00:00:04.040 --> 00:00:06.240]  你說現在才說新年快樂
[00:00:06.240 --> 00:00:09.880]  因為我上個星期早上就不是這麼快樂
[00:00:09.880 --> 00:00:12.040]  本來上個星期是和大家見面的
[00:00:12.040 --> 00:00:15.200]  但是上個星期一起來就頭暈頭痛
[00:00:15.200 --> 00:00:17.360]  加上作嘔,很辛苦
[00:00:17.360 --> 00:00:19.800]  本來麥皮吃了一半也吃不下去
[00:00:19.800 --> 00:00:21.600]  所以要稍微放下
[00:00:21.600 --> 00:00:26.200]  那我跟自己說,我準備回去要八點九要做木土
[00:00:26.200 --> 00:00:29.080]  我怕我一放下,過了就不太好
[00:00:29.080 --> 00:00:32.040]  我更加怕上個台嘔
[00:00:32.040 --> 00:00:33.920]  新年頭就不太好
[00:00:33.920 --> 00:00:36.520]  所以沒辦法,還是發訊息
[00:00:36.520 --> 00:00:38.120]  新年快樂
[00:00:38.120 --> 00:00:41.560]  今天這個訊息是新年新人新形象
[00:00:41.560 --> 00:00:44.320]  你看我,可能沒有分別
[00:00:44.320 --> 00:00:46.920]  所以不是很新的形象
[00:00:46.920 --> 00:00:47.840]  今天不好意思
[00:00:47.840 --> 00:00:51.080]  首先今天的經文應該出自新漢語
[00:00:51.080 --> 00:00:53.320]  但是我寫錯了
[00:00:53.320 --> 00:00:56.640]  所以大家看新漢語就會看到
[00:00:56.640 --> 00:01:01.880]  新漢語、新譯本、和合本是有不同的理解、解釋
[00:01:01.880 --> 00:01:07.040]  不過今天我特別不是一個平時我們說的識經的講道
[00:01:07.040 --> 00:01:10.000]  是偏向神學性的講道
[00:01:10.000 --> 00:01:13.280]  但是不要因為神學性講道令大家害怕
[00:01:13.280 --> 00:01:17.200]  但是需要大家思考神學性的講道
[00:01:17.200 --> 00:01:23.600]  是需要一些概念從整本聖經當中去一個脈絡
[00:01:23.600 --> 00:01:25.840]  去這個概念去澄清
[00:01:25.840 --> 00:01:27.440]  往往聽到一個概念
[00:01:27.440 --> 00:01:29.320]  但是實際上那個概念講什麼
[00:01:29.320 --> 00:01:32.080]  單從一個經文未必那麼完整
[00:01:32.080 --> 00:01:34.680]  所以可能要整本聖經去看
[00:01:34.680 --> 00:01:36.400]  不過時間有限
[00:01:36.400 --> 00:01:39.160]  所以我只能夠很精簡地說
[00:01:39.160 --> 00:01:41.960]  但隨時可能會失去點子
[00:01:41.960 --> 00:01:46.920]  新的一年不知道大家往往都說年尾是什麼
[00:01:46.920 --> 00:01:48.520]  沒反應
[00:01:48.520 --> 00:01:50.760]  來什麼感恩
[00:01:50.760 --> 00:01:58.080]  那年頭呢?年頭當然希望有新年的志願、立志
[00:01:58.080 --> 00:02:01.720]  不知道在座當中多不多人已經沒有做這件事了
[00:02:01.720 --> 00:02:03.120]  但其實我鼓勵你們做的
