
[00:00:00.000 --> 00:00:05.880]  今天我們所查的聖經是撒布爾記上第三十章叫《歷戰》
[00:00:05.880 --> 00:00:09.320]  上星期我們看到大衛走投無路
[00:00:09.320 --> 00:00:12.720]  你留意到他是沒有求問神的
[00:00:12.720 --> 00:00:14.800]  於是他怎樣呢?
[00:00:14.800 --> 00:00:18.460]  在周圍都好像沒有出路之下
[00:00:18.460 --> 00:00:21.780]  他竟然投靠敵人非利是人
[00:00:21.780 --> 00:00:23.580]  投靠阿吉
[00:00:23.580 --> 00:00:27.540]  為什麼當天他都試過去阿吉那裡
[00:00:27.540 --> 00:00:30.500]  阿吉當他是傻的 因為他自己扮傻
[00:00:30.500 --> 00:00:33.180]  他沒有被接納
[00:00:33.180 --> 00:00:35.920]  但是現在大衛去的時候
[00:00:35.920 --> 00:00:38.240]  阿吉卻接納他 為什麼呢?
[00:00:38.240 --> 00:00:40.920]  原來大衛現在不是一個人了
[00:00:40.920 --> 00:00:43.660]  還是一大幫人跟隨著他
[00:00:43.660 --> 00:00:45.780]  其實在這個過程當中
[00:00:45.780 --> 00:00:51.460]  有很多高材加入他這個群體當中
[00:00:51.460 --> 00:00:53.700]  成為一個很大的軍隊
[00:00:53.700 --> 00:00:59.160]  我們只是抽 其實歷代至上第十二章
[00:00:59.160 --> 00:01:02.540]  記載了很多很多不同的勇士
[00:01:02.540 --> 00:01:05.940]  加入了大衛這個戰團裡面
[00:01:05.940 --> 00:01:08.140]  我們只是抽幾節出來看
[00:01:08.140 --> 00:01:11.540]  我們看看歷代至上第十二章
[00:01:11.540 --> 00:01:14.620]  第一節、第二節、第八節和第十四節
[00:01:14.620 --> 00:01:16.620]  我們請二汪跟我們讀出
[00:01:16.620 --> 00:01:20.140]  為因帕基士的兒子訴諾
[00:01:20.140 --> 00:01:25.800]  那在洗牙拉的時候 有勇士到他那裡幫助他打仗
[00:01:25.800 --> 00:01:30.300]  他們善於拉弓 能用左右兩手甩石射箭
[00:01:30.300 --> 00:01:33.820]  都是變亞敏人 掃羅的族弟兄
[00:01:33.820 --> 00:01:38.000]  加的支派中 有人到曠野的山寨投奔大衛
[00:01:38.000 --> 00:01:42.740]  都是大能的勇士 能拿桶鞋和槍的箭矢
[00:01:42.740 --> 00:01:47.260]  他們的面貌好像獅子 快跑如同山上的鹿
[00:01:47.260 --> 00:01:51.980]  這都是加德人中的軍長 至少的能抵一百人
[00:01:51.980 --> 00:01:54.340]  自大的能抵一千人
[00:01:54.340 --> 00:01:57.700]  你看到這些全部都是勁人來的
[00:01:57.700 --> 00:02:01.180]  真是專才來的 不是隨便的
[00:02:01.180 --> 00:02:06.460]  這幫人 譬如兩隻手左右都可以甩石射箭
[00:02:06.460 --> 00:02:08.040]  你想想多厲害
[00:02:08.040 --> 00:02:10.500]  還有一些人好像勇士那樣
[00:02:10.500 --> 00:02:17.360]  加德裏面的軍長 一個抵擋一百 比葉問更厲害
[00:02:17.360 --> 00:02:19.860]  最大的可以抵擋一千人 你想想多厲害
[00:02:19.860 --> 00:02:21.860]  但是你要特別留意
[00:02:21.860 --> 00:02:25.760]  第二次是變亞敏人掃羅的族弟兄
[00:02:25.760 --> 00:02:28.580]  就是說連掃羅是變亞敏支派的
[00:02:28.580 --> 00:02:32.800]  但是連變亞敏支派的人都不去幫掃羅了
[00:02:32.800 --> 00:02:37.760]  為什麼呢 很可能掃羅已經陷入一個完全崩潰的狀態
[00:02:37.760 --> 00:02:40.480]  就是瘋癲的 玻璃心的
[00:02:40.480 --> 00:02:44.520]  就是有一點點東西都怕別人去謀朝篡位的
[00:02:44.520 --> 00:02:48.980]  於是他就在政治上加強了很多的壓力
[00:02:48.980 --> 00:02:51.860]  令到很多人都不滿 就會走了
[00:02:51.860 --> 00:02:53.500]  好 但是我們再看
[00:02:53.500 --> 00:02:57.580]  大衛都不是隨便的接納所有的人
[00:02:57.580 --> 00:03:00.540]  有些人投靠大衛 大衛都害怕的
[00:03:00.540 --> 00:03:03.040]  都要審問得很清楚的
[00:03:03.040 --> 00:03:05.860]  第十二章十六到第十八節
[00:03:05.860 --> 00:03:10.540]  又有變亞敏和由大人到山寨大衛那裏
[00:03:10.540 --> 00:03:13.540]  大衛出去迎接他們 對他們說
[00:03:13.540 --> 00:03:17.420]  你們若是和和平平的來幫助我
[00:03:17.420 --> 00:03:19.660]  我心就與你們相契
[00:03:19.660 --> 00:03:23.600]  你們若是將我這無罪的人賴在敵人手裏
[00:03:23.600 --> 00:03:26.580]  願我們列祖的神察看責罰
[00:03:26.580 --> 00:03:31.100]  那時神的靈感動那三十個勇士的首領亞瑪薩
[00:03:31.100 --> 00:03:34.380]  他就說 大衛啊 我們是歸於你的
[00:03:34.380 --> 00:03:37.340]  耶穌的兒子啊 我們是幫助你的
[00:03:37.340 --> 00:03:41.380]  願你平平安安 願幫助你的也到平安
[00:03:41.380 --> 00:03:43.300]  因為你的神幫助你
[00:03:43.300 --> 00:03:47.200]  大衛就收留他們 立他們做軍長
[00:03:47.200 --> 00:03:51.080]  留意到有變亞敏和由大就是自己人
[00:03:51.080 --> 00:03:52.820]  來到山寨那裏
[00:03:52.820 --> 00:03:56.660]  那時大衛還沒有投靠菲律師的人
[00:03:56.660 --> 00:03:59.040]  大衛就迎接他們 就問到
[00:03:59.040 --> 00:04:02.360]  你們究竟是來幫我 還是想出賣我
[00:04:02.360 --> 00:04:06.400]  或者做間諜 做無間道 將我出賣
[00:04:06.400 --> 00:04:10.520]  如果你真是來投靠我 我會好好的對待你
[00:04:10.520 --> 00:04:14.200]  如果不是的時候 願意神來懲罰你
[00:04:14.200 --> 00:04:17.780]  神的靈就感動到那些首領
[00:04:17.780 --> 00:04:20.560]  就說到我們願意的來幫助你
[00:04:20.560 --> 00:04:24.000]  大衛投靠菲律師王阿吉
[00:04:24.000 --> 00:04:28.260]  我們看到了 為了掩飾他自己的謊言
[00:04:28.260 --> 00:04:30.040]  他竟然是怎樣呢
[00:04:30.040 --> 00:04:34.600]  就是來打菲律師民族的好朋友
[00:04:34.600 --> 00:04:38.920]  但是他就跟阿吉說
[00:04:38.920 --> 00:04:43.480]  我是打我自己由大之派的人
[00:04:43.480 --> 00:04:48.540]  哇 這樣阿吉都會半信半疑的
[00:04:48.540 --> 00:04:51.820]  但是他就搶了很多東西來呈獻給阿吉
