
[00:00:00.000 --> 00:00:03.780]  我們一齊同心的再次在神面前禱告
[00:00:03.780 --> 00:00:07.380]  親愛的恩主 求你幫助我們
[00:00:07.380 --> 00:00:10.660]  幫助我們打開我們的心竅
[00:00:10.660 --> 00:00:12.660]  我們聽是聽了
[00:00:12.660 --> 00:00:14.660]  但我們心裡要明白
[00:00:14.660 --> 00:00:18.080]  並且求你的聖靈對我們的心說話
[00:00:18.080 --> 00:00:22.140]  將你的心意透過你沒用的僕人來宣講
[00:00:22.140 --> 00:00:24.800]  讓主你自己的心意
[00:00:24.800 --> 00:00:26.800]  讓我們更加明白
[00:00:26.800 --> 00:00:28.380]  體貼你的心
[00:00:28.380 --> 00:00:30.380]  主又好像昔日
[00:00:30.380 --> 00:00:32.380]  你的使徒約翰
[00:00:32.380 --> 00:00:34.380]  在你的胸懷的旁邊
[00:00:34.380 --> 00:00:36.380]  聆聽你心裡的細語
[00:00:36.380 --> 00:00:38.380]  幫助我們
[00:00:38.380 --> 00:00:40.380]  祈禱仰望 奉基督耶穌聖名
[00:00:40.380 --> 00:00:42.380]  阿們
[00:00:42.380 --> 00:00:44.380]  今天我的信職叫做
[00:00:44.380 --> 00:00:48.380]  豪門盛宴為君開
[00:00:48.380 --> 00:00:52.380]  聽起來好像一個豪宅的項目
[00:00:52.380 --> 00:00:54.380]  或者是一間酒樓的名字
[00:00:54.380 --> 00:00:56.380]  是不是
[00:00:56.380 --> 00:01:00.380]  我覺得在聖經裡面
[00:01:00.380 --> 00:01:02.380]  在這個場景裡面
[00:01:02.380 --> 00:01:05.380]  正正就是一個很重要的宴會
[00:01:05.380 --> 00:01:07.380]  一個由一個家主
[00:01:07.380 --> 00:01:09.380]  去有僕人
[00:01:09.380 --> 00:01:11.380]  有很多的牛羊
[00:01:11.380 --> 00:01:15.380]  是一個很大的宴席
[00:01:15.380 --> 00:01:17.380]  請過飲的人
[00:01:17.380 --> 00:01:19.380]  我相信都知道一件事
[00:01:19.380 --> 00:01:21.380]  就是最難的工作
[00:01:21.380 --> 00:01:23.380]  不是飲酒那一刻
[00:01:23.380 --> 00:01:25.380]  因為那天已經有人給你煮了
[00:01:25.380 --> 00:01:27.380]  最難的
[00:01:27.380 --> 00:01:29.380]  就是籌備的過程
[00:01:29.380 --> 00:01:31.380]  半年至到一年前
[00:01:31.380 --> 00:01:33.380]  訂位已經是
[00:01:33.380 --> 00:01:35.380]  好問的了
[00:01:35.380 --> 00:01:39.380]  如果大家知道一些比較緊張的時間
[00:01:39.380 --> 00:01:42.380]  這些時間都是非常之重要
[00:01:42.380 --> 00:01:45.380]  但是更難的就是我們要請人
[00:01:45.380 --> 00:01:47.380]  原來請人的時間
[00:01:47.380 --> 00:01:51.380]  我們要親身去到
[00:01:51.380 --> 00:01:53.380]  特別是長輩
[00:01:53.380 --> 00:01:56.380]  要親身到家裡來交表
[00:01:56.380 --> 00:01:58.380]  交帖的
[00:01:58.380 --> 00:02:00.380]  要雙手給他
[00:02:00.380 --> 00:02:03.380]  還不要問他能不能來
[00:02:03.380 --> 00:02:06.380]  因為他能不能來一回事
[00:02:06.380 --> 00:02:08.380]  你都要預他來
[00:02:08.380 --> 00:02:11.380]  還要他有太太
[00:02:11.380 --> 00:02:12.380]  有另一半
[00:02:12.380 --> 00:02:13.380]  你要請的
[00:02:13.380 --> 00:02:17.380]  一定是鄺麗先生夫人一起請的
[00:02:17.380 --> 00:02:18.380]  如果你不請的時候
[00:02:18.380 --> 00:02:19.380]  你就說
[00:02:19.380 --> 00:02:22.380]  難道你當我隔壁的沒有到嗎
[00:02:22.380 --> 00:02:23.380]  是這樣的
[00:02:23.380 --> 00:02:25.380]  現在這個年代就很不同了
[00:02:25.380 --> 00:02:29.380]  WhatsApp Facebook都可以請客的了
[00:02:29.380 --> 00:02:33.380]  你來不來就在網上剔表格就行了
[00:02:33.380 --> 00:02:35.380]  所以我今天分享的
[00:02:35.380 --> 00:02:38.380]  都是我自己血淚的經歷
[00:02:38.380 --> 00:02:42.380]  其實請人這件事
[00:02:42.380 --> 00:02:44.380]  不單止是一個數學問題
[00:02:44.380 --> 00:02:46.380]  不是加加減減
[00:02:46.380 --> 00:02:48.380]  是一個天文學的問題
[00:02:48.380 --> 00:02:50.380]  為什麼呢
[00:02:50.380 --> 00:02:53.380]  天文學見的星象
[00:02:53.380 --> 00:02:55.380]  一條線扭一條線
[00:02:55.380 --> 00:02:59.380]  金牛座、人馬座
[00:02:59.380 --> 00:03:01.380]  我們認識的人際關係
[00:03:01.380 --> 00:03:03.380]  就是這樣扭啊扭啊扭啊扭啊扭
[00:03:03.380 --> 00:03:04.380]  很多的
[00:03:04.380 --> 00:03:06.380]  姨媽、姑爹
[00:03:06.380 --> 00:03:10.380]  這邊的家庭、同學、親戚
[00:03:10.380 --> 00:03:13.380]  有時連工作的夥伴
[00:03:13.380 --> 00:03:14.380]  很多很多
[00:03:14.380 --> 00:03:15.380]  所以我們見到
[00:03:15.380 --> 00:03:17.380]  這種關係跟人情網
[00:03:17.380 --> 00:03:20.380]  正正代表請客是很難的一件事
[00:03:20.380 --> 00:03:22.380]  就是每年的中秋
[00:03:22.380 --> 00:03:25.380]  我們家裡吃飯了嗎
[00:03:25.380 --> 00:03:26.380]  吃飯那天
[00:03:26.380 --> 00:03:27.380]  如果你知道
[00:03:27.380 --> 00:03:29.380]  有弟弟妹妹又多
[00:03:29.380 --> 00:03:30.380]  又結了婚
[00:03:30.380 --> 00:03:33.380]  要遷就外家吃飯的日子
[00:03:33.380 --> 00:03:37.380]  所以這個都是一個天文學的問題
[00:03:37.380 --> 00:03:40.380]  所以你知道
[00:03:40.380 --> 00:03:43.380]  請客既然是這麼辛苦的時間
[00:03:43.380 --> 00:03:45.380]  如果你請了個人
[00:03:45.380 --> 00:03:48.380]  一聲不響沒有來
[00:03:48.380 --> 00:03:51.380]  我結婚的時候真的有些年輕人這樣
[00:03:51.380 --> 00:03:53.380]  我後來就捉住去問他
[00:03:53.380 --> 00:03:54.380]  為什麼不來
[00:03:54.380 --> 00:03:55.380]  是嗎
[00:03:55.380 --> 00:03:58.380]  這樣回答我都可以
[00:03:58.380 --> 00:04:01.380]  那時候真的很奇怪
[00:04:01.380 --> 00:04:04.380]  我猜你給個理由
[00:04:04.380 --> 00:04:05.380]  給個理由
[00:04:05.380 --> 00:04:06.380]  如果你想過也好
[00:04:06.380 --> 00:04:09.380]  隨便做一個就最糟糕了
[00:04:09.380 --> 00:04:14.380]  沒什麼比一個不成理由的理由
[00:04:14.380 --> 00:04:17.380]  更加令人心傷
[00:04:17.380 --> 00:04:19.380]  我們回到聖經裡面
[00:04:19.380 --> 00:04:21.380]  其實正正就是用一個這樣的場景
[00:04:21.380 --> 00:04:24.380]  一個家主去開一個筵席
[00:04:24.380 --> 00:04:28.380]  代表了天國一個很盛大的盛宴
[00:04:28.380 --> 00:04:30.380]  我們或者將
[00:04:30.380 --> 00:04:32.380]  剛才看回今天的經文
[00:04:32.380 --> 00:04:35.380]  可能剛才讀的時候很快地略過
[00:04:35.380 --> 00:04:39.380]  我們或者看一看今天的經文
[00:04:39.380 --> 00:04:44.380]  我們可以請PowerPoint和我們看今天的經文
[00:04:44.380 --> 00:04:47.380]  我們用輪流的方式來讀
