
[00:00:00.000 --> 00:00:03.000]  各位丁姊妹平安
[00:00:03.000 --> 00:00:08.000]  這個月崇拜港獨的路加福音系列來到尾聲
[00:00:08.000 --> 00:00:10.000]  我負責最後一講
[00:00:10.000 --> 00:00:15.000]  大家還記不記得路加福音寫作的目的呢?
[00:00:15.000 --> 00:00:19.000]  我們可以看回路加福音第一章一至四節
[00:00:19.000 --> 00:00:22.000]  路加福音的序言
[00:00:22.000 --> 00:00:24.000]  路加福音說
[00:00:24.000 --> 00:00:31.000]  提亞非羅大人 有好些人提筆作書 述說在我們中間所成就的事
[00:00:31.000 --> 00:00:37.000]  是照傳道的人 從起初親眼看見 又傳給我們的
[00:00:37.000 --> 00:00:41.000]  這些事我既從起頭都詳細考察了
[00:00:41.000 --> 00:00:44.000]  就定義要按著次序寫給你
[00:00:44.000 --> 00:00:50.000]  使你知道所學之道都是確實的
[00:00:50.000 --> 00:00:55.000]  尤其是第四節 使你知道所學之道都是確實的
[00:00:55.000 --> 00:00:58.000]  就讓我們知道原來路加寫的路加福音
[00:00:58.000 --> 00:01:01.000]  是讓我們知道我們所信的是真實的
[00:01:01.000 --> 00:01:04.000]  信心就會得到堅固
[00:01:04.000 --> 00:01:07.000]  就可以有信仰生活的操守和表達
[00:01:07.000 --> 00:01:10.000]  並且會因為信仰群體的身份
[00:01:10.000 --> 00:01:13.000]  能夠確立我們的價值觀和使命
[00:01:13.000 --> 00:01:16.000]  我們來看看今天講到的經文
[00:01:16.000 --> 00:01:20.000]  請大家不要忘記 當我們一路看經文的時候
[00:01:20.000 --> 00:01:22.000]  都要記住路加寫作的目的
[00:01:22.000 --> 00:01:26.000]  記下這些事情 讓我們知道這些是真的
[00:01:26.000 --> 00:01:29.000]  並且和我們有重要的關係
[00:01:29.000 --> 00:01:31.000]  剛才主席帶領我們讀出的經文
[00:01:31.000 --> 00:01:34.000]  路加福音第22章39-46節
[00:01:34.000 --> 00:01:37.000]  是在橄欖山上的圖告
[00:01:37.000 --> 00:01:43.000]  也就是馬太和馬可記載在赫西瑪利縣的圖告
[00:01:43.000 --> 00:01:47.000]  首先我們來看看為什麼要圖告呢?
[00:01:47.000 --> 00:01:51.000]  原來在第40和46節兩次提到
[00:01:51.000 --> 00:01:55.000]  他們要圖告免得入了迷惑
[00:01:55.000 --> 00:01:59.000]  迷惑在英文聖經裏面是Temptation
[00:01:59.000 --> 00:02:01.000]  即是試探
[00:02:01.000 --> 00:02:05.000]  他們到底遇到什麼試探呢?
[00:02:05.000 --> 00:02:10.000]  我們看回路加福音第22章第24節
[00:02:10.000 --> 00:02:13.000]  當時門徒起了爭論
[00:02:13.000 --> 00:02:16.000]  他們中間哪一個可算偉大
[00:02:16.000 --> 00:02:23.000]  原來他們的試探就是在爭論誰最偉大
[00:02:23.000 --> 00:02:27.000]  是一個野心和慾望的試探
[00:02:27.000 --> 00:02:29.000]  因為野心和慾望
[00:02:29.000 --> 00:02:34.000]  門徒和門徒之間發生了衝突
[00:02:34.000 --> 00:02:37.000]  第25-27節
[00:02:37.000 --> 00:02:40.000]  請大家一齊了讀
[00:02:40.000 --> 00:02:44.000]  耶穌說:外邦人有君王為主治理他們
[00:02:44.000 --> 00:02:47.000]  那掌權管他們的稱為恩主
[00:02:47.000 --> 00:02:49.000]  但你們不可這樣
[00:02:49.000 --> 00:02:53.000]  你們裡頭偉大的都要像年幼的
[00:02:53.000 --> 00:02:57.000]  為首領的都要像服侍人的
