
[00:00:00.000 --> 00:00:04.000]  各位電影姐妹,各位在網上的電影姐妹,早晨。
[00:00:04.000 --> 00:00:12.000]  我們中國人會不會說年初幾快樂?年初八快樂。
[00:00:12.000 --> 00:00:17.000]  不過你見到我們,不知為何傳道人安排講道,
[00:00:17.000 --> 00:00:22.000]  講完那些東西,是否適合新年聽呢?
[00:00:22.000 --> 00:00:31.000]  講「罪」,「新晶頭」。有位姿體跟我談這件事,提醒我,
[00:00:31.000 --> 00:00:36.000]  我們應該多講這些。為什麼?
[00:00:36.000 --> 00:00:42.000]  猶太人的新年是什麼內容?大家知不知道?
[00:00:42.000 --> 00:00:50.000]  猶太人的新年很長的,一個標誌性的時間是初十,就是贖罪日。
[00:00:50.000 --> 00:01:02.000]  所以在猶太人的背景,新晶頭,我穿紅色的衝起,
[00:01:02.000 --> 00:01:11.000]  但是猶太人的傳統也值得我們思考和學習,基督徒也應該想一想我們跟神的關係。
[00:01:11.000 --> 00:01:18.000]  所以贖罪日,或者新年,是一個思考跟神的關係的日子。
[00:01:18.000 --> 00:01:26.000]  其實這段聖經讀出的時候,我相信你也有聽過。
[00:01:26.000 --> 00:01:32.000]  我想指出,這段經文其實講述幾個很重要的,
[00:01:32.000 --> 00:01:38.000]  再探討很重要的所謂神學主題,或者聖經的真理。
[00:01:38.000 --> 00:01:41.000]  「罪」,剛才講過了。還有什麼?
[00:01:41.000 --> 00:01:47.000]  「愛」,「恩典」,「信心」。我們要平安。
[00:01:47.000 --> 00:01:53.000]  最後那段經文講完以後,耶穌說「你信夠了,你平平安安去了。」
[00:01:53.000 --> 00:01:57.000]  其實都是我們很想要的東西。
[00:01:57.000 --> 00:02:04.000]  大家有沒有欠過債?有沒有借過錢給別人?
[00:02:04.000 --> 00:02:19.000]  所以「債」這一個比喻,我們看見這個故事跟這個比喻的關係,我們再一次去思考,重新再想一想。
[00:02:19.000 --> 00:02:29.000]  我們看《路加福音》或者《荒書》的經文,有時候最大的困難就是我們覺得自己聽了很多次,或者這些故事好像耳熟能詳。
[00:02:29.000 --> 00:02:34.000]  這個故事其實跟馬太路加有一個很相似的。
[00:02:34.000 --> 00:02:41.000]  很多學者都指出,不是同一個故事,又是有一個女人,又去告耶穌。
[00:02:41.000 --> 00:02:45.000]  那是馬利亞,另外兩個故事,耶穌快要死的時候。
[00:02:45.000 --> 00:02:47.000]  但這個故事應該是兩個場景。
[00:02:47.000 --> 00:02:59.000]  所以我們重新再想一想,看一看,究竟這個故事是在說什麼?這個「債」跟這個「愛」和這個「罪」等等這些主題有什麼關係呢?
[00:02:59.000 --> 00:03:06.000]  那我們一起再去準備我們的心去領受神的話語,我們一起祈禱吧!
[00:03:06.000 --> 00:03:17.000]  天父,我們多謝祢,讓我們一起思想祢的話語,讓我們一起在神的聖言裡面去有一個很好的崇拜的時間。
[00:03:17.000 --> 00:03:27.000]  我們方派,我們很重視港道,我們求祢,讓我們真的在港道聽到的時候,包括講的和聽的,
[00:03:27.000 --> 00:03:43.000]  我們也能夠不只是聽一些教訓,但是真的聽了之後,我們更加深明白,我們所信的,我們所愛的那位是怎樣的一位神。
[00:03:43.000 --> 00:03:57.000]  我們要每次去回祢的話語,從那裡去看,歷久常新,祢的愛對我們是怎樣,我們也怎樣去愛祢,我們也怎樣去愛人。
[00:03:57.000 --> 00:04:11.000]  在這個新年的時間,再一次,求祢更新我們的內心,使用這個真人真事這些信息,以致我們反省,
[00:04:11.000 --> 00:04:23.000]  以致我們從心裡面真誠地覺得我們所信的是好,我們所做的,是真的要為神而做。
[00:04:23.000 --> 00:04:27.000]  多謝主聽我們禱告,奉耶穌基督名字,阿們。
[00:04:27.000 --> 00:04:41.000]  我不會重新再讀那些經文,但是從怎樣入手呢?我請了,我沒有特別 PowerPoint,我請了 PowerPoint 的姐妹一邊講一邊去。
[00:04:41.000 --> 00:04:48.000]  我建議大家可以,如果你有聖經,當然現在多數都是拿著手機,不過如果你有聖經,你可以看回前文後理。
[00:04:48.000 --> 00:04:59.000]  很抱歉,因為我把《盧家福音》這個系列,第七章就支離破碎,在不同時間來講。其實一開始,如果大家看回經文開始,
[00:04:59.000 --> 00:05:07.000]  好像一個很獨立的故事,法利塞人請耶穌吃飯,耶穌就在法利塞人家裡面坐寂。
[00:05:07.000 --> 00:05:17.000]  但是如果你看回前一句聖經,我手上有個新漢語譯本,前一句聖經就是,上次是講的獅子約翰,
[00:05:17.000 --> 00:05:26.000]  獅子約翰就講到,耶穌就講到這個世代是一個,就是我上次講的,是非不分,這樣的世代。
[00:05:26.000 --> 00:05:42.000]  獅子約翰來,不吃不喝,就被人說了,被鬼附的。人子來,怎麼說呢?又吃又喝,你看看這個人,貪吃好酒,是衰利和罪人的朋友。
[00:05:42.000 --> 00:05:56.000]  耶穌後來就講了一句小總結,第七章三十五節,但從所有智慧之子的身上顯為疑,這句很複雜,大家聽回上次的解釋,真的有點複雜。
[00:05:56.000 --> 00:06:14.000]  接著就講這個故事,其實呢,這個都是一個很好的進入,這個場景是不是說,法利塞人,耶穌,你好好啊,我請你吃飯啦,等於我們,等於只會請傳道人,吃飯啦。
[00:06:14.000 --> 00:06:42.000]  是一個很正面的一個事,還是一個不太正面呢?因為我們讀完聖經,就要看回,真正的逐個的場景去稱呼,譬如說吃飯,有些是開心吃,有些是尊重地吃,有些是,其實這一個,我們都在暗示,你一邊看的時候,法利塞人抱著什麼心態,來請耶穌去吃飯呢?
[00:06:42.000 --> 00:07:11.000]  剛剛上一節是什麼?耶穌說,有些人說,耶穌是貪吃好酒,現在就來吃飯了。在吃飯的場景,其實猶太人是很重視的,猶太人也都是,甚至是在當時,有些人會說,猶太的拉比,那些猶太的教師,教聖經的人,在吃飯裡面,其實就是察經的。
[00:07:11.000 --> 00:07:34.000]  哇,你看,我們一起去吃飯,或者我們這些小組,吃完經吃飯,吃完飯,察經,無所謂。也都是,好像中國人那樣,在飯桌上面,就會討論的。其實很多民族都是這樣的。猶太人是特別重視這個,延寂,吃飯的機會,去討論聖經。
