
[00:00:00.000 --> 00:00:03.660]  好開心今日能夠同大家一齊見拜神
[00:00:03.660 --> 00:00:06.800]  過去幾個禮拜我都去不同的堂會講道
[00:00:06.800 --> 00:00:12.120]  今日返到來有一種少少離家老大會的感覺
[00:00:12.120 --> 00:00:16.640]  始終我諗始終會有招待問我
[00:00:16.640 --> 00:00:19.280]  笑問客從何處來都唔定
[00:00:19.280 --> 00:00:23.320]  我想問大家昨晚有無發過夢
[00:00:23.320 --> 00:00:26.040]  有誰發過夢請你舉手
[00:00:26.040 --> 00:00:28.880]  有無人發考試的夢
[00:00:28.880 --> 00:00:30.880]  即是去考試的夢
[00:00:30.880 --> 00:00:34.360]  雖然我考了很多年無考過試
[00:00:34.360 --> 00:00:37.480]  但我經常都會發一些考試的夢
[00:00:37.480 --> 00:00:41.160]  通常是無讀到書一本書都無讀到去考試
[00:00:41.160 --> 00:00:43.560]  或者是不知市場在哪裏
[00:00:43.560 --> 00:00:46.960]  或者是忘記帶支筆這些事
[00:00:46.960 --> 00:00:51.560]  有個神學院的教授
[00:00:51.560 --> 00:00:56.640]  他想幫他的神學生明白什麼叫做因典
[00:00:56.640 --> 00:01:02.080]  他就透過一個考試來講解
[00:01:02.080 --> 00:01:06.400]  他就有一次一個科目完成了
[00:01:06.400 --> 00:01:08.400]  他就做一個考試
[00:01:08.400 --> 00:01:12.400]  他的神學生講這個考試是很特別的
[00:01:12.400 --> 00:01:16.040]  那個試卷總共有五頁紙
[00:01:16.040 --> 00:01:18.040]  二十條問題
[00:01:18.040 --> 00:01:20.040]  你們記得一樣東西
[00:01:20.040 --> 00:01:22.040]  就看完每一頁
[00:01:22.040 --> 00:01:25.040]  看完每一行字才開始作答
[00:01:25.040 --> 00:01:27.040]  記住
[00:01:27.040 --> 00:01:29.040]  嘩!二十頁
[00:01:29.040 --> 00:01:32.040]  那些學生開始考試
[00:01:32.040 --> 00:01:34.040]  有沒有搞錯
[00:01:34.040 --> 00:01:36.040]  二十條問題一條都不懂
[00:01:36.040 --> 00:01:38.040]  條條都離譜這麼深
[00:01:38.040 --> 00:01:40.040]  今次一定肥佬
[00:01:40.040 --> 00:01:42.040]  肥了就筆不到頁
[00:01:42.040 --> 00:01:44.040]  筆不到頁就做不到傳導人
[00:01:44.040 --> 00:01:47.040]  做不到傳導人就很麻煩
[00:01:47.040 --> 00:01:49.040]  那怎麼辦呢
[00:01:49.040 --> 00:01:54.040]  有些神學生看完第一頁
[00:01:54.040 --> 00:01:56.040]  四條問題都不懂答
[00:01:56.040 --> 00:01:58.040]  再看第二頁四條又不懂答
[00:01:58.040 --> 00:02:00.040]  再看第三頁四條又不懂答
[00:02:00.040 --> 00:02:02.040]  那他就放下
[00:02:02.040 --> 00:02:04.040]  今次一定肥
[00:02:04.040 --> 00:02:07.040]  就直接不考試了
[00:02:07.040 --> 00:02:09.040]  筆忍捉到不考試
[00:02:09.040 --> 00:02:11.040]  那有些呢
[00:02:11.040 --> 00:02:15.040]  看了第一頁第二頁第三頁
[00:02:15.040 --> 00:02:18.040]  沒可能搞錯唯有現在就開始答
[00:02:18.040 --> 00:02:19.040]  那就開始答
[00:02:19.040 --> 00:02:21.040]  不看第四頁第五頁
[00:02:21.040 --> 00:02:25.040]  但有些看了五頁最後那一行
[00:02:25.040 --> 00:02:27.040]  有一句這樣說
[00:02:27.040 --> 00:02:30.040]  你可以嘗試作答所有的試題
[00:02:30.040 --> 00:02:32.040]  但你有另一個選擇
[00:02:32.040 --> 00:02:35.040]  就是你不需要作答任何問題
[00:02:35.040 --> 00:02:38.040]  只需要在這一行那裡
[00:02:38.040 --> 00:02:41.040]  簽上你的名就一百分
[00:02:41.040 --> 00:02:44.040]  他們簽上的名真是一百分
[00:02:44.040 --> 00:02:47.040]  但有第四種人呢
[00:02:47.040 --> 00:02:50.040]  第一種就完全沒答就零分
[00:02:50.040 --> 00:02:52.040]  第二種看了兩頁就開始答
[00:02:52.040 --> 00:02:54.040]  可能就只有十分五分
[00:02:54.040 --> 00:02:56.040]  第三種一百分
[00:02:56.040 --> 00:02:58.040]  第四種看完之後不肯簽名
[00:02:58.040 --> 00:03:01.040]  我要憑我自己的力量
[00:03:01.040 --> 00:03:04.040]  結果又只有十分五分
[00:03:04.040 --> 00:03:08.040]  那你屬於哪一種學生呢
[00:03:08.040 --> 00:03:12.040]  第五頁最後那句呢
[00:03:12.040 --> 00:03:14.040]  就是恩典
[00:03:14.040 --> 00:03:18.040]  恩典就是你不配的上帝給你
[00:03:18.040 --> 00:03:21.040]  你和我都是那些學生
[00:03:21.040 --> 00:03:24.040]  一條都不懂得答
[00:03:24.040 --> 00:03:26.040]  但上帝給我們
[00:03:26.040 --> 00:03:28.040]  我們在上帝面前是不合格的
[00:03:28.040 --> 00:03:32.040]  無論怎樣努力都達不到上帝的標準
[00:03:32.040 --> 00:03:35.040]  因為聖經說每一個人都犯了罪
[00:03:35.040 --> 00:03:37.040]  但上帝說我有恩典
[00:03:37.040 --> 00:03:39.040]  你不需要靠自己的努力
[00:03:39.040 --> 00:03:42.040]  你只要接受我給你的禮物
[00:03:42.040 --> 00:03:44.040]  就可以合格
[00:03:44.040 --> 00:03:46.040]  今天我們來看羅馬書第八章
