
[00:00:00.000 --> 00:00:08.420]  我們現在說的是Live Church
[00:00:08.420 --> 00:00:10.460]  今天跟大家分享的是
[00:00:10.460 --> 00:00:14.320]  靠主團結合作的教會
[00:00:14.320 --> 00:00:16.120]  其實我相信這個題目
[00:00:16.120 --> 00:00:17.560]  又說這件事
[00:00:17.560 --> 00:00:19.920]  我們都團結合作了
[00:00:19.920 --> 00:00:22.600]  事實上我相信我們大家都知道
[00:00:22.600 --> 00:00:24.000]  一個團體
[00:00:24.000 --> 00:00:26.220]  團體也好,任何組織也好
[00:00:26.220 --> 00:00:29.700]  團結合作是十分重要的
[00:00:29.700 --> 00:00:31.360]  譬如說我們前天
[00:00:31.360 --> 00:00:32.560]  星期五晚
[00:00:32.560 --> 00:00:35.760]  我們三谷church council開會
[00:00:35.760 --> 00:00:38.100]  是什麼呢?
[00:00:38.100 --> 00:00:40.200]  就是我們不如在今年
[00:00:40.200 --> 00:00:42.160]  其實已經在說了
[00:00:42.160 --> 00:00:43.660]  今年農曆新年的時候
[00:00:43.660 --> 00:00:45.760]  我們有勾發中心舉辦活動
[00:00:45.760 --> 00:00:48.660]  其實是他們生我們的氣
[00:00:48.660 --> 00:00:50.700]  我們就說好,就舉辦
[00:00:50.700 --> 00:00:52.800]  我們就會在上一節
[00:00:52.800 --> 00:00:54.000]  如果你記得的話
[00:00:54.000 --> 00:00:56.100]  我們在recycle for a purpose
[00:00:56.100 --> 00:00:57.960]  那個地方
[00:00:57.960 --> 00:00:58.960]  我們就會擺檔
[00:00:58.960 --> 00:01:01.520]  這次我們做什麼呢?
[00:01:01.520 --> 00:01:02.420]  照板煮碗
[00:01:02.420 --> 00:01:03.720]  去年我們有搓燈米
[00:01:03.720 --> 00:01:05.320]  找一些新的燈米
[00:01:05.320 --> 00:01:06.960]  我們會有Instagram
[00:01:06.960 --> 00:01:08.360]  幫人拍一些instant pictures
[00:01:08.360 --> 00:01:09.920]  然後可以給他decorate
[00:01:09.920 --> 00:01:12.560]  諸如此類的
[00:01:12.560 --> 00:01:16.700]  其實就不是很簡單
[00:01:16.700 --> 00:01:19.820]  聽起來就好像很簡單
[00:01:19.820 --> 00:01:22.900]  但是如果大家不合作
[00:01:22.900 --> 00:01:26.100]  沒有人去跟勾發中心的landlord
[00:01:26.100 --> 00:01:29.320]  去商討
[00:01:29.320 --> 00:01:30.320]  特別是我們會說
[00:01:30.320 --> 00:01:31.600]  可不可以在哪家店舖
[00:01:31.600 --> 00:01:32.820]  拿一條電線出來
[00:01:32.820 --> 00:01:36.220]  我們要插電線
[00:01:36.220 --> 00:01:38.000]  可能我們就做不成了
