
[00:00:00.000 --> 00:00:02.800]  OK 可能大家都聽過
[00:00:02.800 --> 00:00:04.800]  做人很困難 是不是
[00:00:04.800 --> 00:00:06.800]  做人困難嗎
[00:00:06.800 --> 00:00:10.000]  有些人點頭 有些人在想
[00:00:10.000 --> 00:00:12.000]  不過做父母親更加困難
[00:00:12.000 --> 00:00:14.000]  特別是在這個世代裡面
[00:00:14.000 --> 00:00:17.000]  做父母其實一點都不容易
[00:00:17.000 --> 00:00:19.000]  當你小時候
[00:00:19.000 --> 00:00:21.000]  小時候就很忙
[00:00:21.000 --> 00:00:23.000]  還要上學 放學
[00:00:23.000 --> 00:00:25.000]  預備三餐
[00:00:25.000 --> 00:00:28.000]  現在還有小朋友很情緒化
[00:00:28.000 --> 00:00:29.500]  很情緒化
[00:00:29.500 --> 00:00:31.500]  小時候又要去關心他
[00:00:31.500 --> 00:00:33.500]  探望他 諸如此類的
[00:00:33.500 --> 00:00:36.000]  上學又不知道在學校裡面
[00:00:36.000 --> 00:00:38.500]  會學到什麼思想
[00:00:38.500 --> 00:00:40.500]  或者被人灌輸什麼觀念
[00:00:40.500 --> 00:00:42.500]  有時候都不敢去想
[00:00:42.500 --> 00:00:44.000]  想起來都很害怕
[00:00:44.000 --> 00:00:46.000]  在美國的社會裡面
[00:00:46.000 --> 00:00:48.000]  到讀中學了
[00:00:48.000 --> 00:00:50.000]  如果在讀中學
[00:00:50.000 --> 00:00:51.000]  小朋友的話
[00:00:51.000 --> 00:00:53.000]  你又怕會群壞那些人
[00:00:53.000 --> 00:00:55.000]  會不會被人欺負
[00:00:55.000 --> 00:00:57.000]  學校很多bully
[00:00:57.000 --> 00:00:59.000]  會不會被人欺負呢
[00:00:59.000 --> 00:01:01.000]  會不會群壞朋友
[00:01:01.000 --> 00:01:03.000]  喝酒 吸煙
[00:01:03.000 --> 00:01:05.000]  小時候吸毒才嚴重
[00:01:05.000 --> 00:01:07.000]  中學來說有很多這樣的事
[00:01:07.000 --> 00:01:09.000]  你怕不怕會群到這些人呢
[00:01:09.000 --> 00:01:11.000]  那你說
[00:01:11.000 --> 00:01:13.000]  不行 小朋友要管
[00:01:13.000 --> 00:01:15.000]  管得太嚴他又不開心
[00:01:15.000 --> 00:01:17.000]  你問了他兩句
[00:01:17.000 --> 00:01:19.000]  他又覺得你不關心他
[00:01:19.000 --> 00:01:21.000]  那些teenager有時候都很麻煩
[00:01:21.000 --> 00:01:23.000]  如果都叫他teenager
[00:01:23.000 --> 00:01:27.000]  你就知道那些問題的出現
[00:01:27.000 --> 00:01:29.000]  還有在美國
[00:01:29.000 --> 00:01:31.000]  生小朋友其實都不容易
[00:01:31.000 --> 00:01:32.000]  不是你不想生
[00:01:32.000 --> 00:01:33.000]  想生出來
[00:01:33.000 --> 00:01:35.000]  你要把他帶大都很艱難
[00:01:35.000 --> 00:01:37.000]  為什麼呢
[00:01:37.000 --> 00:01:39.000]  我做過一些研究
[00:01:39.000 --> 00:01:41.000]  如果我們生一個小朋友
[00:01:41.000 --> 00:01:43.000]  由零歲到十八歲
[00:01:43.000 --> 00:01:47.000]  只是給他那些基本的開支
[00:01:47.000 --> 00:01:49.000]  知不知道要多少錢
[00:01:49.000 --> 00:01:51.000]  由出世到十八歲
[00:01:51.000 --> 00:01:53.000]  二十六萬
[00:01:53.000 --> 00:01:55.000]  OK 出世到十八歲
[00:01:55.000 --> 00:01:57.000]  要養一個小朋友都十八歲
[00:01:57.000 --> 00:01:58.000]  二十六萬
[00:01:58.000 --> 00:02:00.000]  那如果你說
[00:02:00.000 --> 00:02:01.000]  不只是養的
[00:02:01.000 --> 00:02:02.000]  那你吃得好一點
[00:02:02.000 --> 00:02:03.000]  穿得好一點
[00:02:03.000 --> 00:02:05.000]  三十四萬
[00:02:05.000 --> 00:02:06.000]  如果不是
[00:02:06.000 --> 00:02:08.000]  我還要luxury一點的
[00:02:08.000 --> 00:02:11.000]  要名牌
[00:02:11.000 --> 00:02:12.000]  穿衣服穿名牌
[00:02:12.000 --> 00:02:14.000]  吃東西去好一點的餐館
[00:02:14.000 --> 00:02:16.000]  你猜猜要多少錢
[00:02:16.000 --> 00:02:17.000]  我不知道他怎麼算出來
[00:02:17.000 --> 00:02:19.000]  不過我在網上找而已
[00:02:19.000 --> 00:02:21.000]  七十四萬五
[00:02:21.000 --> 00:02:24.000]  所以你說outrageous
[00:02:24.000 --> 00:02:26.000]  養個小朋友
[00:02:26.000 --> 00:02:28.000]  出世到十八歲要這麼多錢
[00:02:28.000 --> 00:02:30.000]  你說那些父母
[00:02:30.000 --> 00:02:31.000]  如果要生小朋友
[00:02:31.000 --> 00:02:33.000]  那些負擔是很重的
[00:02:33.000 --> 00:02:34.000]  很難受的
[00:02:34.000 --> 00:02:36.000]  還要十八歲
[00:02:36.000 --> 00:02:38.000]  十八歲之後做什麼
[00:02:38.000 --> 00:02:40.000]  入大學
[00:02:40.000 --> 00:02:41.000]  入大學
[00:02:41.000 --> 00:02:43.000]  學費最便宜
[00:02:43.000 --> 00:02:44.000]  最便宜只是學費
[00:02:44.000 --> 00:02:45.000]  多少錢
[00:02:45.000 --> 00:02:46.000]  一萬五千
[00:02:46.000 --> 00:02:47.000]  約你stay you那些
[00:02:47.000 --> 00:02:49.000]  最少一萬五千
