
[00:00:00.000 --> 00:00:02.000]  第一次禮拜平安
[00:00:02.000 --> 00:00:04.000]  我們一起祈禱
[00:00:30.000 --> 00:00:58.000]  祈禱
[00:01:00.000 --> 00:01:02.000]  我在音法讀了二十多年
[00:01:02.000 --> 00:01:04.000]  都讀過「卑」字
[00:01:04.000 --> 00:01:06.000]  不過最近
[00:01:06.000 --> 00:01:08.000]  我在查字典
[00:01:08.000 --> 00:01:10.000]  讀錯了
[00:01:10.000 --> 00:01:12.000]  請中文老師指教
[00:01:12.000 --> 00:01:14.000]  原來是讀過「拜」字
[00:01:14.000 --> 00:01:16.000]  所以是「密」字和「拜」字
[00:01:16.000 --> 00:01:20.000]  我讀了二十多年都讀過「卑」字
[00:01:20.000 --> 00:01:22.000]  突然發現原來是讀過「拜」字
[00:01:22.000 --> 00:01:26.000]  我真的查了字典都不知道是哪個正確
[00:01:26.000 --> 00:01:28.000]  不過我今天就用過「拜」字
[00:01:28.000 --> 00:01:32.000]  希望跟林先生讀的音有些少分別
[00:01:32.000 --> 00:01:38.000]  我們在「密」字和「拜」字的比喻裏
[00:01:38.000 --> 00:01:40.000]  其實耶穌我們看第十三章
[00:01:40.000 --> 00:01:42.000]  祂一開始的時候
[00:01:42.000 --> 00:01:44.000]  祂就從房間出來到海邊
[00:01:44.000 --> 00:01:46.000]  有很多人聽祂
[00:01:46.000 --> 00:01:48.000]  大家聽祂的時候
[00:01:48.000 --> 00:01:50.000]  在當中包括一些文士
[00:01:50.000 --> 00:01:52.000]  法利塞人和一些百姓
[00:01:52.000 --> 00:01:54.000]  聽祂的時候
[00:01:54.000 --> 00:01:56.000]  祂坐船去到對岸
[00:01:56.000 --> 00:01:58.000]  仍然用很多的比喻
[00:01:58.000 --> 00:02:00.000]  去講天國的比喻
[00:02:00.000 --> 00:02:02.000]  所以在第十三章的時候
[00:02:02.000 --> 00:02:06.000]  真是耶穌集中去講天國的比喻
[00:02:06.000 --> 00:02:08.000]  有個新約學者
[00:02:08.000 --> 00:02:10.000]  他將八個個的比喻
[00:02:10.000 --> 00:02:12.000]  就成為四對
[00:02:12.000 --> 00:02:14.000]  即是兩個兩個
