
[00:00:00.000 --> 00:00:03.920]  剛纔問了陳牧師,這個午餐會有多少年了?
[00:00:03.920 --> 00:00:07.840]  超過30年了,本來在Furama,
[00:00:07.840 --> 00:00:12.860]  到Furama都拆了,他才搬來這裏。
[00:00:12.860 --> 00:00:18.240]  我每次都來,因爲我香港政策會都有很多班來的,
[00:00:18.240 --> 00:00:23.240]  所以我去會員,現在會員都請我來兩次,
[00:00:23.240 --> 00:00:26.140]  我這麼多年都來,爲什麼來呢?
[00:00:26.140 --> 00:00:31.760]  我自己感覺很希望在中環的地方,
[00:00:31.760 --> 00:00:40.320]  方便那些人都很忙,都抽到一個小時來聽那些
[00:00:40.320 --> 00:00:42.660]  我相信你平時很少聽的。
[00:00:42.660 --> 00:00:49.160]  當然每次我都選題目,他讓我自己選題目,
[00:00:49.160 --> 00:00:52.960]  我選的題目是與香港的局勢有關,
[00:00:52.960 --> 00:01:00.640]  很重要的,香港現在的局勢是不差的,
[00:01:00.640 --> 00:01:06.320]  沒有人估到,你不要估我會做下一屆特首,
[00:01:06.320 --> 00:01:11.200]  你不要估,上一屆都估錯了,
[00:01:11.200 --> 00:01:16.040]  這個世界的事情估不到的,
[00:01:16.040 --> 00:01:24.340]  但我選了兩個題目,上下集的,
[00:01:24.340 --> 00:01:29.220]  所以今日聽了下次來聽也是好的。
[00:01:29.220 --> 00:01:33.760]  而我選擇的時間,我一定找聖經做基礎,
[00:01:33.760 --> 00:01:39.280]  聖經是神創造和介入歷史的記載,
[00:01:39.280 --> 00:01:41.960]  聖經基本上是一本歷史書,
[00:01:41.960 --> 00:01:46.040]  而所有的東西都不過時的。
[00:01:46.040 --> 00:01:48.980]  當然我今日選的時間,
[00:01:48.980 --> 00:01:53.640]  我選了一個我想全世界的人都認識的,
[00:01:53.640 --> 00:01:58.320]  你知以色列是現在全世界關注的國家,
[00:01:58.320 --> 00:02:01.440]  個個都看着以色列,個個都知,
[00:02:01.440 --> 00:02:04.900]  現在聖經講,聖經最尾那一頁,
[00:02:04.900 --> 00:02:06.660]  在以色列很多事情發生,
[00:02:06.660 --> 00:02:10.520]  聖經講的全部中了,你有空去看看。
[00:02:10.520 --> 00:02:19.100]  以色列在公元前720年已經被人征服,
[00:02:19.100 --> 00:02:24.880]  成爲善戎國,最尾是羅馬帝國會,
[00:02:24.880 --> 00:02:29.060]  到公元70年兵臨城下直接亡國,
[00:02:29.060 --> 00:02:32.420]  從來未試過的國家亡了,
[00:02:32.420 --> 00:02:37.000]  到1948年開始出國,聖經講的,
[00:02:37.000 --> 00:02:40.880]  它全部中了。所以我不是講這些,
[00:02:40.880 --> 00:02:44.640]  我選了在以色列歷代以來,
[00:02:44.640 --> 00:02:47.080]  有兩個皇帝是最出名的,
[00:02:47.080 --> 00:02:51.360]  個個都認識,都不知拍了多少電影,
[00:02:51.360 --> 00:02:54.440]  一個叫David大衛王,
[00:02:54.440 --> 00:02:56.520]  所有他的故事個個都認識,
[00:02:56.520 --> 00:03:00.000]  哥尼亞,全部是歷史故事,就拍了。
[00:03:00.000 --> 00:03:04.080]  但他的兒子其實比他更厲害,
[00:03:04.080 --> 00:03:09.040]  其實整個以色列國,如果講國勢最強,
[00:03:09.040 --> 00:03:12.240]  就是索羅會做皇帝時King Solomon,
[00:03:12.240 --> 00:03:16.280]  Solomon當然很多電影拍了,
[00:03:16.280 --> 00:03:20.120]  因爲他被公映是全世界當時,
[00:03:20.120 --> 00:03:23.240]  甚至今天最有智慧的人,
[00:03:23.240 --> 00:03:26.960]  智慧不只是知識,雖然他見聞地理,
[00:03:26.960 --> 00:03:29.880]  直言不諱,大家都認識,這個人很厲害,
[00:03:29.880 --> 00:03:31.520]  所以當時他做皇帝,
[00:03:31.520 --> 00:03:34.800]  聯合國的人都走來問他很多事,
[00:03:34.800 --> 00:03:36.640]  是一個很出色的皇帝,
[00:03:36.640 --> 00:03:40.240]  他少年得志,因爲他爸爸是皇帝,
[00:03:40.240 --> 00:03:42.800]  很早就選他做皇帝,
[00:03:42.800 --> 00:03:45.080]  他做皇帝之先很會做,
[00:03:45.080 --> 00:03:47.280]  神給他求一件事,
[00:03:47.280 --> 00:03:50.680]  無求錢無求什麼,求智慧,
[00:03:50.680 --> 00:03:52.840]  所以你看回《聖經》裏面,
[00:03:52.840 --> 00:03:57.640]  幾卷最重要的智慧書都是他寫的,
[00:03:57.640 --> 00:04:02.800]  針研,全世界都看,教你如何做人如何做父母,
[00:04:02.800 --> 00:04:07.040]  全世界都看,當然另外一本《雅歌》,
[00:04:07.040 --> 00:04:11.600]  全世界公然寫得最好的情書,
[00:04:11.600 --> 00:04:15.600]  講男女關係,但我今日選了一本
[00:04:15.600 --> 00:04:20.440]  是全世界都在看的,叫《Ecclesiastes》,
[00:04:20.440 --> 00:04:24.720]  全讀書,這本書爲何那麼緊要,
[00:04:24.720 --> 00:04:31.320]  他少年得志很快就,因爲他爸爸打敗敵人,
[00:04:31.320 --> 00:04:36.040]  所以很快就國家國平泰平,國泰民安,
[00:04:36.040 --> 00:04:40.840]  現在全世界周圍的國都去貢獻他,
[00:04:40.840 --> 00:04:45.960]  因爲他國勢很強,所以他很快就建了個聖殿,
[00:04:45.960 --> 00:04:55.680]  建了個很漂亮的宮殿,然後就享他的皇帝,權力他挑釁腐敗,
[00:04:55.680 --> 00:05:04.640]  money power and sex,很多世界的英雄都過不了美人關,
[00:05:04.640 --> 00:05:11.200]  很多世界的權力,權傾天下到最後都變質,
[00:05:11.200 --> 00:05:19.040]  absolute power,absolute power,錢人家的公圈多到不得了,
[00:05:19.040 --> 00:05:22.660]  所以有人寫這本書money power and sex全部有了,
[00:05:22.660 --> 00:05:32.400]  墮落,後宮三千,即是悲憤三千,花天榮,
[00:05:32.400 --> 00:05:43.800]  人家認識神都不難,但認識神能夠不斷敬畏他跟住他,
[00:05:43.800 --> 00:05:46.840]  纔是最重要,很多人都認識神,
[00:05:46.840 --> 00:05:49.400]  缺了字,我信不信主義教育平安,
[00:05:49.400 --> 00:05:54.080]  到拉咩很多時都會跌倒,跌倒很嚴重,
[00:05:54.080 --> 00:05:58.580]  他到年老時就寫了這句,我很喜歡這本書,
[00:05:58.580 --> 00:06:04.940]  下面一定聽過,去封就去封,去封就去封,
[00:06:04.940 --> 00:06:09.600]  一切都去封,Vanity,Vain,
[00:06:09.600 --> 00:06:14.160]  我自慰有,到拉咩我搞定自己用,
[00:06:14.160 --> 00:06:19.200]  我權力有,到拉咩時間結果變了,
[00:06:19.200 --> 00:06:27.440]  拉咩的兒子將國家分爲二,錢財數不盡,
[00:06:27.440 --> 00:06:33.160]  靚女數不盡,虛空的虛空,
[00:06:33.160 --> 00:06:38.440]  所以他到年老時寫,虛空時他反省寫,
[00:06:38.440 --> 00:06:44.860]  當然這本書若你沒那麼長一年紀一定容易明白,
[00:06:44.860 --> 00:06:51.560]  我看你都應該明白,不過這本書是寫給年輕人,
[00:06:51.560 --> 00:06:57.960]  他最拉咩說你別學我,我經歷過這些,
[00:06:57.960 --> 00:07:02.060]  我發覺我以爲最重要的東西都去了,
