
[00:00:00.000 --> 00:00:04.560]  我們今天會繼續思想雲彩的見證人
[00:00:04.560 --> 00:00:07.520]  亦都思想到希伯來書十二章的經文
[00:00:07.520 --> 00:00:08.840]  大家一起祈禱
[00:00:08.840 --> 00:00:10.760]  我們將這段時間交給主
[00:00:10.760 --> 00:00:16.280]  主我們感謝祢
[00:00:16.280 --> 00:00:19.240]  因為祢這個聖靈
[00:00:19.240 --> 00:00:24.760]  將那份不能被動搖的平安和喜樂賜給我們
[00:00:24.760 --> 00:00:27.560]  不單單是片刻的歡樂
[00:00:27.760 --> 00:00:32.080]  更加是祢賜給我們生命那種永恆的喜樂
[00:00:32.080 --> 00:00:35.120]  主求祢保守我們的心
[00:00:35.120 --> 00:00:37.840]  我們一生緊緊的跟隨祢
[00:00:37.840 --> 00:00:41.000]  讓我們因為跟隨祢
[00:00:41.000 --> 00:00:43.280]  能夠可以真正的蒙福
[00:00:43.280 --> 00:00:48.320]  亦都能夠得著祢要給我們一切一切的恩惠
[00:00:48.320 --> 00:00:50.680]  不單單是緊緊得救
[00:00:50.680 --> 00:00:55.480]  而是得著祢要給我們各樣美善的英許
[00:00:56.120 --> 00:00:59.040]  主我們今天打開聖經思想祢的說話
[00:00:59.040 --> 00:01:02.600]  求主的聖靈在我們中間指教我們
[00:01:02.600 --> 00:01:04.320]  開我們的心竅
[00:01:04.320 --> 00:01:05.760]  明白祢的道
[00:01:05.760 --> 00:01:09.160]  我們祈禱奉耶穌基督的聖名求
[00:01:09.160 --> 00:01:10.120]  阿們
[00:01:10.120 --> 00:01:14.200]  在希伯來書第十二章第一節
[00:01:14.200 --> 00:01:16.600]  我們大家一起揭開聖經
[00:01:16.600 --> 00:01:22.120]  我想首先說的是在今年年初
[00:01:22.120 --> 00:01:23.680]  在我安息年假的時候
[00:01:23.680 --> 00:01:27.280]  我有機會回到以前自己讀神學的神學院
[00:01:27.280 --> 00:01:32.600]  見到一位三十年之前曾經教我的一位老師
[00:01:32.600 --> 00:01:34.960]  今年他已經八十歲
[00:01:34.960 --> 00:01:37.280]  見到他的時候很為他感恩
[00:01:37.280 --> 00:01:38.760]  因為他仍然很健壯
[00:01:38.760 --> 00:01:40.640]  可以到處去講道
[00:01:40.640 --> 00:01:41.920]  可以仍然寫作
[00:01:41.920 --> 00:01:44.040]  見到他的時候
[00:01:44.040 --> 00:01:47.480]  他還很掛心很多以前的畢業生
[00:01:47.480 --> 00:01:51.400]  亦都見到他關心很多小傳道
[00:01:51.520 --> 00:01:53.960]  個別地關心很多的人
[00:01:53.960 --> 00:01:56.400]  跟他聊天的時候發現
[00:01:56.400 --> 00:01:58.160]  其實他也不是沒有困難
[00:01:58.160 --> 00:02:01.800]  他太太有很明顯的腦退化
[00:02:01.800 --> 00:02:05.400]  我們所說腦癡呆症的問題
[00:02:05.400 --> 00:02:07.680]  他在這個情況
[00:02:07.680 --> 00:02:10.160]  他要特別自己要照顧太太
