
[00:00:00.000 --> 00:00:02.000]  好,各位弟兄姊妹,早晨
[00:00:02.000 --> 00:00:03.000]  早晨
[00:00:03.000 --> 00:00:05.000]  我們今天是說衝擊
[00:00:05.000 --> 00:00:07.000]  我相信大家都記得
[00:00:07.000 --> 00:00:10.000]  我們有遇越過一些痛苦、艱難、困難
[00:00:10.000 --> 00:00:12.000]  又遇越過一些仇恨
[00:00:12.000 --> 00:00:13.000]  是不是?
[00:00:13.000 --> 00:00:17.000]  今天我們說衝擊
[00:00:17.000 --> 00:00:20.000]  在這裡生活得久發現
[00:00:20.000 --> 00:00:22.000]  我們拍攝沒有什麼大的颱風
[00:00:22.000 --> 00:00:23.000]  是不是?
[00:00:23.000 --> 00:00:25.000]  都頗為平靜
[00:00:25.000 --> 00:00:29.000]  但是久不久都會有一次的大風大雨
[00:00:29.000 --> 00:00:34.000]  不是颱風,但是都頗大的
[00:00:34.000 --> 00:00:38.000]  通常過了這些大風大雨之後
[00:00:38.000 --> 00:00:41.000]  保險公司就會很忙
[00:00:41.000 --> 00:00:44.000]  為什麼?
[00:00:44.000 --> 00:00:50.000]  因為有很多的圍欄、屋頂、樹木
[00:00:50.000 --> 00:00:55.000]  甚至有些汽車都受到損害
[00:00:55.000 --> 00:00:56.000]  在當中有沒有弟兄姊妹
[00:00:56.000 --> 00:00:59.000]  經歷過以上其中一項的事情?
[00:00:59.000 --> 00:01:01.000]  可以舉手來看看嗎?
[00:01:01.000 --> 00:01:04.000]  好,一個、兩個、三個、四個
[00:01:04.000 --> 00:01:06.000]  這麼少?
[00:01:06.000 --> 00:01:07.000]  真的嗎?
[00:01:07.000 --> 00:01:09.000]  好,五個
[00:01:09.000 --> 00:01:10.000]  我聽到也不少
[00:01:10.000 --> 00:01:13.000]  包括以前曾經試過有一個落坡
[00:01:13.000 --> 00:01:15.000]  那時候我還沒有來拍攝
[00:01:15.000 --> 00:01:17.000]  落坡很多汽車的頂部
[00:01:17.000 --> 00:01:19.000]  被冰雹打到凹陷
[00:01:19.000 --> 00:01:22.000]  很多保險公司要收回汽車
[00:01:22.000 --> 00:01:27.000]  即是賠償
[00:01:27.000 --> 00:01:28.000]  風暴來到的時候
[00:01:28.000 --> 00:01:32.000]  很多東西頂不住就塌下來
[00:01:32.000 --> 00:01:33.000]  各位弟兄姊妹
[00:01:33.000 --> 00:01:38.000]  我們人生的旅途上面
[00:01:38.000 --> 00:01:42.000]  有時久不久都會出現一些突如其來的風暴
[00:01:42.000 --> 00:01:45.000]  衝擊
[00:01:45.000 --> 00:01:48.000]  你怎樣面對呢?
[00:01:48.000 --> 00:01:51.000]  今天讀這段經文都頗長,三十節
[00:01:51.000 --> 00:01:53.000]  這裡說到猶太南國
[00:01:53.000 --> 00:01:56.000]  已經被巴比倫打敗和俘虜
[00:01:56.000 --> 00:02:00.000]  巴比倫揀選了一些精英分子
[00:02:00.000 --> 00:02:05.000]  又年輕又帥又有才華的人
[00:02:05.000 --> 00:02:06.000]  說得好聽一點
[00:02:06.000 --> 00:02:07.000]  帶他們去巴比倫
[00:02:07.000 --> 00:02:09.000]  其實就是俘虜他們巴比倫
[00:02:09.000 --> 00:02:12.000]  進行一些培訓
[00:02:12.000 --> 00:02:13.000]  其實就是一些同化
[00:02:13.000 --> 00:02:16.000]  即是將他們融入巴比倫的文化當中
[00:02:16.000 --> 00:02:20.000]  用來服侍巴比倫的人
[00:02:20.000 --> 00:02:22.000]  彈爾里和他三個的朋友
[00:02:22.000 --> 00:02:25.000]  就是其中很重要的人物
[00:02:25.000 --> 00:02:27.000]  在彈爾里書第二章裡
[00:02:27.000 --> 00:02:32.000]  彈爾里為尼布格里撒王解了一個夢
[00:02:32.000 --> 00:02:35.000]  所以彈爾里和他這三人
[00:02:35.000 --> 00:02:38.000]  就被尼布格里撒王開始重用
[00:02:38.000 --> 00:02:41.000]  第三章就是剛才讀的經文
[00:02:41.000 --> 00:02:44.000]  說到這三個的朋友
[00:02:44.000 --> 00:02:47.000]  和一個火搖的故事
[00:02:47.000 --> 00:02:51.000]  今天我們藉著這個故事求神去幫助我們
[00:02:51.000 --> 00:02:53.000]  特別我們要面對人生裡面生活
[00:02:53.000 --> 00:02:56.000]  有不同的挑戰衝擊
[00:02:56.000 --> 00:02:58.000]  我們怎樣去面對呢
[00:02:58.000 --> 00:03:05.000]  我們一起禱告
[00:03:05.000 --> 00:03:08.000]  天父我們求你開我們的耳朵
[00:03:08.000 --> 00:03:10.000]  打開我們的心
[00:03:10.000 --> 00:03:12.000]  恭迎神你的說話
[00:03:12.000 --> 00:03:14.000]  來到我們當中
[00:03:14.000 --> 00:03:18.000]  求神你親自幫助我們
[00:03:18.000 --> 00:03:20.000]  教導我們 引導我們
[00:03:20.000 --> 00:03:22.000]  聽我們的祈禱
[00:03:22.000 --> 00:03:24.000]  奉耶穌基督聖名求
[00:03:24.000 --> 00:03:25.000]  阿們
[00:03:25.000 --> 00:03:27.000]  好 第一點就是
[00:03:27.000 --> 00:03:28.000]  很想跟大家說一下
[00:03:28.000 --> 00:03:29.000]  其實我們現實生活裡面
[00:03:29.000 --> 00:03:33.000]  真的有很多大大小小不同的衝擊
[00:03:33.000 --> 00:03:36.000]  包括有什麼衝擊呢
[00:03:36.000 --> 00:03:39.000]  就是信仰上面
[00:03:39.000 --> 00:03:41.000]  我們看到這段經文就是
[00:03:41.000 --> 00:03:42.000]  背景是巴比倫
