
[00:00:00.000 --> 00:00:05.980]  新冠狀病毒的疫情在香港已經持續了有兩個多月那麼久
[00:00:05.980 --> 00:00:11.340]  隨著疫症在世界上很多的國家和地區爆發
[00:00:11.340 --> 00:00:16.000]  香港最近的確診數字也都多了很多
[00:00:16.000 --> 00:00:17.600]  為了抗疫
[00:00:17.600 --> 00:00:21.300]  我們大家都減少外出
[00:00:21.300 --> 00:00:23.040]  盡量留在家裡
[00:00:23.040 --> 00:00:27.280]  也都減少社交的活動
[00:00:27.280 --> 00:00:34.560]  雖然先進的科技可以幫我們在網絡上保持聯繫
[00:00:34.560 --> 00:00:37.940]  但是常常躲在家裡
[00:00:37.940 --> 00:00:40.760]  又不能和外出的人接觸
[00:00:40.760 --> 00:00:44.840]  其實都很孤獨
[00:00:44.840 --> 00:00:47.680]  病毒固然可怕
[00:00:47.680 --> 00:00:52.640]  孤獨其實都很可怕
[00:00:52.640 --> 00:00:56.960]  原來孤獨的問題不是今時今日才有
[00:00:56.960 --> 00:01:02.000]  早在兩年前英國設立了一個職位
[00:01:02.000 --> 00:01:08.640]  叫做「孤獨事務大臣」
[00:01:08.640 --> 00:01:11.240]  有些人就叫他做「孤獨大臣」
[00:01:11.240 --> 00:01:17.240]  其實他是專門處理英國社會的孤獨問題
[00:01:17.240 --> 00:01:20.080]  據英國紅十字會的資料顯示
[00:01:20.080 --> 00:01:23.880]  在英國6500萬的人口裡面
[00:01:23.880 --> 00:01:31.320]  有超過900萬人經常感覺到自己是孤獨的
[00:01:31.320 --> 00:01:33.280]  紅十字會亦都說
[00:01:33.280 --> 00:01:37.600]  孤獨就好像一個隱形的流行病
[00:01:37.600 --> 00:01:40.440]  只是在人生不同的階段
[00:01:40.440 --> 00:01:43.760]  影響著不同年齡層的人
[00:01:43.760 --> 00:01:46.040]  亦都有專家形容
[00:01:46.040 --> 00:01:50.720]  孤獨對人健康所造成的損害
[00:01:50.720 --> 00:02:01.760]  好像每日抽15支香煙那麼大的影響
[00:02:01.760 --> 00:02:05.160]  影響都是差不多的
[00:02:05.160 --> 00:02:07.960]  相信在今次疫情裡面
[00:02:07.960 --> 00:02:13.120]  人的孤獨和無助感會更加強烈
[00:02:13.120 --> 00:02:16.280]  到底有什麼出路呢
[00:02:16.280 --> 00:02:24.440]  教會今個月的講道訊息仍然會配合「靈修材料耳道持見」
[00:02:24.440 --> 00:02:28.720]  今個月會講「阿摩斯書」
