
[00:00:00.000 --> 00:00:04.240]  我們感謝上帝透過施班剛才的獻頌
[00:00:04.240 --> 00:00:05.520]  提醒我們
[00:00:05.520 --> 00:00:08.760]  我們生命要更新之前
[00:00:08.760 --> 00:00:12.200]  其實我們必須獻上我們的生命
[00:00:12.200 --> 00:00:16.160]  生命一種的改變和更新
[00:00:16.160 --> 00:00:18.640]  首先我們要有一種醒覺
[00:00:18.640 --> 00:00:22.760]  你要留心體會到你現在的處境
[00:00:22.760 --> 00:00:25.120]  究竟上帝要在我們生命裏面
[00:00:25.120 --> 00:00:27.720]  有什麼奇妙的工作
[00:00:27.720 --> 00:00:32.200]  上帝其實給我們生命的祝福和恩典
[00:00:32.200 --> 00:00:36.200]  往往是超過我們所求所想
[00:00:36.200 --> 00:00:40.320]  今天你有沒有經驗過這個真實的事
[00:00:40.320 --> 00:00:42.640]  奇妙的事
[00:00:42.640 --> 00:00:45.040]  今天是我們這個新系列的一個開始
[00:00:45.040 --> 00:00:46.080]  全人健康
[00:00:46.080 --> 00:00:48.720]  為什麼我們要講這個題目
[00:00:48.720 --> 00:00:52.640]  我是很體會到在教會我們這個講壇
[00:00:52.640 --> 00:00:55.720]  我們過去一直都是用經卷
[00:00:55.720 --> 00:00:57.720]  我們剛剛完成了摩斯書
[00:00:57.720 --> 00:01:00.240]  那九章我相信你看完了
[00:01:00.240 --> 00:01:01.560]  如果你還沒有看完
[00:01:01.560 --> 00:01:03.760]  靈修日誌都可以繼續幫助你
[00:01:03.760 --> 00:01:08.200]  你都聽了超過九堂道
[00:01:08.200 --> 00:01:11.360]  在當中我們去分解神的說話
[00:01:11.360 --> 00:01:16.520]  但這個系列我們會集中去看一些專題
[00:01:16.520 --> 00:01:19.040]  這個專題其實是重要的
[00:01:19.040 --> 00:01:21.360]  我和大家來思想一下
[00:01:21.360 --> 00:01:23.600]  為什麼我們需要全人健康
[00:01:23.600 --> 00:01:29.320]  因為這是聖經上上帝給我們看見的心意
[00:01:29.320 --> 00:01:34.680]  聖經在這裡讓我們看見神的說話
[00:01:34.680 --> 00:01:37.680]  在這裡和大家一起讀這段聖經
[00:01:37.680 --> 00:01:45.720]  「親愛的兄弟,我願你凡事興盛,身體健壯,正如你的靈魂興盛一樣。」
[00:01:45.720 --> 00:01:46.880]  聖經說得很清楚
[00:01:46.880 --> 00:01:55.920]  老約翰在這裡說願意頂姐妹,你凡事興盛,另一個翻譯是順利
