
[00:00:00.000 --> 00:00:04.740]  十字架本身是一個很殘酷的刑罰
[00:00:04.740 --> 00:00:06.740]  是一個很殘酷的刑具
[00:00:06.740 --> 00:00:10.820]  是要將人釘在上面流血致死的
[00:00:10.820 --> 00:00:13.940]  所以今天的題目是很奇怪的事
[00:00:13.940 --> 00:00:18.540]  十字架竟然是和愛發生一份關係
[00:00:18.540 --> 00:00:23.660]  甚至我們說十字架是要顯明上帝的愛情
[00:00:23.660 --> 00:00:25.280]  我想很多特別...
[00:00:25.280 --> 00:00:27.560]  或者甚至大英姐妹有時也不明白的
[00:00:27.560 --> 00:00:30.080]  或者我們在信仰的路程中
[00:00:30.080 --> 00:00:32.600]  我們有時甚至也不明白為甚麼
[00:00:32.600 --> 00:00:35.560]  為甚麼我們的神在愛的時候
[00:00:35.560 --> 00:00:37.560]  要將祂的兒子
[00:00:37.560 --> 00:00:39.560]  唯一一個兒子
[00:00:39.560 --> 00:00:41.560]  我們會稱為「虎代」祂
[00:00:41.560 --> 00:00:44.840]  將祂壓傷
[00:00:44.840 --> 00:00:46.840]  為甚麼要這麼殘酷呢?
[00:00:46.840 --> 00:00:48.840]  因為在我們的理解
[00:00:48.840 --> 00:00:50.840]  愛不是這樣的
[00:00:50.840 --> 00:00:54.200]  愛是很包容、很接納
[00:00:54.200 --> 00:00:57.000]  是不會有任何壓傷的地方
[00:00:57.000 --> 00:00:59.000]  如果我們認定愛是這樣的
[00:00:59.000 --> 00:01:01.000]  我們就很難去思想
[00:01:01.000 --> 00:01:03.000]  十字架竟然是一份愛情
[00:01:03.000 --> 00:01:05.000]  不過今天真的很想透過經文
[00:01:05.000 --> 00:01:07.000]  因為很多時候我們想愛
[00:01:07.000 --> 00:01:10.000]  是從人的一些知識去想
[00:01:10.000 --> 00:01:15.000]  但今天很想神的話語告訴我們
[00:01:15.000 --> 00:01:18.000]  為甚麼十字架竟然是一份愛情
[00:01:18.000 --> 00:01:20.000]  為甚麼一個這麼殘酷
[00:01:20.000 --> 00:01:22.000]  殺死人的刑具
[00:01:22.000 --> 00:01:24.000]  竟然是一份愛情
