
[00:00:00.000 --> 00:00:03.180]  各位弟兄姊妹在家的朋友
[00:00:03.180 --> 00:00:05.280]  大家平安
[00:00:05.280 --> 00:00:11.000]  我想猶太人見面會互相說"Shalom"
[00:00:11.000 --> 00:00:14.200]  我想香港人或者普世的人
[00:00:14.200 --> 00:00:16.800]  現在都應該很有同感
[00:00:16.800 --> 00:00:19.360]  因爲只要平安
[00:00:19.360 --> 00:00:21.480]  平安在主的裏面
[00:00:21.480 --> 00:00:25.120]  以及仍然頂着臺遊
[00:00:25.120 --> 00:00:27.680]  因爲天父與我們同在
[00:00:27.680 --> 00:00:31.600]  剛纔很觸動我的就是
[00:00:31.600 --> 00:00:33.400]  可能大家不是很覺意
[00:00:33.400 --> 00:00:35.160]  因爲在家裏面
[00:00:35.160 --> 00:00:39.400]  不一定很專心祈禱或者敬拜
[00:00:39.400 --> 00:00:42.160]  但是在我們的會堂裏面
[00:00:42.160 --> 00:00:44.160]  的確只有侍奉者
[00:00:44.160 --> 00:00:48.640]  我比任何人都會更加容易感受到
[00:00:48.640 --> 00:00:51.280]  聖言和禱告的力量
[00:00:51.280 --> 00:00:54.760]  剛纔主席在禱告的時候
[00:00:54.760 --> 00:00:57.720]  好幾次提到「真道」
[00:00:57.720 --> 00:01:02.120]  也勉勵各位的職稱
[00:01:02.120 --> 00:01:05.640]  無論社會的變化是怎樣
[00:01:05.640 --> 00:01:09.520]  無論接下來有多少的艱難
[00:01:09.520 --> 00:01:11.600]  或者疫情的當下
[00:01:11.600 --> 00:01:15.760]  但是主席與我們提到「真道」
[00:01:15.760 --> 00:01:16.880]  換句話說
[00:01:16.880 --> 00:01:22.920]  「真道」會不斷與我們的生命共舞和對話
[00:01:22.920 --> 00:01:27.720]  之中不會因爲處境而改變
[00:01:27.720 --> 00:01:30.560]  也不會過氣
[00:01:30.560 --> 00:01:36.040]  也不會在某些日子顯得無力
[00:01:36.040 --> 00:01:40.960]  「真道」會在任何處境裏面與我們對話
[00:01:40.960 --> 00:01:45.520]  而且邀請我們重新看聖經怎樣說
[00:01:45.520 --> 00:01:48.040]  我相信在過往日子裏面
[00:01:48.040 --> 00:01:51.080]  我自己已經活着好幾十年了
[00:01:51.080 --> 00:01:53.640]  也有很多工作的經驗
[00:01:53.640 --> 00:01:57.320]  但是我可以很坦誠地說
[00:01:57.320 --> 00:02:01.720]  唯有聖經怎樣說纔是最重要的
[00:02:01.720 --> 00:02:06.800]  原來無論是多少知名的學者、專家
[00:02:06.800 --> 00:02:11.800]  無論是多少很偉大的人
[00:02:11.800 --> 00:02:17.000]  很有可能他的答案只是在當時的處境
[00:02:17.000 --> 00:02:22.160]  又或者他給我們的一些論述
[00:02:22.160 --> 00:02:26.280]  在那個處境裏面好像被吸引
[00:02:26.280 --> 00:02:30.680]  我上一世紀是讀工商管理的
[00:02:30.680 --> 00:02:32.600]  有時我想說
[00:02:32.600 --> 00:02:35.720]  工商管理如果處理得不好
[00:02:35.720 --> 00:02:37.920]  就是奸商滾利
[00:02:37.920 --> 00:02:41.720]  所以其實心態是最重要的
[00:02:41.720 --> 00:02:44.840]  在上一世紀當我讀的工商管理
[00:02:44.840 --> 00:02:48.080]  到了現在疫情的當下
[00:02:48.080 --> 00:02:51.920]  我發現大部分的教科書
[00:02:51.920 --> 00:02:57.120]  我所讀的理論都是用不上的
[00:02:57.120 --> 00:03:03.400]  所以我最近給自己一個應該
[00:03:03.400 --> 00:03:07.280]  以後我老退化仍然記得自己做過一件事
[00:03:07.280 --> 00:03:10.440]  就是我將因爲搬屋
[00:03:10.440 --> 00:03:13.080]  順便斷舍離
[00:03:13.080 --> 00:03:17.720]  我將大部分的管理學書都送給別人
[00:03:17.720 --> 00:03:21.560]  但原來自己覺得重要的
[00:03:21.560 --> 00:03:24.000]  送給別人別人是不要的
[00:03:24.000 --> 00:03:28.960]  我百分之九十的書都是給了回收商
[00:03:28.960 --> 00:03:32.240]  即使我送去某些地方
[00:03:32.240 --> 00:03:37.480]  那些地方都覺得這些知識已經過時
[00:03:37.480 --> 00:03:40.800]  疫情的當下或者社會的事件
[00:03:40.800 --> 00:03:43.720]  有人形容這些叫做黑天鵝
[00:03:43.720 --> 00:03:46.680]  黑天鵝的意思是鼓勵不了
[00:03:46.680 --> 00:03:50.360]  鼓勵不了的事情會不斷髮生
[00:03:50.360 --> 00:03:53.960]  究竟我們用什麼心態去生活呢?
[00:03:53.960 --> 00:03:58.480]  我認爲聖經的教導是最好的
[00:03:58.480 --> 00:04:00.880]  聖經不斷跟我們說
[00:04:00.880 --> 00:04:02.760]  你要保守你的心
[00:04:02.760 --> 00:04:05.240]  勝過保守一切
[00:04:05.240 --> 00:04:09.880]  因爲一生的果效是從心而發的
[00:04:09.880 --> 00:04:11.080]  換句話說
[00:04:11.080 --> 00:04:14.080]  你的心態不正確
[00:04:14.080 --> 00:04:17.280]  所有事情都是沒有意思的
[00:04:17.280 --> 00:04:21.960]  如果我們能夠將自己歸回真道
[00:04:21.960 --> 00:04:26.240]  今天我想跟大家用這種心情
[00:04:26.240 --> 00:04:29.160]  來彼此勉勵
[00:04:29.160 --> 00:04:34.240]  很榮幸可以在貴教會的職稱裏說多少
[00:04:34.240 --> 00:04:38.800]  我自己認爲聖經裏所說的
[00:04:38.800 --> 00:04:42.160]  是千載不變的聖經
[00:04:42.160 --> 00:04:44.480]  爲什麼我能夠站在這裏呢?
[00:04:44.480 --> 00:04:47.560]  我相信是因爲是恩典
[00:04:47.560 --> 00:04:51.120]  還有自己也不再年輕了
[00:04:51.120 --> 00:04:55.680]  但是我的確自己年輕過
[00:04:55.680 --> 00:05:01.520]  我的確是在過去上帝給我恩典
[00:05:01.520 --> 00:05:05.280]  我有超過二十年可以在大學裏面教書
[00:05:05.280 --> 00:05:07.280]  接觸很多年輕人
[00:05:07.280 --> 00:05:09.080]  在我自己的工作裏面
[00:05:09.080 --> 00:05:15.720]  也是請和共事很多年輕的朋友
[00:05:15.720 --> 00:05:19.280]  我是用恨鐵不成鋼的心情
[00:05:19.280 --> 00:05:21.320]  今天跟大家分享
[00:05:21.320 --> 00:05:25.120]  爲什麼恨鐵不成鋼呢?
