
[00:00:00.000 --> 00:00:02.000]  各位影子早安
[00:00:02.000 --> 00:00:07.640]  在新的一年,先恭祝大家新年夢福,身體健康
[00:00:07.640 --> 00:00:13.960]  在早前不同的場合,我都跟大家約莫說過
[00:00:13.960 --> 00:00:19.520]  今年的講壇,基本上我們不同的同工
[00:00:19.520 --> 00:00:26.720]  都會分享薩姆爾記上下,特別在當中大衛的生平
[00:00:26.720 --> 00:00:32.760]  為什麼選擇大衛呢?其實在大衛的人生當中
[00:00:32.760 --> 00:00:40.680]  他有很豐富的經歷,不過他的經歷跟我們差不多
[00:00:40.680 --> 00:00:47.800]  他需要面對教養他的兒女當中的挑戰和掙扎
[00:00:47.800 --> 00:00:55.080]  他亦在他的人生當中,面對過生離死別
[00:00:55.080 --> 00:01:04.360]  當然他有成功的地方,但亦少不了很多失敗的地方
[00:01:04.360 --> 00:01:13.040]  特別我相信大家最記得的就是他身陷在性的罪當中
[00:01:13.040 --> 00:01:19.000]  而這些被人藐視,甚至是背叛
[00:01:19.000 --> 00:01:26.080]  那種灰心、失落的心情,其實是非常真實的
[00:01:26.080 --> 00:01:30.680]  不過正正是因為他這些有血有肉的經歷
[00:01:30.680 --> 00:01:38.920]  幫助他在生命當中,生命、心耕、使命、承擔
[00:01:38.920 --> 00:01:46.040]  這就是我們今年在我背後這一對對戀的連繫
[00:01:46.040 --> 00:01:53.760]  透過這些經歷,上帝就塑造他成為一個合他心意的人
[00:01:53.760 --> 00:01:57.360]  撒末爾記上十三章十四節
[00:01:57.360 --> 00:02:01.080]  A man after God's own heart
[00:02:01.080 --> 00:02:05.360]  在進到大衛的生平之先
[00:02:05.360 --> 00:02:11.560]  都需要跟大家交代少少當中的背景
[00:02:11.560 --> 00:02:16.560]  到了撒末爾記上第十六章,其實當時
[00:02:16.560 --> 00:02:23.440]  蘇羅王已經統治了以色列民大概二十五年
[00:02:23.440 --> 00:02:26.720]  但這二十五年過去的時候
[00:02:26.720 --> 00:02:34.120]  他的屬靈景況沒有變好,反而是每況愈下
[00:02:34.120 --> 00:02:40.880]  之前最早的時候,神其實不喜歡以色列民有王
[00:02:40.880 --> 00:02:46.000]  不過他們還是要求有一個王
[00:02:46.000 --> 00:02:50.760]  好像他們周邊的其他民族一樣
[00:02:50.760 --> 00:02:57.720]  於是神最終就讓蘇羅承擔起這個角色
[00:02:57.720 --> 00:03:03.720]  從人的標準來看,其實蘇羅真的是一個不錯的選擇
[00:03:03.720 --> 00:03:09.600]  聖經形容他比常人高了一個頭,即是高大威猛
[00:03:09.600 --> 00:03:13.880]  而且又健壯又俊美
[00:03:13.880 --> 00:03:18.160]  開始的時候,蘇羅王其實是不錯的
[00:03:18.160 --> 00:03:24.440]  他可以招聚那班以色列民一起去面對他們周邊的敵人
[00:03:24.440 --> 00:03:28.840]  當時他們打仗是打贏的
[00:03:28.840 --> 00:03:34.840]  不過隨著時間流逝,問題就陸陸續續出現了
[00:03:34.840 --> 00:03:39.920]  所以最終他是被大衛所替代
[00:03:39.920 --> 00:03:43.520]  今天就要和大家介紹一下
[00:03:43.520 --> 00:03:48.240]  大衛這個人物究竟是怎樣出場的
[00:03:48.240 --> 00:03:54.400]  經文是記載在《撒姆爾記》上的十六章一至十三節
[00:03:54.400 --> 00:03:57.760]  首先和大家讀一讀這段聖經
[00:03:57.760 --> 00:03:59.480]  預備起
[00:03:59.480 --> 00:04:02.000]  耶和華對撒姆爾說
[00:04:02.000 --> 00:04:05.800]  我既厭棄蘇羅作以色列的王
[00:04:05.800 --> 00:04:09.440]  你為他悲傷要到幾時呢?
[00:04:09.440 --> 00:04:12.360]  你將高遊盛滿了國
[00:04:12.360 --> 00:04:16.880]  我差遣你往伯利恆人耶西那裡去
[00:04:16.880 --> 00:04:19.800]  因為我在他眾子之內
[00:04:19.800 --> 00:04:22.280]  預定一個作王的
