
[00:00:00.000 --> 00:00:09.000]  我在北宣家十二年第一次在八號風球底下講道
[00:00:09.000 --> 00:00:11.000]  你比我更加久的話
[00:00:11.000 --> 00:00:17.000]  可能你不止第一次八號風球在這裡參與崇拜都不一定
[00:00:17.000 --> 00:00:20.000]  再上就沒有了 九號就不開了
[00:00:20.000 --> 00:00:24.000]  那你下次不要來錯
[00:00:24.000 --> 00:00:26.000]  風雨飄搖
[00:00:26.000 --> 00:00:32.000]  可以說是我們這一輪的處境
[00:00:32.000 --> 00:00:40.000]  我最近想起兩首很舊的粵語流行曲
[00:00:40.000 --> 00:00:43.000]  看看你認不認識 是不是我的年紀
[00:00:43.000 --> 00:00:52.000]  一首叫做空凳 另一首叫做追憶
[00:00:52.000 --> 00:00:57.000]  雖然現在空凳化成追憶
[00:00:57.000 --> 00:01:07.000]  但是讓我更加明白利美記第十九章第十七到第十八節的真理
[00:01:07.000 --> 00:01:12.000]  你心裡不可痛恨你的弟兄
[00:01:12.000 --> 00:01:16.000]  一定要責備你的鄰舍
[00:01:16.000 --> 00:01:20.000]  免得你要承擔他的罪
[00:01:20.000 --> 00:01:22.000]  你不可報仇
[00:01:22.000 --> 00:01:26.000]  不可對你的同胞懷恨
[00:01:26.000 --> 00:01:30.000]  要愛你的鄰舍如同自己
[00:01:30.000 --> 00:01:33.000]  我是上主
[00:01:33.000 --> 00:01:35.000]  因為愛之心
[00:01:35.000 --> 00:01:37.000]  所以擇之切
[00:01:37.000 --> 00:01:40.000]  卻是無敵人
[00:01:40.000 --> 00:01:42.000]  在之前
[00:01:42.000 --> 00:01:49.000]  當DR的靈訊一日一日這樣進行
[00:01:49.000 --> 00:01:51.000]  我就在想
[00:01:51.000 --> 00:01:59.000]  為什麼行醫緣戶濟世的人可以搞成這樣
[00:01:59.000 --> 00:02:02.000]  既知道風險在哪裡
[00:02:02.000 --> 00:02:06.000]  但是又好像不知道風險在哪裡
[00:02:06.000 --> 00:02:11.000]  後來就輪到DQ的裁決
[00:02:11.000 --> 00:02:15.000]  我又問為什麼從政的人又搞成這樣
[00:02:15.000 --> 00:02:17.000]  看你站在哪一邊
[00:02:17.000 --> 00:02:19.000]  你就會說
[00:02:19.000 --> 00:02:21.000]  都是知道風險
[00:02:21.000 --> 00:02:24.000]  為什麼又好像不知道風險
[00:02:24.000 --> 00:02:26.000]  如果你站在另一邊
[00:02:26.000 --> 00:02:27.000]  你就會覺得
[00:02:27.000 --> 00:02:30.000]  為什麼依法辦事得來
[00:02:30.000 --> 00:02:33.000]  又如此於理不合
[00:02:33.000 --> 00:02:36.000]  在風雨飄搖的時間
[00:02:36.000 --> 00:02:41.000]  讀彼得前書是一個好的選擇
[00:02:41.000 --> 00:02:44.000]  彼得前書的起點
[00:02:44.000 --> 00:02:46.000]  在第一章第一節
[00:02:46.000 --> 00:02:48.000]  雖然我們剛才沒有讀
[00:02:48.000 --> 00:02:51.000]  那裡提到修信的人
[00:02:51.000 --> 00:02:55.000]  是被稱為寄居的人
[00:02:55.000 --> 00:02:58.000]  做寄居的人我們馬上想
[00:02:58.000 --> 00:03:00.000]  面對風雨飄搖的現實
[00:03:00.000 --> 00:03:02.000]  我們做寄居的人
[00:03:02.000 --> 00:03:03.000]  好了
[00:03:03.000 --> 00:03:06.000]  這世界非我家
[00:03:06.000 --> 00:03:10.000]  就留意聖經說寄居的人
[00:03:10.000 --> 00:03:14.000]  不是叫我們不吃人間煙火
[00:03:14.000 --> 00:03:17.000]  麻煩事一概不理
[00:03:17.000 --> 00:03:18.000]  又或者
[00:03:18.000 --> 00:03:20.000]  一是嬉笑怒罵
[00:03:20.000 --> 00:03:22.000]  犬如一番
[00:03:22.000 --> 00:03:24.000]  我們做寄居的人
[00:03:24.000 --> 00:03:27.000]  按彼得前書或聖經的教導
[00:03:27.000 --> 00:03:30.000]  是說我們在世界上
[00:03:30.000 --> 00:03:33.000]  我們仍然深信
[00:03:33.000 --> 00:03:36.000]  這是天賦世界
[00:03:36.000 --> 00:03:39.000]  我們寄居在這裡
[00:03:39.000 --> 00:03:41.000]  能夠在這裡生活
[00:03:41.000 --> 00:03:43.000]  是相信上帝在這裡
[00:03:43.000 --> 00:03:46.000]  黑暗勢力雖然猖狂
