
[00:00:00.000 --> 00:00:03.960]  好,我們繼續聽神的話
[00:00:03.960 --> 00:00:07.240]  用神的話來慰養我們
[00:00:07.240 --> 00:00:12.000]  我們繼續會講人物
[00:00:12.000 --> 00:00:14.680]  今天會講摩西
[00:00:14.680 --> 00:00:19.320]  透過摩西的生命讓我們有一些學習和鼓勵
[00:00:19.320 --> 00:00:26.840]  摩西,聖經說是前無古人,後無來者
[00:00:26.840 --> 00:00:29.520]  前無古人,後無來者,沒錯
[00:00:29.520 --> 00:00:34.240]  只是說,聖經裡面說摩西是神最重用其中一個的僕人
[00:00:34.240 --> 00:00:38.560]  他的人生裡面其實是預表著耶穌基督的
[00:00:38.560 --> 00:00:41.160]  厲不厲害,很厲害的
[00:00:41.160 --> 00:00:46.320]  我們先讀一下聖經,屏幕有些fit
[00:00:46.320 --> 00:00:48.920]  好,我們先讀一下聖經
[00:00:48.920 --> 00:00:55.600]  《小六行傳》七章第十七節至到三十八節
[00:00:55.600 --> 00:00:58.080]  這段聖經的背景是《小六行傳》
[00:00:58.080 --> 00:01:01.600]  是史提反的一個生命
[00:01:01.600 --> 00:01:09.040]  其實當時猶太人說史提反違反摩西的律法等等
[00:01:09.040 --> 00:01:12.920]  史提反就用一篇信息一直這樣說
[00:01:12.920 --> 00:01:21.000]  反而指出當時的猶太人才是棄住了摩西那些人
[00:01:21.000 --> 00:01:23.600]  其實暗指他們是棄住了耶穌
[00:01:23.600 --> 00:01:26.400]  因為一直說耶穌基督就是那位救主
[00:01:26.400 --> 00:01:29.320]  所以到最後你讀《小六行傳》第七章
[00:01:29.320 --> 00:01:34.920]  史提反就殉道,被釘死,被石頭,經到神蹟歧視
[00:01:34.920 --> 00:01:38.880]  我們選了這段聖經,我們一起思想摩西
[00:01:38.880 --> 00:01:41.880]  摩西很傳奇的
[00:01:41.880 --> 00:01:46.880]  如果你看他人生可以分三個階段
[00:01:46.880 --> 00:01:48.480]  摩西一百二十歲
[00:01:48.480 --> 00:01:54.320]  剛才讀那段經文大概就已經形容了摩西一百二十年
[00:01:54.320 --> 00:01:58.840]  他讀到頭四十年在埃及長大
[00:01:58.840 --> 00:02:01.800]  接著四十年在米甸
[00:02:01.800 --> 00:02:05.920]  接著四十年他又帶領以色列人離開埃及
[00:02:05.920 --> 00:02:08.200]  經過紅海,在曠野裏面
[00:02:08.200 --> 00:02:10.960]  行了很多神蹟歧視
[00:02:10.960 --> 00:02:13.400]  摩西生在甚麼年代呢?
[00:02:13.400 --> 00:02:17.600]  剛才你讀聖經就是在埃及地
[00:02:17.600 --> 00:02:21.400]  約瑟帶領以色列人去到埃及地
[00:02:21.400 --> 00:02:23.400]  約瑟是當時的宰相
[00:02:23.400 --> 00:02:27.360]  幫助埃及經過了饑荒
[00:02:27.360 --> 00:02:28.960]  所以他在那裏做了宰相
[00:02:28.960 --> 00:02:33.680]  所以整個家,以色列人就寄居在埃及
[00:02:33.680 --> 00:02:36.680]  一直這樣衍生繁多
[00:02:36.680 --> 00:02:41.200]  到王死了之後,那一代的法老王死了
[00:02:41.200 --> 00:02:43.960]  第二代的時候就開始害怕
[00:02:43.960 --> 00:02:46.280]  如果你看出埃及的,那個王害怕甚麼呢?
[00:02:46.280 --> 00:02:49.560]  他說這些民族那麼多
[00:02:49.560 --> 00:02:51.800]  如果有敵國攻打我們
[00:02:51.800 --> 00:02:54.480]  只要這些以色列民一幫敵國
[00:02:54.480 --> 00:02:56.680]  我們埃及就會滅
[00:02:56.680 --> 00:02:58.960]  所以他們覺得很不安
[00:02:58.960 --> 00:03:00.760]  因為壯大了,越來越多
[00:03:00.760 --> 00:03:03.360]  神很賜福給以色列民
[00:03:03.360 --> 00:03:06.640]  因為神賜福過給阿伯拉罕
[00:03:06.640 --> 00:03:08.760]  應許過他的子孫要怎樣?
[00:03:08.760 --> 00:03:11.280]  好像星,好像海裏面的沙那麼多
[00:03:11.280 --> 00:03:13.320]  所以他一路一路生得很多
[00:03:13.320 --> 00:03:16.480]  所以埃及王就用一些苦袋
[00:03:16.480 --> 00:03:21.920]  要他們做苦工,要他們起誠,很嚴苛的一個方式
[00:03:21.920 --> 00:03:24.840]  而且再見到這樣,他還生得多
[00:03:24.840 --> 00:03:28.040]  可能是強壯,生得更多
[00:03:28.040 --> 00:03:30.640]  接著他就用了一個詭計
[00:03:30.640 --> 00:03:34.120]  叫埃及接生的人
[00:03:34.120 --> 00:03:35.720]  總之叫接生婆
[00:03:35.720 --> 00:03:38.840]  總之如果生下來的,是男丁的
[00:03:38.840 --> 00:03:41.640]  接生是男丁的,就殺了他
[00:03:41.640 --> 00:03:44.720]  女丁就留下
[00:03:44.720 --> 00:03:48.160]  結果聖經說有一個接生的敬畏神
[00:03:48.160 --> 00:03:52.040]  他不聽王的命令,就留下,他就不殺
[00:03:52.040 --> 00:03:55.080]  他剛剛接生的就是摩西
[00:03:55.080 --> 00:03:58.320]  他不殺,聖經說因為這個接生婆
[00:03:58.320 --> 00:04:03.720]  敬畏神賜福給他,叫他成家立室
[00:04:03.720 --> 00:04:05.880]  摩西就是這樣長大的
[00:04:05.880 --> 00:04:08.280]  而且那時候再看聖經說
[00:04:08.280 --> 00:04:11.240]  不單叫接生,王見到這樣
[00:04:11.240 --> 00:04:17.720]  他說所有英雄都要丟在河裏,淹死他
[00:04:17.720 --> 00:04:21.040]  即是要殺那一代的男丁
[00:04:21.040 --> 00:04:23.760]  摩西就是在這樣的背景,被逼迫
[00:04:23.760 --> 00:04:26.600]  在民族裏,在一個國家裏不受歡迎
[00:04:26.600 --> 00:04:30.280]  嚴苛的時代出生
[00:04:30.280 --> 00:04:32.800]  如果你讀希伯來書,大家看看
[00:04:32.800 --> 00:04:37.320]  希伯來書他的父母,聖經說養他三個月
[00:04:37.320 --> 00:04:40.000]  希伯來書怎樣說呢
[00:04:40.000 --> 00:04:45.000]  希伯來書說,生下來怎樣
[00:04:45.000 --> 00:04:49.800]  讀一下希伯來書,大家聽一下
[00:04:49.800 --> 00:04:53.840]  這裏說他的父母是一隻信
[00:04:53.840 --> 00:04:55.760]  在希伯來書要說信心的偉人
[00:04:55.760 --> 00:05:00.200]  一直這樣說,歷世歷代的很多憑著信心而死的人
[00:05:00.200 --> 00:05:03.920]  都是盼望我永恆的家鄉,相信神的應許的人
[00:05:03.920 --> 00:05:07.600]  原來摩西的父母是有信心的人
[00:05:07.600 --> 00:05:10.040]  他們就不留下這個小朋友
[00:05:10.040 --> 00:05:13.520]  見到這個俊美,很可愛,他們就留下
[00:05:13.520 --> 00:05:16.000]  去到三個月,大家知道小朋友
[00:05:16.000 --> 00:05:18.880]  其實有加椰奶等等,會哭的
[00:05:18.880 --> 00:05:20.480]  那些人會知道的
