
[00:00:00.000 --> 00:00:03.060]  很開心連續兩講
[00:00:03.060 --> 00:00:04.980]  上星期講了個人篇
[00:00:04.980 --> 00:00:06.980]  今天就講羣體
[00:00:06.980 --> 00:00:11.520]  講羣體就一定是講教會里面的情況
[00:00:11.520 --> 00:00:12.720]  和旁邊的弟兄姊妹講
[00:00:12.720 --> 00:00:15.600]  我們是同一間教會的
[00:00:15.600 --> 00:00:17.400]  再清楚地告訴你
[00:00:17.400 --> 00:00:23.600]  我們是一間細胞小組教會
[00:00:23.600 --> 00:00:26.120]  他很清楚地告訴你
[00:00:26.120 --> 00:00:33.500]  因爲教會有小組和細胞小組教會完全是兩回事
[00:00:33.500 --> 00:00:36.620]  這些由受訓練師慢慢再講
[00:00:36.620 --> 00:00:42.320]  今天很開心回到我們自己的意見和方向重溫一下
[00:00:42.320 --> 00:00:44.500]  有很多人讀錯教會名字
[00:00:44.500 --> 00:00:46.960]  通常一埋就是千百
[00:00:46.960 --> 00:00:47.920]  陌生人就會讀
[00:00:47.920 --> 00:00:49.920]  一埋就是千百
[00:00:49.920 --> 00:00:54.200]  和旁邊的人講是千麥社區浸信會
[00:00:54.200 --> 00:00:57.580]  但是應該大部分都不知道這個名字是怎麼來的
[00:00:57.580 --> 00:00:58.600]  我們一起讀一次
[00:00:58.600 --> 00:01:00.000]  123
[00:01:00.000 --> 00:01:05.280]  我們的教會名爲千麥社區浸信會
[00:01:05.280 --> 00:01:07.980]  目的是要叫衆信徒
[00:01:07.980 --> 00:01:11.400]  謹記那從上而來的意象
[00:01:11.400 --> 00:01:15.520]  勇敢地走在神廣大之和牆上
[00:01:15.520 --> 00:01:17.880]  作神無愧的工人
[00:01:17.880 --> 00:01:20.320]  爲神收取莊稼
[00:01:20.320 --> 00:01:26.600]  爲此我們願意向每一個徘徊於人生十字路口的人
[00:01:26.600 --> 00:01:29.840]  施與關懷一同分享
[00:01:29.840 --> 00:01:32.300]  藉着十字架之救恩
[00:01:32.300 --> 00:01:36.360]  引領他走上與神和好的大道
[00:01:36.360 --> 00:01:38.040]  離開黑暗
[00:01:38.040 --> 00:01:40.240]  盡道光明中
[00:01:40.240 --> 00:01:43.040]  所以教會的名字是怎麼來的
[00:01:43.040 --> 00:01:46.560]  在這個意象裏面是寫得很清楚的
[00:01:46.560 --> 00:01:51.720]  當年設計師的姐妹們設計了這個很漂亮的logo
[00:01:51.720 --> 00:01:55.040]  在開放的階段裏面一起服侍
[00:01:55.040 --> 00:01:56.800]  由八個頂節目開始
[00:01:56.800 --> 00:01:58.080]  什麼都要試做
[00:01:58.080 --> 00:01:59.760]  在那幾年開放的日子裏面
[00:01:59.760 --> 00:02:01.520]  令我們很清楚知道
[00:02:01.520 --> 00:02:03.680]  究竟神要把我們這幾個人
[00:02:03.680 --> 00:02:06.000]  在青衣島這個地方做些什麼
[00:02:06.000 --> 00:02:11.360]  因爲青衣島其實當年是一個還沒有開發的小島
[00:02:11.360 --> 00:02:16.640]  而最重要的是封印在那裏是一件很外來的事
[00:02:16.640 --> 00:02:19.600]  我們記得最初簽名中心在那裏成立的時候
[00:02:19.600 --> 00:02:21.600]  只有半間丁屋
[00:02:21.600 --> 00:02:24.320]  找個師奶回來教我們煮飯
[00:02:24.320 --> 00:02:27.040]  我們自己就叫簽名中心了
[00:02:27.040 --> 00:02:29.760]  但是發現當我們一放postcard出去的時候
[00:02:29.760 --> 00:02:32.360]  有個很明顯的反應
[00:02:32.360 --> 00:02:35.960]  是其他的基督徒打電話來罵我們的
[00:02:35.960 --> 00:02:38.520]  他說你怎麼會做這些社會服務的事
[00:02:38.520 --> 00:02:41.600]  爲什麼你要搞攤位 爲什麼你要搞這些東西
[00:02:41.600 --> 00:02:43.600]  你祈禱就可以了
[00:02:43.600 --> 00:02:44.720]  真是摸不着頭腦的
[00:02:44.720 --> 00:02:49.280]  完全都不明白我們做了什麼錯事
[00:02:49.280 --> 00:02:51.560]  第二個反應又令我們很突然的
[00:02:51.560 --> 00:02:55.640]  就是我們用那些叫做外展的手法
[00:02:55.640 --> 00:02:57.160]  我們都是煮一頓飯
[00:02:57.160 --> 00:02:59.320]  而且我們都很清楚的
[00:02:59.320 --> 00:03:00.880]  做服務就做服務
[00:03:00.880 --> 00:03:02.080]  傳福音就傳福音
[00:03:02.080 --> 00:03:04.480]  所以我們從來都沒有想過
[00:03:04.480 --> 00:03:06.240]  要在簽名中心裏面
[00:03:06.240 --> 00:03:08.520]  突然間變成教會的聚會
[00:03:08.520 --> 00:03:11.280]  我們在我們的概念裏面很少做這件事
[00:03:11.280 --> 00:03:13.560]  但是當貼了出來的時候
[00:03:13.560 --> 00:03:15.080]  有些師奶又打電話來
[00:03:15.080 --> 00:03:19.400]  她說這些教會是不是要信教才能進來的
[00:03:19.400 --> 00:03:20.120]  我說不是
[00:03:20.120 --> 00:03:21.080]  我們是中心來的
[00:03:21.080 --> 00:03:22.520]  你隨時都可以進來的
[00:03:22.520 --> 00:03:24.320]  她說我奶奶罵的
[00:03:24.320 --> 00:03:25.480]  如果我來這裏
[00:03:25.480 --> 00:03:28.200]  我們不能去教會的
[00:03:28.200 --> 00:03:29.640]  我覺得很古怪
[00:03:29.640 --> 00:03:31.120]  原來忘記了
[00:03:31.120 --> 00:03:32.840]  原來精英島是一個島
