
[00:00:00.000 --> 00:00:02.000]  好,各位兄弟、姐妹,你們很開心
[00:00:02.000 --> 00:00:05.000]  可以再和大家分享成就話語
[00:00:05.000 --> 00:00:08.000]  有一句話,我想大家都很熟悉
[00:00:08.000 --> 00:00:11.000]  就是會有無緣無故的愛
[00:00:11.000 --> 00:00:14.000]  亦都不會有無緣無故的恨
[00:00:14.000 --> 00:00:18.000]  即今日,我們都不會無緣無故的在這裏
[00:00:18.000 --> 00:00:20.000]  一定有它的原因
[00:00:20.000 --> 00:00:24.000]  即今日有時,我們會羨慕一些人的成功
[00:00:24.000 --> 00:00:29.000]  但是,我覺得成功是絕對不會有僥倖的
[00:00:29.000 --> 00:00:33.000]  現在大家都知道,銅鑼灣已經改了名字
[00:00:33.000 --> 00:00:35.000]  叫做姜濤灣
[00:00:35.000 --> 00:00:39.000]  有些人很喜歡照鏡子
[00:00:39.000 --> 00:00:41.000]  有時照鏡子又會錯了
[00:00:41.000 --> 00:00:44.000]  Mila、Era那樣,對不對?
[00:00:44.000 --> 00:00:46.000]  但是,特別做父母都不要覺得「嘻!」
[00:00:46.000 --> 00:00:48.000]  只看這些
[00:00:48.000 --> 00:00:50.000]  要欣賞他們怎樣努力
[00:00:50.000 --> 00:00:52.000]  你知道嗎?跳舞是很辛苦的
[00:00:52.000 --> 00:00:54.000]  還要一起合拍地跳舞
[00:00:54.000 --> 00:00:56.000]  一個人跳是沒有問題的
[00:00:56.000 --> 00:01:00.000]  一群人跳就要齊拍子,那些舞步是絕對不容易
[00:01:00.000 --> 00:01:02.000]  因為我跳過,但是不行的
[00:01:02.000 --> 00:01:04.000]  不知道大家知不知道
[00:01:04.000 --> 00:01:06.000]  很多年前有個叫做「基督二千」的節目
[00:01:06.000 --> 00:01:10.000]  我是第一代的電視人
[00:01:10.000 --> 00:01:12.000]  如果你留意到那時候,那個鏡頭
[00:01:12.000 --> 00:01:15.000]  開頭那些跳舞,我只是出現了一秒鐘而已
[00:01:15.000 --> 00:01:17.000]  因為人家上我就下,人家下我就上
[00:01:17.000 --> 00:01:19.000]  導演說「梁牧師傅,你出來吧」
[00:01:19.000 --> 00:01:20.000]  我說「好啊」
[00:01:20.000 --> 00:01:22.000]  接著,我繼續錄影,就是這樣
[00:01:22.000 --> 00:01:24.000]  因為我的拍子全部拿不動
[00:01:24.000 --> 00:01:27.000]  所以不會有無緣無故的成功
[00:01:27.000 --> 00:01:29.000]  但是也不會有無緣無故的失敗
[00:01:29.000 --> 00:01:31.000]  一定有很多的成因
[00:01:31.000 --> 00:01:34.000]  作為基督徒,我們要得勝絕對不容易
[00:01:34.000 --> 00:01:36.000]  所以教會要求我來講一篇信息
[00:01:36.000 --> 00:01:38.000]  就是「得勝有因」
[00:01:38.000 --> 00:01:40.000]  這個是非常好的
[00:01:40.000 --> 00:01:42.000]  那時候,其實如果我們看回
[00:01:42.000 --> 00:01:46.000]  保羅他在《羅馬書》第八章裡面
[00:01:46.000 --> 00:01:49.000]  記住是第八章,不是第三章
[00:01:49.000 --> 00:01:51.000]  他就來提醒我們
[00:01:51.000 --> 00:01:55.000]  原來有五個因素是令我們成功的
[00:01:55.000 --> 00:01:57.000]  保羅在這裡裡面
[00:01:57.000 --> 00:02:00.000]  特別是在第八章,第31節
[00:02:00.000 --> 00:02:03.000]  他「既是這樣,還有什麼可說呢?」
[00:02:03.000 --> 00:02:08.000]  他用了五個不能夠回答的問題
[00:02:08.000 --> 00:02:11.000]  來去問我們
[00:02:11.000 --> 00:02:14.000]  這五個問題,某個程度是沒有答案的
[00:02:14.000 --> 00:02:16.000]  是你答不到的
[00:02:16.000 --> 00:02:18.000]  或者是不能夠答到的
[00:02:18.000 --> 00:02:21.000]  他說這五個問題就是成為我們基督徒
[00:02:21.000 --> 00:02:25.000]  能夠成長、成功的一個因素
[00:02:25.000 --> 00:02:27.000]  所以我們要去探討
[00:02:27.000 --> 00:02:29.000]  第一個問題就是
[00:02:29.000 --> 00:02:33.000]  我們不再懼怕一些的敵黨
[00:02:33.000 --> 00:02:37.000]  他說到神若幫助我們
[00:02:37.000 --> 00:02:40.000]  誰能敵擋我們呢?
[00:02:40.000 --> 00:02:42.000]  這裡你就會很肯定
[00:02:42.000 --> 00:02:45.000]  保羅寫書信的時候
[00:02:45.000 --> 00:02:47.000]  絕對不是空談
[00:02:47.000 --> 00:02:49.000]  是他自己的經歷
[00:02:49.000 --> 00:02:52.000]  是他自己所領受
[00:02:52.000 --> 00:02:55.000]  不是一些抽象的事
[00:02:55.000 --> 00:02:58.000]  保羅他自己也經歷過很多的敵黨
[00:02:58.000 --> 00:03:01.000]  如果我們去嚴獨臣的話語的時候
[00:03:01.000 --> 00:03:03.000]  特別是看《仕道行傳》
[00:03:03.000 --> 00:03:06.000]  你會見到保羅他去傳福音的時候
[00:03:06.000 --> 00:03:09.000]  是受著很多的阻礙
[00:03:09.000 --> 00:03:11.000]  甚至敵對
[00:03:11.000 --> 00:03:14.000]  最簡單,如果你記得他去貼薩羅尼加傳道的時候
[00:03:14.000 --> 00:03:17.000]  很有果效,有尊貴的婦女
[00:03:17.000 --> 00:03:20.000]  有外邦人來信主
[00:03:20.000 --> 00:03:24.000]  但是有同胞猶太人不滿
[00:03:24.000 --> 00:03:26.000]  原來歷史是逼不從覆的
[00:03:26.000 --> 00:03:28.000]  你看《聖經》的時候
[00:03:28.000 --> 00:03:31.000]  他就去找一些市井匪類
[00:03:31.000 --> 00:03:33.000]  就是黑社會
[00:03:33.000 --> 00:03:35.000]  去對付保羅
[00:03:35.000 --> 00:03:37.000]  然後誣衊保羅
[00:03:37.000 --> 00:03:40.000]  說搞亂天下的
[00:03:40.000 --> 00:03:42.000]  來到我們當中
[00:03:42.000 --> 00:03:44.000]  是不是很熟悉這些過程
[00:03:44.000 --> 00:03:46.000]  有市井匪類
[00:03:46.000 --> 00:03:49.000]  去對付一些人
[00:03:49.000 --> 00:03:51.000]  甚至誣衊他們
[00:03:51.000 --> 00:03:53.000]  搞亂天下的來到我們當中
[00:03:53.000 --> 00:03:56.000]  所以保羅很無奈
[00:03:56.000 --> 00:03:58.000]  有人要捉拿他
[00:03:58.000 --> 00:04:00.000]  他就逃走
[00:04:00.000 --> 00:04:03.000]  但是他的逃走不是餘孽
[00:04:03.000 --> 00:04:05.000]  因為他離開之後
[00:04:05.000 --> 00:04:08.000]  他繼續的去傳福音
[00:04:08.000 --> 00:04:11.000]  所以今天我們在這裡的時候
[00:04:11.000 --> 00:04:13.000]  不一定是我們的餘孽
[00:04:13.000 --> 00:04:15.000]  不得不承認我們有懼怕
[00:04:15.000 --> 00:04:18.000]  但是我們不可以只是逍遙法外
[00:04:18.000 --> 00:04:21.000]  是逍遙在國安法之外
[00:04:21.000 --> 00:04:22.000]  於是我就怎樣
[00:04:22.000 --> 00:04:24.000]  我就可以很輕鬆
[00:04:24.000 --> 00:04:26.000]  無論什麼地方
[00:04:26.000 --> 00:04:30.000]  我們都是一個鹽和缸
[00:04:30.000 --> 00:04:31.000]  都是登台
