
[00:00:00.000 --> 00:00:03.000]  我們先和聖經歷史
[00:00:03.000 --> 00:00:05.000]  我們看看猶太人
[00:00:05.000 --> 00:00:07.000]  在舊約到新約的初期
[00:00:07.000 --> 00:00:09.000]  其實他們對不同的種族
[00:00:09.000 --> 00:00:10.000]  不同的階層
[00:00:10.000 --> 00:00:12.000]  不同性別的人
[00:00:12.000 --> 00:00:15.000]  是非常歧視的
[00:00:15.000 --> 00:00:17.000]  在第一世紀裡面
[00:00:17.000 --> 00:00:20.000]  猶太人就只是和猶太人相交
[00:00:20.000 --> 00:00:25.000]  猶太人只是和猶太人生活
[00:00:25.000 --> 00:00:27.000]  富有的人和貧窮的人
[00:00:27.000 --> 00:00:29.000]  是從來都不會接觸的
[00:00:29.000 --> 00:00:31.000]  不會和他們接觸的
[00:00:31.000 --> 00:00:33.000]  很有階級觀念的
[00:00:33.000 --> 00:00:35.000]  在聖殿
[00:00:35.000 --> 00:00:38.000]  無論是會幕的設立
[00:00:38.000 --> 00:00:40.000]  你不要以為很神聖
[00:00:40.000 --> 00:00:41.000]  很愛主
[00:00:41.000 --> 00:00:42.000]  但是其實
[00:00:42.000 --> 00:00:44.000]  當我們看回聖殿的設計
[00:00:44.000 --> 00:00:46.000]  其實都頗有階級
[00:00:46.000 --> 00:00:48.000]  頗歧視的
[00:00:48.000 --> 00:00:51.000]  聖殿的核心是那個致聖所
[00:00:51.000 --> 00:00:53.000]  致聖所就是大祭司
[00:00:53.000 --> 00:00:56.000]  大祭司一年才可以去一次
[00:00:56.000 --> 00:00:58.000]  其他人都完全不可以進去的
[00:00:58.000 --> 00:01:01.000]  致聖所外面就是聖所
[00:01:01.000 --> 00:01:05.000]  聖所就是祭司獻祭侍奉的地方
[00:01:05.000 --> 00:01:08.000]  而聖所外面就是內院
[00:01:08.000 --> 00:01:11.000]  內院就是祭司去預備生畜
[00:01:11.000 --> 00:01:13.000]  去預備宰殺生畜
[00:01:13.000 --> 00:01:15.000]  去預備獻祭的地方
[00:01:15.000 --> 00:01:19.000]  就只有祭司和利美人可以進去
[00:01:19.000 --> 00:01:22.000]  而內院以外就叫做以色列院
[00:01:22.000 --> 00:01:24.000]  也叫做南院
[00:01:24.000 --> 00:01:27.000]  顧名思義就是以色列的女人不可以進去的
[00:01:27.000 --> 00:01:29.000]  一般的以色列的男人
[00:01:29.000 --> 00:01:32.000]  就可以在南院裡面去參與
[00:01:32.000 --> 00:01:35.000]  就是參加獻祭的過程
[00:01:35.000 --> 00:01:38.000]  然後南院之外才是女院
[00:01:38.000 --> 00:01:41.000]  以色列的女人就可以進去女院了
[00:01:41.000 --> 00:01:44.000]  而至於所謂當時的外邦人
[00:01:44.000 --> 00:01:47.000]  就南院女院都不可以進去
[00:01:47.000 --> 00:01:50.000]  只是在一個地方叫做外邦人院
[00:01:50.000 --> 00:01:54.000]  其實就是整個會幕的外圍
[00:01:54.000 --> 00:01:58.000]  他們只可以在那裡
[00:01:58.000 --> 00:02:01.000]  只能在外邦人院
[00:02:01.000 --> 00:02:03.000]  所以其實這個聖殿的設計
