
[00:00:00.000 --> 00:00:02.760]  按照教會的編排
[00:00:02.760 --> 00:00:08.080]  今日的訊息是講約翰福音第九章
[00:00:08.080 --> 00:00:11.200]  這章的內容其實非常豐富
[00:00:11.200 --> 00:00:15.080]  不知道你同不同意
[00:00:15.080 --> 00:00:17.760]  作為一個跟隨耶穌的門徒
[00:00:17.760 --> 00:00:21.160]  其實對上帝的認識和自己的認識
[00:00:21.160 --> 00:00:24.480]  都需要有進心和更新
[00:00:24.480 --> 00:00:27.320]  而且這個發現和學習
[00:00:27.320 --> 00:00:30.280]  其實是一生持續的過程
[00:00:30.280 --> 00:00:33.680]  不是一次就學會和經歷得到
[00:00:33.680 --> 00:00:39.360]  而且這個學習是不會畢業和完成的
[00:00:39.360 --> 00:00:43.240]  過去曾經有過對上帝的發現和經驗
[00:00:43.240 --> 00:00:46.400]  今日仍然可以有新的認識
[00:00:46.400 --> 00:00:51.880]  但最重要的是千萬不要被以往已有的知識和經歷
[00:00:51.880 --> 00:00:55.280]  來限制我們對上帝的發現
[00:00:55.280 --> 00:00:58.080]  因為上帝的豐富和奇妙
[00:00:58.080 --> 00:01:01.480]  是遠遠超過我們所能夠理解
[00:01:01.480 --> 00:01:06.240]  甚至是窮我們一生都會認識不完
[00:01:06.240 --> 00:01:10.280]  我們不如為今日一起在神面前的學習
[00:01:10.280 --> 00:01:12.280]  我們先有個祈禱
[00:01:12.280 --> 00:01:17.400]  親愛的天父
[00:01:17.400 --> 00:01:20.240]  我們一群熟悉你的人來到你面前
[00:01:20.240 --> 00:01:22.520]  真是存著很感恩的心
[00:01:22.520 --> 00:01:25.680]  因為你是一個啟示的上帝
[00:01:25.680 --> 00:01:27.680]  是滿有大能的上帝
[00:01:27.680 --> 00:01:30.720]  亦都是愛我們到底的上帝
[00:01:30.720 --> 00:01:33.080]  你將聖經留下給我們
[00:01:33.080 --> 00:01:36.320]  將耶穌的行事記載下來
[00:01:36.320 --> 00:01:39.360]  就是要我們知道你的心腸
[00:01:39.360 --> 00:01:42.440]  你的心意和你的教導
[00:01:42.440 --> 00:01:46.280]  所以求聖靈你潔淨我們的心靈
[00:01:46.280 --> 00:01:49.840]  將我們內裡所有的思慮煩憂拿開
[00:01:49.840 --> 00:01:54.000]  給我們有能聽的耳朵、能看的眼睛
[00:01:54.000 --> 00:01:58.160]  可以在這一段聽道的時間與你親近
[00:01:58.160 --> 00:02:00.320]  並且明白你的心意
[00:02:00.320 --> 00:02:03.640]  願意你將受教的深刺覺給我們
[00:02:03.640 --> 00:02:06.000]  我們將你的道理聽得明白
[00:02:06.000 --> 00:02:08.000]  就能夠行得出來
[00:02:08.000 --> 00:02:10.280]  願主這樣恩待我們
[00:02:10.280 --> 00:02:11.800]  奉耶穌的名求
[00:02:11.800 --> 00:02:13.800]  阿門
[00:02:13.800 --> 00:02:17.120]  如果你有跟教會所出的靈修日誌
[00:02:17.120 --> 00:02:19.440]  來到去每日靈修的話
[00:02:19.440 --> 00:02:23.640]  我猜你應該看了《約翰福音》第九章
[00:02:23.640 --> 00:02:25.960]  我想問問有誰已經看了
[00:02:25.960 --> 00:02:27.640]  舉手讓我看看
[00:02:27.640 --> 00:02:29.680]  嘩!也很多
[00:02:29.680 --> 00:02:33.440]  《約翰福音》第九章四十一節經文裡
[00:02:33.440 --> 00:02:35.640]  其實內容非常豐富
[00:02:35.640 --> 00:02:37.520]  因為內容很多
[00:02:37.520 --> 00:02:39.680]  所以我會先說
[00:02:39.680 --> 00:02:43.520]  《約翰福音》第四十一節經文裡
[00:02:43.520 --> 00:02:47.400]  其實將兩個很強的對比放在一起
[00:02:47.400 --> 00:02:53.120]  一個就是從出世就已經活在黑暗中的人
[00:02:53.120 --> 00:02:55.480]  他竟然很奇跡地
[00:02:55.480 --> 00:02:58.360]  生來黑眼卻可以得見光明
[00:02:58.360 --> 00:03:02.160]  而他這個體見更加不單止是肉身的體見
[00:03:02.160 --> 00:03:05.000]  他是連心靈的眼睛都打開
[00:03:05.000 --> 00:03:07.400]  以至當他遇見耶穌的時候
[00:03:07.400 --> 00:03:09.600]  他認識耶穌
[00:03:09.600 --> 00:03:12.000]  另外一邊就很不同了
[00:03:12.000 --> 00:03:15.040]  他們都是一些很熟悉聖經
[00:03:15.040 --> 00:03:17.520]  和律法的宗教領袖
