
[00:00:00.000 --> 00:00:05.800]  頂止每樣我們同心低頭禱告
[00:00:05.800 --> 00:00:10.000]  慈彼人愛的主,我是我們的天父
[00:00:10.000 --> 00:00:11.800]  祢是那位信實的神
[00:00:11.800 --> 00:00:15.800]  祢是那位昨日、今日、以後不會改變的主
[00:00:15.800 --> 00:00:18.400]  祢是我們的供應
[00:00:18.400 --> 00:00:20.800]  所以主我們今天再次來到祢面前
[00:00:20.800 --> 00:00:24.600]  主我們不單止仰望祢所為我們所作的功
[00:00:24.600 --> 00:00:28.800]  同樣神,我們求祢用祢的話語去修正我們的心
[00:00:28.800 --> 00:00:32.800]  因為主我們知道祢的話語可以快活我們的心
[00:00:32.800 --> 00:00:35.600]  祢的話語可以叫我們的心甦醒
[00:00:35.600 --> 00:00:38.200]  親愛的聖靈求祢在我們裡面帶領我們
[00:00:38.200 --> 00:00:40.200]  讓我們明白祢的話
[00:00:40.200 --> 00:00:43.800]  我們的禱告是奉耶穌基督得勝的明智而求
[00:00:43.800 --> 00:00:45.400]  阿們
[00:00:45.400 --> 00:00:48.200]  這段經文講的是什麼事呢?
[00:00:48.200 --> 00:00:50.600]  原來當時在羅馬教會
[00:00:50.600 --> 00:00:54.600]  他們因為一些食物的事起了爭論
[00:00:54.600 --> 00:00:59.400]  在這裡保羅用了一個很著實在他們裡面發生的例子
[00:00:59.400 --> 00:01:03.400]  原來中間有些人因為不潔淨的食物
[00:01:03.400 --> 00:01:06.000]  他們起了很多的紛爭
[00:01:06.000 --> 00:01:09.400]  可能猶太人他們從小就去被教導
[00:01:09.400 --> 00:01:12.400]  他們要去吃一些不潔淨的食物
[00:01:12.400 --> 00:01:14.600]  他們要去禁戒,不可以去吃
[00:01:14.600 --> 00:01:16.600]  從來都不會吃
[00:01:16.600 --> 00:01:18.800]  所以保羅再提醒
[00:01:18.800 --> 00:01:21.400]  這些剛強的人要對著軟弱的
[00:01:21.400 --> 00:01:23.800]  去限制自己的自由
[00:01:23.800 --> 00:01:26.000]  不吃,不要使他們叛島
[00:01:26.000 --> 00:01:28.600]  同樣裡面也提到另一班人
[00:01:28.600 --> 00:01:31.200]  跟這班軟弱的人說
[00:01:31.200 --> 00:01:34.600]  你們要不要去論斷剛強
[00:01:34.600 --> 00:01:37.400]  姐妹,我不知道你有沒有去想
[00:01:37.400 --> 00:01:39.000]  今天在我們中間
[00:01:39.000 --> 00:01:42.400]  其實在我們裡面都會發生很多類似的事
[00:01:42.400 --> 00:01:44.000]  以食物為例
[00:01:44.000 --> 00:01:46.600]  可能我們最近都會說
[00:01:46.600 --> 00:01:49.000]  有一間咖啡店Starbucks
[00:01:49.000 --> 00:01:51.000]  他們支持同志平權
[00:01:51.000 --> 00:01:53.000]  我們可不可以喝呢?
[00:01:53.000 --> 00:01:55.200]  我們中間又會起了討論
[00:01:55.200 --> 00:01:57.000]  又或者可能我們中間
[00:01:57.000 --> 00:01:59.400]  又會為其他在我們裡面的事
[00:01:59.400 --> 00:02:02.400]  我們基督徒可不可以染髮呢?
[00:02:02.400 --> 00:02:05.000]  弟兄可不可以戴耳環呢?
[00:02:05.000 --> 00:02:06.800]  弟兄又可不可以留長頭髮
[00:02:06.800 --> 00:02:08.800]  紮一條辮回教會呢?
[00:02:08.800 --> 00:02:11.400]  我們可不可以基督徒打麻將呢?
[00:02:11.400 --> 00:02:14.400]  我們全部都基督徒,不賭錢的
[00:02:14.400 --> 00:02:16.600]  我們可不可以唱流行曲呢?
[00:02:16.600 --> 00:02:20.200]  我們可不可以出去一些跳舞的地方
[00:02:20.200 --> 00:02:23.800]  讓我們跟別人去跳舞呢?
[00:02:23.800 --> 00:02:27.200]  似乎我們中間起了很多同樣的討論
[00:02:27.200 --> 00:02:28.800]  我們或者未必是食物
[00:02:28.800 --> 00:02:31.000]  但是我們裡面會出現了很多
[00:02:31.000 --> 00:02:33.000]  可不可以做?
[00:02:33.000 --> 00:02:35.600]  究竟是應該怎樣做?
[00:02:35.600 --> 00:02:37.400]  但是保羅提醒我們的
[00:02:37.400 --> 00:02:38.600]  我們有沒有想
[00:02:38.600 --> 00:02:40.600]  我們有沒有去叛賭人呢?
[00:02:40.600 --> 00:02:42.600]  我們有沒有在信心軟弱
[00:02:42.600 --> 00:02:45.400]  或者不同信仰階段程度的裡面
[00:02:45.400 --> 00:02:47.200]  我們考慮別人的需要
[00:02:47.200 --> 00:02:50.000]  我們去彼此成長呢?
[00:02:50.000 --> 00:02:51.400]  耶穌來到我們中間
[00:02:51.400 --> 00:02:53.600]  祂不是要去廢掉律法
[00:02:53.600 --> 00:02:56.000]  相反祂要成全律法
[00:02:56.000 --> 00:02:59.400]  耶穌不是用一把尺去量度罪人
[00:02:59.400 --> 00:03:01.200]  耶穌是去到他們中間
[00:03:01.200 --> 00:03:03.400]  與他們同行
[00:03:03.400 --> 00:03:05.200]  去到跟他們用善
[00:03:05.200 --> 00:03:07.400]  去到接納他們
[00:03:07.400 --> 00:03:10.200]  如果我們看回今天這個經文的分段
[00:03:10.200 --> 00:03:11.600]  其實我們是未看完的
[00:03:11.600 --> 00:03:13.600]  因為是由十四章一節
[00:03:13.600 --> 00:03:16.000]  一直回到十五章十三節
[00:03:16.000 --> 00:03:18.000]  都是在說這一件事的
[00:03:18.000 --> 00:03:21.000]  所以我們今天會在這個訊息裡面
[00:03:21.000 --> 00:03:22.600]  我們會去走完
[00:03:22.600 --> 00:03:25.800]  會看完這個經文的
[00:03:25.800 --> 00:03:27.200]  當我們在這裡看下去
[00:03:27.200 --> 00:03:29.600]  我們怎樣用主外去相待
[00:03:29.600 --> 00:03:31.200]  去彼此接納的時間
[00:03:31.200 --> 00:03:32.400]  我們第一個要去想
[00:03:32.400 --> 00:03:36.200]  其實經文說的強者弱者是誰呢?
[00:03:36.200 --> 00:03:39.000]  我們可能很容易第一個讀入就是
[00:03:39.000 --> 00:03:41.400]  強者是不是就是外邦人呢?
[00:03:41.400 --> 00:03:43.800]  因為他們很多律法
[00:03:43.800 --> 00:03:46.600]  很多規條他們都不需要守
[00:03:46.600 --> 00:03:48.600]  而弱者是不是就是猶太人呢?
[00:03:48.600 --> 00:03:49.600]  好像剛才這樣說
