
[00:00:00.000 --> 00:00:02.000]  鄭英文早晨
[00:00:02.000 --> 00:00:07.000]  今年教育主題其中一方面就講到禱告
[00:00:07.000 --> 00:00:10.000]  覺得過去都少提及
[00:00:10.000 --> 00:00:14.000]  今日同大家講一個題目叫做「祝福的禱告」
[00:00:14.000 --> 00:00:17.000]  我首先想問下大家兩個中文的詞語
[00:00:17.000 --> 00:00:18.000]  你覺得是怎樣運用
[00:00:18.000 --> 00:00:20.000]  在文化上是怎樣運用
[00:00:20.000 --> 00:00:26.000]  一個詞語是「祝福」
[00:00:26.000 --> 00:00:29.000]  另一個詞語是「賜福」
[00:00:29.000 --> 00:00:36.000]  你覺得這個詞語是「神祝福人」還是「神賜福給人」呢
[00:00:36.000 --> 00:00:40.000]  你覺得是「神賜福給人」的用法呢
[00:00:40.000 --> 00:00:42.000]  舉手吧
[00:00:42.000 --> 00:00:43.000]  有沒有反轉呢
[00:00:43.000 --> 00:00:46.000]  有沒有覺得是「神祝福人」的呢
[00:00:46.000 --> 00:00:48.000]  舉手吧
[00:00:48.000 --> 00:00:49.000]  有沒有第三個答案呢
[00:00:49.000 --> 00:00:52.000]  兩樣都是的
[00:00:52.000 --> 00:00:54.000]  根據中文老師講
[00:00:54.000 --> 00:00:58.000]  是用「神賜福給人」的
[00:00:58.000 --> 00:01:01.000]  原來「人與人之間」
[00:01:01.000 --> 00:01:02.000]  我們祝福他之後
[00:01:02.000 --> 00:01:05.000]  希望上帝更高的上帝賜福給個人
[00:01:05.000 --> 00:01:07.000]  所以我們用「祝福人與人之間」
[00:01:07.000 --> 00:01:10.000]  但上帝不需要在之上更高
[00:01:10.000 --> 00:01:12.000]  他就是賜福給人
[00:01:12.000 --> 00:01:16.000]  其實聖經裏面亦都是這樣運用
[00:01:16.000 --> 00:01:19.000]  新約在聖經裏面都有這樣提及
[00:01:19.000 --> 00:01:23.000]  我們首先看看舊約聖經創世紀
[00:01:23.000 --> 00:01:26.000]  在第一章創造天地的時候
[00:01:26.000 --> 00:01:28.000]  一章二十二節
[00:01:28.000 --> 00:01:31.000]  「神賜福這一切」
[00:01:31.000 --> 00:01:34.000]  一章二十八節是「神賜福給他們」
[00:01:34.000 --> 00:01:36.000]  當他們成為男女
[00:01:36.000 --> 00:01:41.000]  第二章三節是「神賜福第七日」
[00:01:41.000 --> 00:01:44.000]  創世紀四十二章第一節
[00:01:44.000 --> 00:01:47.000]  「神呼召阿伯蘭離開本地本族」
[00:01:47.000 --> 00:01:49.000]  去所有指示的地方
[00:01:49.000 --> 00:01:52.000]  第二節是「你要成為大國」
[00:01:52.000 --> 00:01:54.000]  「我必賜福給你」
[00:01:54.000 --> 00:01:58.000]  第三節是「人為祝福」
[00:01:58.000 --> 00:02:01.000]  「神賜福給他們」
[00:02:01.000 --> 00:02:03.000]  創世紀二十七章
[00:02:03.000 --> 00:02:07.000]  「以撒為兒子阿伯祝福」
[00:02:07.000 --> 00:02:09.000]  當年阿伯做了一手法
[00:02:09.000 --> 00:02:11.000]  騙了他去祝福
[00:02:11.000 --> 00:02:13.000]  去到阿伯
[00:02:13.000 --> 00:02:16.000]  有一次要面對兄弟倚數的時候
[00:02:16.000 --> 00:02:19.000]  當時有個天使上來摔跤
[00:02:19.000 --> 00:02:21.000]  摔跤之後捉住天使
[00:02:21.000 --> 00:02:24.000]  天使不放他走的時候
[00:02:24.000 --> 00:02:26.000]  瓦國就這樣說
[00:02:26.000 --> 00:02:28.000]  瓦國說三十二章二十六節
[00:02:28.000 --> 00:02:31.000]  「你不給我祝福我就不用你走」
[00:02:31.000 --> 00:02:33.000]  「給我一些重的祝福」
[00:02:33.000 --> 00:02:35.000]  祝福在裡面
[00:02:35.000 --> 00:02:36.000]  其他的聖經
[00:02:36.000 --> 00:02:38.000]  創世紀四十八章
[00:02:38.000 --> 00:02:39.000]  四十九章
[00:02:39.000 --> 00:02:41.000]  三記三十三章
[00:02:41.000 --> 00:02:43.000]  獵王記上第八章
[00:02:43.000 --> 00:02:46.000]  分別講到年終的瓦國
[00:02:46.000 --> 00:02:48.000]  瓦國年終的時候
[00:02:48.000 --> 00:02:53.000]  要離開世界為日失兩個兒子祝福
