
[00:00:00.000 --> 00:00:02.000]  大英姐會平安
[00:00:02.000 --> 00:00:05.000]  很高興再次有機會在這裏
[00:00:05.000 --> 00:00:08.000]  跟大家在這裏分享啟示錄
[00:00:08.000 --> 00:00:10.000]  上帝的聖言
[00:00:10.000 --> 00:00:12.000]  不如在我們打開聖言之前
[00:00:12.000 --> 00:00:14.000]  我們一起去禱告吧
[00:00:14.000 --> 00:00:18.000]  親香主唯獨你是聖潔的
[00:00:18.000 --> 00:00:20.000]  你是大而可畏的主
[00:00:20.000 --> 00:00:22.000]  在你面前我們無不屈膝
[00:00:22.000 --> 00:00:24.000]  俯伏敬拜你
[00:00:24.000 --> 00:00:27.000]  願以此刻我們有打開聖言的時候
[00:00:27.000 --> 00:00:29.000]  你就光照我們的內心
[00:00:29.000 --> 00:00:32.000]  聖靈你在我們當中親自的囂貫工作
[00:00:32.000 --> 00:00:34.000]  以致我們無論聽的
[00:00:34.000 --> 00:00:35.000]  無論講的
[00:00:35.000 --> 00:00:37.000]  在你面前我們都同感一鈴
[00:00:37.000 --> 00:00:39.000]  在你面前有美好的領受
[00:00:39.000 --> 00:00:42.000]  等望你的詛咒提醒教導
[00:00:42.000 --> 00:00:43.000]  多謝主
[00:00:43.000 --> 00:00:44.000]  誰聽我們禱告
[00:00:44.000 --> 00:00:46.000]  乃奉靠耶穌基督保的名字
[00:00:46.000 --> 00:00:47.000]  阿們
[00:00:47.000 --> 00:00:51.000]  好 今天我們來到啟示錄第十五章
[00:00:51.000 --> 00:00:54.000]  其實一開始上帝就讓約翰
[00:00:54.000 --> 00:00:56.000]  去見到天上面另一個兆頭
[00:00:56.000 --> 00:00:58.000]  或另一個異象
[00:00:58.000 --> 00:01:01.000]  一開始我們先讀第一節
[00:01:01.000 --> 00:01:02.000]  一二三
[00:01:02.000 --> 00:01:06.000]  我又看見在天上有異象
[00:01:06.000 --> 00:01:08.000]  大而且其
[00:01:08.000 --> 00:01:12.000]  就是七位天使掌管沒了的七災
[00:01:12.000 --> 00:01:14.000]  因為神的大怒
[00:01:14.000 --> 00:01:17.000]  在這七災中發盡了
[00:01:17.000 --> 00:01:19.000]  這裡說到上帝讓約翰
[00:01:19.000 --> 00:01:22.000]  又再次見到天上另一個異象
[00:01:22.000 --> 00:01:24.000]  而這個異象是什麼
[00:01:24.000 --> 00:01:26.000]  就是上帝讓七位天使
[00:01:26.000 --> 00:01:28.000]  拿著七災
[00:01:28.000 --> 00:01:29.000]  亦即是七本
[00:01:29.000 --> 00:01:32.000]  預備將上帝滿滿的憤怒
[00:01:32.000 --> 00:01:34.000]  傾倒在地上
[00:01:34.000 --> 00:01:37.000]  過去我們有大約半年多的時間
[00:01:37.000 --> 00:01:39.000]  其實我們跟著約翰
[00:01:39.000 --> 00:01:41.000]  去看了很多不同的異象
[00:01:41.000 --> 00:01:43.000]  而今次這個異象
[00:01:43.000 --> 00:01:45.000]  今次這七個災難
[00:01:45.000 --> 00:01:47.000]  會跟之前的很不一樣
[00:01:47.000 --> 00:01:48.000]  為什麼
[00:01:48.000 --> 00:01:49.000]  因為經文提到
[00:01:49.000 --> 00:01:50.000]  第一
[00:01:50.000 --> 00:01:52.000]  這個是沒了的七災
[00:01:52.000 --> 00:01:54.000]  即是最後的七災
[00:01:54.000 --> 00:01:56.000]  之前打生打死
[00:01:56.000 --> 00:01:59.000]  現在最後最終來到結局篇
[00:01:59.000 --> 00:02:00.000]  第二
[00:02:00.000 --> 00:02:01.000]  有什麼不一樣呢
[00:02:01.000 --> 00:02:03.000]  今次七災
[00:02:03.000 --> 00:02:04.000]  因為來到結局篇
[00:02:04.000 --> 00:02:06.000]  上帝的震怒
[00:02:06.000 --> 00:02:07.000]  上帝的烈怒
[00:02:07.000 --> 00:02:10.000]  之前一直還在忍耐著
[00:02:10.000 --> 00:02:11.000]  按耐著
[00:02:11.000 --> 00:02:13.000]  但是對於
[00:02:13.000 --> 00:02:14.000]  之前對於犯錯
[00:02:14.000 --> 00:02:15.000]  對於走錯路
[00:02:15.000 --> 00:02:17.000]  行不義的人
[00:02:17.000 --> 00:02:19.000]  依然留有餘地
[00:02:19.000 --> 00:02:20.000]  希望他們回轉
[00:02:20.000 --> 00:02:22.000]  盼望他們悔改
[00:02:22.000 --> 00:02:24.000]  但是到了這個時候
[00:02:24.000 --> 00:02:25.000]  我們來到今天
[00:02:25.000 --> 00:02:26.000]  我們所看的十五章
[00:02:26.000 --> 00:02:27.000]  經文這樣寫
[00:02:27.000 --> 00:02:29.000]  上帝所積出的憤怒
[00:02:29.000 --> 00:02:31.000]  已經達到頂點
[00:02:31.000 --> 00:02:32.000]  以致這一次
[00:02:32.000 --> 00:02:34.000]  神的大怒
[00:02:34.000 --> 00:02:38.000]  在七災中發盡了
[00:02:38.000 --> 00:02:40.000]  我有問一下你們
[00:02:40.000 --> 00:02:41.000]  你們記不記得
[00:02:41.000 --> 00:02:44.000]  上一次發脾氣是幾時
[00:02:44.000 --> 00:02:45.000]  有人拗頭
[00:02:45.000 --> 00:02:46.000]  希望不是今天
[00:02:46.000 --> 00:02:49.000]  甚至是發盡了脾氣
[00:02:49.000 --> 00:02:50.000]  我自己
[00:02:50.000 --> 00:02:51.000]  如果你們認識我的時候
