
[00:00:00.000 --> 00:00:03.520]  我們再一齊同心祈禱,我們將時間再加倍
[00:00:03.520 --> 00:00:14.200]  天父,我們到你面前
[00:00:14.200 --> 00:00:16.180]  我們要感謝你
[00:00:16.180 --> 00:00:20.260]  因為你不單止賜給我們有生命的拯救
[00:00:20.260 --> 00:00:23.160]  你將弟兄姊妹擺在我們身邊
[00:00:23.160 --> 00:00:26.720]  主人,你透過他們將各種的恩惠
[00:00:26.720 --> 00:00:29.500]  各種屬靈的福氣賜給我們
[00:00:30.280 --> 00:00:33.020]  主,我們知道你的心何等渴望
[00:00:33.020 --> 00:00:37.360]  你的教會是真的能夠彼此的相顧
[00:00:37.360 --> 00:00:41.040]  主,我們也在你面前這樣禱告
[00:00:41.040 --> 00:00:43.940]  主啊,我們祈求恩主
[00:00:43.940 --> 00:00:46.220]  你引導我們的心
[00:00:46.220 --> 00:00:49.680]  去珍惜你所賜給我們屬靈的家
[00:00:49.680 --> 00:00:53.720]  我們在其中真的知道彼此的守望
[00:00:53.720 --> 00:00:55.400]  彼此的看顧
[00:00:55.400 --> 00:00:58.120]  如今我們再次思想聖經
[00:00:58.120 --> 00:01:00.220]  這方面給我們的教導
[00:01:00.220 --> 00:01:04.380]  我們祈求聖靈在我們心中引導我們
[00:01:04.380 --> 00:01:07.120]  主,我們容易有很多生活的事情
[00:01:07.120 --> 00:01:08.920]  沖濕了我們的心
[00:01:08.920 --> 00:01:10.620]  以致我們聽不見
[00:01:10.620 --> 00:01:14.240]  主啊,求你開通我們的耳朵
[00:01:14.240 --> 00:01:16.320]  讓我們聽得見
[00:01:16.320 --> 00:01:20.820]  也有你所賜給我們的內心的力量
[00:01:20.820 --> 00:01:22.820]  我們可以聽從
[00:01:24.160 --> 00:01:28.240]  所以聽我們祈禱,奉耶穌名字求,阿門
[00:01:28.240 --> 00:01:32.740]  大家再看回聖經《馬太福音》十八章的經文
[00:01:32.740 --> 00:01:40.380]  這段日子大家記得我們在教會裏面
[00:01:40.380 --> 00:01:42.460]  有一個的季題
[00:01:42.460 --> 00:01:46.600]  在崇拜裏面我們提及到有關於教會的訊息
[00:01:46.600 --> 00:01:48.740]  彼此相愛的訊息
[00:01:48.740 --> 00:01:52.000]  我們就說教會是我家
[00:01:52.520 --> 00:01:57.040]  守望你我他
[00:01:57.040 --> 00:02:00.400]  教會是我們的屬靈的家
[00:02:00.400 --> 00:02:02.040]  守望你我他
