
[00:00:00.000 --> 00:00:03.000]  各位頂子妹,大家晚安
[00:00:03.000 --> 00:00:06.000]  讓我們先同心禱告
[00:00:06.000 --> 00:00:09.000]  親愛的恩主,求你幫助我們
[00:00:09.000 --> 00:00:13.000]  讓我們明白真理,讓我們實踐真理
[00:00:13.000 --> 00:00:17.000]  讓我們的生命改變更加討你喜悅
[00:00:17.000 --> 00:00:22.000]  更加在世成為你自己美好的見證
[00:00:22.000 --> 00:00:24.000]  我們同心禱告仰望
[00:00:24.000 --> 00:00:28.000]  奉耶穌基督的聖名,阿們
[00:00:28.000 --> 00:00:33.000]  在大約接近三十年前
[00:00:33.000 --> 00:00:37.000]  我就和幾個頂子妹參加「偽行者」
[00:00:37.000 --> 00:00:41.000]  在座有多少人參加過「偽行者」?
[00:00:41.000 --> 00:00:44.000]  我見後面都有幾位
[00:00:44.000 --> 00:00:48.000]  「偽行者」是行一百公里的麥理浩徑
[00:00:48.000 --> 00:00:53.000]  事前要有很多的準備和練習
[00:00:53.000 --> 00:00:57.000]  一百公里不是短的路程
[00:00:57.000 --> 00:01:01.000]  要練習體能,練習那一段
[00:01:01.000 --> 00:01:05.000]  因為會過夜的,要晚上走哪一段
[00:01:05.000 --> 00:01:08.000]  哪一段上學比較多
[00:01:08.000 --> 00:01:11.000]  我們要很多的支援隊
[00:01:11.000 --> 00:01:13.000]  很多的支援隊
[00:01:13.000 --> 00:01:15.000]  在不同的檢查點
[00:01:15.000 --> 00:01:18.000]  我們會說明我們要什麼支援
[00:01:18.000 --> 00:01:20.000]  我們要吃什麼早餐
[00:01:20.000 --> 00:01:23.000]  我們要什麼服事,要按摩
[00:01:23.000 --> 00:01:25.000]  全部都列明了
[00:01:25.000 --> 00:01:27.000]  那些支援隊是很好的
[00:01:27.000 --> 00:01:30.000]  全部都盡量幫助我們
[00:01:30.000 --> 00:01:36.000]  其實人生就有點像「偽行者」
[00:01:36.000 --> 00:01:40.000]  是一場長途賽
[00:01:40.000 --> 00:01:43.000]  我們要好好準備
[00:01:43.000 --> 00:01:46.000]  才可以走一個美好的人生
[00:01:46.000 --> 00:01:50.000]  另外人生又有點像馬拉松
[00:01:50.000 --> 00:01:52.000]  有多少人跑過馬拉松?
[00:01:52.000 --> 00:01:57.000]  即是42公里一位
[00:01:57.000 --> 00:02:01.000]  「禍福堂」好像不多運動
[00:02:01.000 --> 00:02:04.000]  我們應該多一點運動
[00:02:04.000 --> 00:02:07.000]  我自己是沒有能力跑馬拉松的
[00:02:07.000 --> 00:02:09.000]  我的體能都很差
[00:02:09.000 --> 00:02:12.000]  我最長都是10公里那些比賽
[00:02:12.000 --> 00:02:15.000]  但跑10公里一樣要操練
[00:02:15.000 --> 00:02:18.000]  不是我去跑就跑
[00:02:18.000 --> 00:02:20.000]  無論「偽行者」也好,10公里也好
[00:02:20.000 --> 00:02:22.000]  我的經驗就是
[00:02:22.000 --> 00:02:26.000]  去到一些位置可能想放棄
[00:02:26.000 --> 00:02:28.000]  在「偽行者」我記得
[00:02:28.000 --> 00:02:31.000]  走到第七段
[00:02:31.000 --> 00:02:34.000]  第七段的終點叫「懸礦坳」
[00:02:34.000 --> 00:02:36.000]  因為過了第七段
[00:02:36.000 --> 00:02:39.000]  在第八段面前就是
[00:02:39.000 --> 00:02:42.000]  香港最高的山,大帽山
[00:02:42.000 --> 00:02:44.000]  走完七段
[00:02:44.000 --> 00:02:47.000]  你的體力都消耗得七七八八
[00:02:47.000 --> 00:02:51.000]  但前面要跨過香港最高的大帽山
[00:02:51.000 --> 00:02:53.000]  所以沒什麼堅持
[00:02:53.000 --> 00:02:55.000]  就打算算吧
[00:02:55.000 --> 00:02:57.000]  去到這裏都
[00:02:57.000 --> 00:02:58.000]  隨時可以走的
[00:02:58.000 --> 00:02:59.000]  「偽行者」那些
