
[00:00:00.000 --> 00:00:02.000]  大家早安!
[00:00:02.000 --> 00:00:05.000]  很高興今早見到大家
[00:00:05.000 --> 00:00:08.000]  我們來敬拜主
[00:00:08.000 --> 00:00:14.000]  昨天是七月一日
[00:00:14.000 --> 00:00:19.000]  亦是香港特區分委任首長林鄭月娥
[00:00:19.000 --> 00:00:24.000]  和新一屆的管治班子上任就職
[00:00:24.000 --> 00:00:29.000]  接下來這五年就是他們的施政
[00:00:29.000 --> 00:00:34.000]  有些人見到這班人上台就說沒甚麼驚喜
[00:00:34.000 --> 00:00:37.000]  林鄭月娥就說其實也不會有甚麼驚嚇
[00:00:37.000 --> 00:00:40.000]  所以昨天也沒甚麼特別
[00:00:40.000 --> 00:00:45.000]  過了一天 今天放假 明天才正式
[00:00:45.000 --> 00:00:48.000]  未來五年是怎樣 我真的不知道
[00:00:48.000 --> 00:00:51.000]  唯有拭目以待 看看發展如何
[00:00:51.000 --> 00:00:56.000]  然而作為基督徒的我們 又是香港人的我們
[00:00:56.000 --> 00:01:02.000]  其實你覺得我們可以為香港在未來的事裏有甚麼做呢
[00:01:02.000 --> 00:01:05.000]  至少我相信每一個人都會認同這件事
[00:01:05.000 --> 00:01:09.000]  我作為基督徒要為香港祈禱 我會反對
[00:01:09.000 --> 00:01:13.000]  亦不可能說我沒有能力去祈禱 為香港祈禱
[00:01:13.000 --> 00:01:15.000]  無論我多年長多年幼也好
[00:01:15.000 --> 00:01:18.000]  我也有能力可以祈禱在裏面
[00:01:18.000 --> 00:01:22.000]  因為聖經也教導我們為掌權的祈禱
[00:01:22.000 --> 00:01:24.000]  不過我想問一個問題
[00:01:24.000 --> 00:01:29.000]  其實你信不信為香港祈禱是有用的
[00:01:29.000 --> 00:01:32.000]  你會否覺得我真的祈禱為香港的時候
[00:01:32.000 --> 00:01:35.000]  香港這個城市會因我祈禱而改變呢
[00:01:35.000 --> 00:01:36.000]  你信不信呢
[00:01:36.000 --> 00:01:39.000]  問一下大家 如果你信的話請舉手
[00:01:39.000 --> 00:01:43.000]  好 放下手 你不信的話請舉手
[00:01:43.000 --> 00:01:44.000]  可以放下手
[00:01:44.000 --> 00:01:46.000]  你說我不知道的話請舉手
[00:01:46.000 --> 00:01:48.000]  有些人是不知道的
[00:01:48.000 --> 00:01:51.000]  他說我也不知道怎樣舉手
[00:01:51.000 --> 00:01:53.000]  也不知道怎樣回答
