
[00:00:00.000 --> 00:00:04.280]  我哋一齊再次同心禱告
[00:00:04.280 --> 00:00:06.080]  親愛之父 我哋感謝你
[00:00:06.080 --> 00:00:08.800]  感謝你真係愛我哋每一個
[00:00:08.800 --> 00:00:12.480]  以致我哋能夠有呢一個嘅生命氣息
[00:00:12.480 --> 00:00:16.480]  以致我哋能夠嚟到呢個殿去聽上你嘅話語
[00:00:16.480 --> 00:00:18.000]  天父你保守我哋
[00:00:18.000 --> 00:00:21.800]  一時間求你就讓到我哋有你嘅話語嘅時候
[00:00:21.800 --> 00:00:23.200]  我哋被塑造
[00:00:23.200 --> 00:00:25.000]  能夠更生我哋嘅生命
[00:00:25.000 --> 00:00:27.400]  以致我哋嘅生命能夠去榮耀神
[00:00:27.400 --> 00:00:29.800]  我哋多謝你聽我哋嘅禱告
[00:00:29.800 --> 00:00:32.600]  奉主明求 阿們
[00:01:00.800 --> 00:01:04.200]  不過都會有啲基督徒會有疑惑
[00:01:04.200 --> 00:01:07.400]  而且有啲未信嘅我所認識嘅人
[00:01:07.400 --> 00:01:10.200]  佢哋整體都會問呢一個問題
[00:01:10.200 --> 00:01:14.600]  就係究竟係唔係真係有神嘅呢
[00:01:14.600 --> 00:01:16.600]  作為一個基督徒嘅你
[00:01:16.600 --> 00:01:18.800]  你會點樣去回答
[00:01:18.800 --> 00:01:22.200]  你會點樣去回答佢哋嘅呢
[00:01:22.200 --> 00:01:26.400]  見浸家一直以嚟都有一個好優良一個嘅傳統
[00:01:26.400 --> 00:01:28.800]  就係熱心傳道
[00:01:28.800 --> 00:01:30.800]  亦都係今年我哋教會
[00:01:30.800 --> 00:01:33.400]  120週年五大支柱
[00:01:33.400 --> 00:01:36.400]  其中一個我哋強調嘅支柱嚟嘅
[00:01:36.400 --> 00:01:38.400]  過去弟兄姊妹真係好好
[00:01:38.400 --> 00:01:41.000]  一有報道會任何福音聚會
[00:01:41.000 --> 00:01:45.200]  佢哋都會邀請未信嘅親友朋友嚟到我哋嘅當中
[00:01:45.200 --> 00:01:48.600]  佢真係讓佢哋可以認識耶穌
[00:01:48.600 --> 00:01:53.400]  尤其是今時今日更加佢哋會咁樣做
[00:01:53.400 --> 00:01:55.400]  不過整個嘅大氣候
[00:01:55.400 --> 00:01:59.000]  有時我都知道叫人去信主唔容易
[00:01:59.000 --> 00:02:02.800]  因為可能佢哋未信嗰啲人都會好多嘅問題
[00:02:02.800 --> 00:02:04.600]  好混亂迷失
[00:02:04.600 --> 00:02:09.000]  以至佢哋未必會太多嘅空間去思想信仰
[00:02:09.000 --> 00:02:12.000]  有啲基督徒嘅咒行亦都話到畀我哋聽
