
[00:00:00.000 --> 00:00:03.800]  (主持人:好,大家晚安)
[00:00:03.800 --> 00:00:09.900]  (主持人:安啊,歡迎大家再一次回來YIS崇拜,去到港島)
[00:00:09.900 --> 00:00:15.100]  (主持人:如果大家今年回來一段較為長時間的日子)
[00:00:15.100 --> 00:00:18.800]  (主持人:理論上你應該有印象的)
[00:00:18.800 --> 00:00:21.800]  (主持人:就是我們今年YIS的港台)
[00:00:21.800 --> 00:00:26.100]  (主持人:其實是為了配合我們教會有多代同行這個主題)
[00:00:26.100 --> 00:00:31.800]  (主持人:所以我們就將我們整個港台的訊息分了兩條路線)
[00:00:31.800 --> 00:00:36.800]  (主持人:第一個就是我們上兩個月不斷地說的生命記)
[00:00:36.800 --> 00:00:41.800]  (主持人:然後就是說摩西和那班新一代的以色列人)
[00:00:41.800 --> 00:00:44.000]  (主持人:他在說很多不同的提醒)
[00:00:44.000 --> 00:00:46.200]  (主持人:說的是兩代的以色列人)
[00:00:46.200 --> 00:00:50.900]  (主持人:如何好好地繼續傳遞耶和華的律例典章)
[00:00:50.900 --> 00:00:56.400]  (主持人:同時也說的是當摩西即將死去的時候)
[00:00:56.400 --> 00:01:02.000]  (主持人:要將帶領以色列人的重任交給約書亞)
[00:01:02.000 --> 00:01:04.300]  (主持人:在交給他之前)
[00:01:04.300 --> 00:01:09.000]  (主持人:摩西就對著一班以色列人重新說這些律例典章)
[00:01:09.000 --> 00:01:14.700]  (主持人:同時也為約書亞鋪路做好準備)
[00:01:14.700 --> 00:01:21.700]  (主持人:說的是兩代以色列人領袖的交接的重要篇章)
[00:01:21.700 --> 00:01:27.300]  (主持人:然後另一條路線就是教會多代同行的路線)
[00:01:27.300 --> 00:01:29.800]  (主持人:但是在不同的季度裏面)
[00:01:29.800 --> 00:01:32.300]  (主持人:我們這一邊再細分)
[00:01:32.300 --> 00:01:34.200]  (主持人:有不同的小主題)
[00:01:34.200 --> 00:01:37.800]  (主持人:成為我們不同的主題的分享)
[00:01:37.800 --> 00:01:42.100]  (主持人:首兩個季度我們分別說的是與神同行)
[00:01:42.100 --> 00:01:44.400]  (主持人:和與同輩同行)
[00:01:44.400 --> 00:01:46.100]  (主持人:說的是兩個不同的系列)
[00:01:46.100 --> 00:01:48.000]  (主持人:而從這個星期開始)
[00:01:48.000 --> 00:01:51.900]  (主持人:我們就說到多代同行的第三個季度)
[00:01:51.900 --> 00:01:54.800]  (主持人:我們就說如何與家庭同行)
[00:01:54.800 --> 00:01:58.600]  (主持人:我們會集中說家庭的主題)
[00:01:58.600 --> 00:02:00.900]  (主持人:說到一個家庭的時候)
[00:02:00.900 --> 00:02:03.000]  (主持人:我預備這篇信息的時候)
[00:02:03.000 --> 00:02:05.400]  (主持人:我就去想其實這個世代)
[00:02:05.400 --> 00:02:07.100]  (主持人:到今天這個世界)
[00:02:07.100 --> 00:02:09.300]  (主持人:其實這個家庭模式很複雜)
[00:02:09.300 --> 00:02:11.600]  (主持人:在我印象中)
[00:02:11.600 --> 00:02:13.600]  (主持人:在我祖父祖母那一代)
[00:02:13.600 --> 00:02:15.500]  (主持人:其實這個家庭很簡單)
[00:02:15.500 --> 00:02:18.000]  (主持人:可能都是一個傳統的大家庭)
[00:02:18.000 --> 00:02:19.800]  (主持人:過時過節就會聚在一起)
