
[00:00:00.000 --> 00:00:05.860]  我相信在我們當中也有很多的弟兄姊妹
[00:00:05.860 --> 00:00:08.160]  明白和體會一句說話
[00:00:08.160 --> 00:00:12.420]  叫做「人在江湖,身不由己」
[00:00:12.420 --> 00:00:15.580]  大家認不認同這句說話?
[00:00:15.580 --> 00:00:18.220]  不認同的話,那你想想為什麼不認同呢?
[00:00:18.220 --> 00:00:19.640]  是不是有什麼秘訣?
[00:00:19.640 --> 00:00:21.360]  或者其實你根本就是
[00:00:21.360 --> 00:00:23.360]  不過你自己也不知道
[00:00:23.360 --> 00:00:26.180]  有很多事情在我們人生當中
[00:00:26.180 --> 00:00:30.540]  似乎也不能夠按照我們的意願去做
[00:00:30.540 --> 00:00:34.020]  有些時候我們不想這樣做,但偏偏我們會去做
[00:00:34.020 --> 00:00:36.580]  但有些事情我們想做,卻做不到
[00:00:36.580 --> 00:00:39.600]  這就是「人在江湖,身不由己」
[00:00:39.600 --> 00:00:41.860]  因為競爭很激烈
[00:00:41.860 --> 00:00:46.960]  所以在社會裡,很多人都要想盡辦法去賺錢
[00:00:46.960 --> 00:00:49.160]  賺到一個地步,結果
[00:00:49.160 --> 00:00:52.180]  好像近來爆出一件很大的事情
[00:00:52.180 --> 00:00:54.760]  就是醫學美容的問題
[00:00:54.760 --> 00:01:00.200]  因為大家都要想辦法去搶佔市場的佔有率
[00:01:00.200 --> 00:01:03.320]  所以不單止是美容吸引
[00:01:03.320 --> 00:01:05.720]  更加是加上有醫療的行為
[00:01:05.720 --> 00:01:11.840]  有科學的方法來幫助這些接受美容的人
[00:01:11.840 --> 00:01:18.800]  讓他們真的得到想像中、預期當中的效果
[00:01:18.800 --> 00:01:22.540]  當然這些有醫療行為的事情
[00:01:22.540 --> 00:01:25.540]  一定要有醫生在當中來參與
[00:01:25.540 --> 00:01:28.540]  而我們相信大部份的醫生
[00:01:28.540 --> 00:01:32.520]  應該都不是為了賺錢而去做醫生
[00:01:32.520 --> 00:01:36.460]  不過亦都很肯定,一定會有小部份人覺得
[00:01:36.460 --> 00:01:40.860]  既然自己這麼不容易才得到這種專業的資格
[00:01:40.860 --> 00:01:43.940]  所以就會利用這種專業的資格
[00:01:43.940 --> 00:01:48.240]  來賺大錢,或者來賺快錢
[00:01:48.240 --> 00:01:51.460]  原意可能他也是想自己賺錢之餘
[00:01:51.460 --> 00:01:53.740]  亦都可以幫助到那些人
[00:01:53.740 --> 00:01:57.820]  但慢慢想不到由幫人變成害人
[00:01:57.820 --> 00:02:02.140]  甚至乎可能連令人的命都失去了
[00:02:02.140 --> 00:02:06.180]  這就是「人在江湖,身不由己」
[00:02:06.180 --> 00:02:11.300]  這種人生的體會其實不是現代的世界才有
[00:02:11.300 --> 00:02:16.000]  在聖經甚至舊約的時代已經發生
[00:02:16.000 --> 00:02:21.440]  大家剛才讀過的《但義理書》第六章這段經文
[00:02:21.440 --> 00:02:24.740]  我相信如果你從小開始上教會的主一學
[00:02:24.740 --> 00:02:26.740]  或者你在教會學校讀書
[00:02:26.740 --> 00:02:30.700]  這個故事你應該聽過很多次
[00:02:30.700 --> 00:02:33.420]  亦都對於小朋友來說是很吸引的
[00:02:33.420 --> 00:02:38.100]  凡是在一些卡通片或者故事當中有獅子出現
[00:02:38.100 --> 00:02:41.660]  小朋友是聽得特別有興趣,不知為何
[00:02:41.660 --> 00:02:43.540]  獅子應該是很恐怖的
[00:02:43.540 --> 00:02:46.820]  但小朋友是很喜歡有獅子出現的
[00:02:46.820 --> 00:02:49.960]  另外一個元素對於很多小朋友很有興趣
[00:02:49.960 --> 00:02:51.100]  就是有醫生出現
[00:02:51.100 --> 00:02:53.980]  還要拿著一支很大很粗的針
[00:02:53.980 --> 00:02:56.380]  令他們覺得很興奮
[00:02:56.380 --> 00:03:01.500]  所以《舊約聖經》的「但義理被釘入獅子坑」這個故事
[00:03:01.500 --> 00:03:04.580]  是很多很多小朋友都很喜歡聽的
[00:03:04.580 --> 00:03:09.020]  而當然最後的結局就是獅子吃不到這個「但義理」才精彩
[00:03:09.020 --> 00:03:10.820]  吃了就很可怕
[00:03:10.820 --> 00:03:13.740]  就要家長指引才可以聽下去
[00:03:13.740 --> 00:03:19.320]  因為沒事,所以聽完之後會覺得很興奮、很精彩
[00:03:19.320 --> 00:03:22.620]  好了,這個我們熟悉的故事
[00:03:22.620 --> 00:03:28.220]  在今天來說對我們有什麼提醒呢?
[00:03:28.220 --> 00:03:31.360]  如果我們熟悉情節
[00:03:31.360 --> 00:03:34.580]  我就要跟大家講一下背景
[00:03:34.580 --> 00:03:39.260]  這段故事發生在一個什麼背景當中呢?
[00:03:39.260 --> 00:03:44.860]  「但義理」本身是被巴比倫帝國奴了
[00:03:44.860 --> 00:03:50.540]  去服侍巴比倫的君主尼布甲尼撒王
[00:03:50.540 --> 00:03:53.640]  但是到了第六章的時候
[00:03:53.640 --> 00:03:56.500]  巴比倫帝國已經被滅了
[00:03:56.500 --> 00:03:58.680]  被什麼人取代了呢?
[00:03:58.680 --> 00:04:00.500]  就是被馬代人
[00:04:00.500 --> 00:04:03.520]  就叫馬代的帝國來取代
[00:04:03.520 --> 00:04:07.800]  但是其實馬代帝國只是在歷史上佔了很短的時間
[00:04:07.800 --> 00:04:11.080]  很快就又被波斯帝國取代了
[00:04:11.080 --> 00:04:15.600]  所以在歷史上,我們通常說完了巴比倫帝國之後
[00:04:15.600 --> 00:04:18.260]  就進入了馬代波斯的王朝
[00:04:18.260 --> 00:04:20.920]  所以大家看到第六章結束的時候
[00:04:20.920 --> 00:04:25.080]  就說大劉氏王是屬於馬代的帝國
[00:04:25.080 --> 00:04:29.860]  但是一轉,就已經轉到波斯的居魯士
[00:04:29.860 --> 00:04:32.080]  就已經去到波斯的帝國
[00:04:32.080 --> 00:04:36.280]  所以「但義理」其實不是經歷三個朝代這麼簡單
[00:04:36.280 --> 00:04:38.280]  是經歷三個帝國
[00:04:38.280 --> 00:04:41.420]  巴比倫、馬代和波斯
[00:04:41.420 --> 00:04:44.880]  那麼有什麼秘訣
[00:04:44.880 --> 00:04:47.120]  令到他經歷三個帝國
[00:04:47.120 --> 00:04:50.300]  這些君主全部都被滅了
[00:04:50.300 --> 00:04:52.540]  但是他仍然可以屹立不倒呢?
[00:04:52.540 --> 00:04:55.180]  就是今天我要跟大家分享的這個題目
[00:04:55.180 --> 00:04:58.400]  指向上帝屈膝
[00:04:58.400 --> 00:05:01.480]  這個在很多人聽來是不可思議的
[00:05:01.480 --> 00:05:03.880]  或者讓你選擇的時候你都不會選擇
[00:05:03.880 --> 00:05:06.640]  我一會兒跟大家講解這段經文
[00:05:06.640 --> 00:05:10.020]  你就會明白為什麼是這麼不可思議
[00:05:10.020 --> 00:05:12.580]  而在這些事情發生在你身上
[00:05:12.580 --> 00:05:15.460]  你未必會這樣選擇
[00:05:15.460 --> 00:05:20.400]  「但義理」在一個這麼短暫的馬代王朝當中
[00:05:20.400 --> 00:05:23.880]  他仍然是非常忠心辦事
[00:05:23.880 --> 00:05:27.920]  所以當時馬代帝國的君主大劉氏王
[00:05:27.920 --> 00:05:30.320]  就十分重用「但義理」
[00:05:30.320 --> 00:05:32.820]  我們經文的開始就看到了
[00:05:32.820 --> 00:05:35.980]  馬代帝國的大劉氏王
[00:05:35.980 --> 00:05:38.080]  就立了120個總督
[00:05:38.080 --> 00:05:40.240]  當然就在整個帝國裡面
[00:05:40.240 --> 00:05:41.140]  不同的殖民地
[00:05:41.140 --> 00:05:42.840]  因為有不同的民族
[00:05:42.840 --> 00:05:44.620]  被帝國統治
[00:05:44.620 --> 00:05:48.800]  所以有120個總督來統領全個國家
[00:05:48.800 --> 00:05:51.240]  而在這120個總督之上
[00:05:51.240 --> 00:05:53.160]  就有三個總長
[00:05:53.160 --> 00:05:58.040]  就好像有120個分店的經理在之上
[00:05:58.040 --> 00:06:01.040]  有一些可能是助理的總經理
[00:06:01.040 --> 00:06:03.840]  然後再上就是總經理
[00:06:03.840 --> 00:06:06.800]  在這三個總長當中
[00:06:06.800 --> 00:06:09.940]  其中有一個就是「但義理」
[00:06:09.940 --> 00:06:11.340]  在聖經裡面說
[00:06:11.340 --> 00:06:13.940]  「但義理」因為有卓越的靈性
[00:06:13.940 --> 00:06:15.640]  大家看到這個形容
[00:06:15.640 --> 00:06:19.000]  不是說因為「但義理」非常精明能幹
[00:06:19.000 --> 00:06:22.280]  所以就被大劉氏王重用他
[00:06:22.280 --> 00:06:24.600]  而是說他有卓越的靈性
[00:06:24.600 --> 00:06:26.840]  我們看回前面這麼多章
[00:06:26.840 --> 00:06:29.280]  當「但義理」有不同的經歷的時候
[00:06:29.280 --> 00:06:34.580]  都是特別提他是一個有充滿靈性、美好靈性的人
[00:06:34.580 --> 00:06:38.960]  就連使用他的君主都認同的
[00:06:38.960 --> 00:06:41.200]  當然這個卓越的靈性
[00:06:41.200 --> 00:06:44.840]  帶出來的結果就是他有一個很好的辦事能力
[00:06:44.840 --> 00:06:46.720]  如果大家在之前有聽
[00:06:46.720 --> 00:06:49.880]  「但義理」的經歷就知道了
[00:06:49.880 --> 00:06:56.120]  就算他被困在最差的一個境況當中
[00:06:56.120 --> 00:06:57.720]  他都要做到最好的
[00:06:57.720 --> 00:07:00.520]  這個就是「但義理」
[00:07:00.520 --> 00:07:02.520]  他辦事能力這麼好
[00:07:02.520 --> 00:07:07.960]  所以大劉氏王一心想立「但義理」
[00:07:07.960 --> 00:07:10.520]  成為整個帝國的宰相
[00:07:10.520 --> 00:07:13.720]  真是一人之下萬人之上
[00:07:13.720 --> 00:07:15.400]  不過大家知道有一句話叫做
[00:07:15.400 --> 00:07:17.920]  「不招人道,是庸才」
[00:07:17.920 --> 00:07:19.480]  就是別人不妒忌你
[00:07:19.480 --> 00:07:22.080]  為什麼呢?因為你是庸才,沒有威脅性
[00:07:22.080 --> 00:07:24.480]  但是為什麼會有人妒忌你呢?
[00:07:24.480 --> 00:07:27.240]  因為你太厲害,威脅到其他人
[00:07:27.240 --> 00:07:29.920]  所以其他人就要想辦法對付你
[00:07:29.920 --> 00:07:31.720]  這個就是安慰自己
[00:07:31.720 --> 00:07:33.800]  如果有人想對付你,你不要擔心
[00:07:33.800 --> 00:07:36.000]  因為你太厲害,所以有人才會對付你
[00:07:36.000 --> 00:07:37.800]  如果你覺得自己經常都很空閒
[00:07:37.800 --> 00:07:39.800]  多你一個不多,少你一個不少
[00:07:39.800 --> 00:07:41.720]  你就要檢討一下自己
[00:07:41.720 --> 00:07:43.040]  別人覺得你沒有威脅性
[00:07:43.040 --> 00:07:44.600]  你存不存在都不要緊
[00:07:44.600 --> 00:07:46.480]  其實是很慘的
[00:07:46.480 --> 00:07:48.400]  「但義理」因為是人才
[00:07:48.400 --> 00:07:51.880]  結果就招致妒忌
[00:07:51.880 --> 00:07:53.360]  哪些人妒忌他呢?
[00:07:53.360 --> 00:07:55.680]  很明顯就是那120個總督
[00:07:55.680 --> 00:07:59.360]  和他一樣成為總長的那一群人
[00:07:59.360 --> 00:08:01.360]  當然,跟著我們後面看
[00:08:01.360 --> 00:08:04.920]  有哪些人一起來向王獻一道計呢?
[00:08:04.920 --> 00:08:08.440]  很多很多都是坐在高位裡面的人
[00:08:08.440 --> 00:08:10.480]  這些人全部都覺得
[00:08:10.480 --> 00:08:11.720]  「但義理」的出現
[00:08:11.720 --> 00:08:13.600]  是對他們來說構成威脅
[00:08:13.600 --> 00:08:14.600]  為什麼呢?
