
[00:00:00.000 --> 00:00:01.160]  各位電影姐妹
[00:00:01.160 --> 00:00:04.160]  今天讀的聖經很緊張
[00:00:04.160 --> 00:00:06.320]  因為是十誡
[00:00:06.320 --> 00:00:11.080]  聖經人聖經事由生命樹宣教網絡為你預備
[00:00:11.080 --> 00:00:12.640]  今次的題目是
[00:00:12.640 --> 00:00:15.120]  「我曾領你出來」
[00:00:15.120 --> 00:00:17.520]  「我曾領你出來」
[00:00:17.520 --> 00:00:20.480]  這是十誡的開始
[00:00:20.480 --> 00:00:22.080]  大家要留意一下
[00:00:22.080 --> 00:00:24.800]  特別跟大家講到十誡
[00:00:24.800 --> 00:00:25.320]  嘩
[00:00:25.320 --> 00:00:27.880]  很厲害,很嚴厲
[00:00:27.880 --> 00:00:29.160]  其實原來不是
[00:00:30.640 --> 00:00:33.880]  《出埃及記》第二十章第一節
[00:00:33.880 --> 00:00:38.240]  「神吩咐這一切的話說」
[00:00:38.240 --> 00:00:39.960]  神有個吩咐
[00:00:39.960 --> 00:00:42.760]  祂的說話是這樣說的
[00:00:42.760 --> 00:00:45.840]  「我是耶和華你的神」
[00:00:45.840 --> 00:00:51.200]  「曾將你從埃及地遺奴之家領出來」
[00:00:51.200 --> 00:00:54.480]  「除了我以外」
[00:00:54.480 --> 00:00:58.400]  「你不可有別的神」
[00:00:59.040 --> 00:01:01.560]  這句大家都已經熟悉了
[00:01:01.560 --> 00:01:04.240]  由於有些綠色字介紹
[00:01:04.240 --> 00:01:06.880]  大家要看的是黑色字
[00:01:06.880 --> 00:01:09.040]  紅色字
[00:01:09.040 --> 00:01:10.560]  和藍色字
[00:01:10.560 --> 00:01:14.600]  就是和合本本身有的中文字
[00:01:14.600 --> 00:01:17.840]  綠色字是我的註解
[00:01:17.840 --> 00:01:19.600]  藍色是什麼呢?
[00:01:19.600 --> 00:01:21.320]  藍色就是原文
[00:01:21.320 --> 00:01:23.400]  應該是沒有這個字的
[00:01:23.400 --> 00:01:25.280]  為什麼要寫下去呢?
[00:01:25.280 --> 00:01:28.840]  就是幫我們讀者容易明白一點
[00:01:29.200 --> 00:01:32.880]  紅色字就是想吸引眼球
