
[00:00:00.000 --> 00:00:03.320]  好 今天呢 要講一個題目
[00:00:03.320 --> 00:00:08.220]  經文裡面是非常熟悉的
[00:00:08.220 --> 00:00:12.440]  《創世紀》的22章的1到14節
[00:00:12.440 --> 00:00:16.400]  亞伯拉罕獻以下這段經文呢
[00:00:16.400 --> 00:00:18.400]  很多人都非常熟悉
[00:00:18.400 --> 00:00:20.120]  也很多人講過
[00:00:20.120 --> 00:00:23.400]  也是一個非常很爭議性的經文
[00:00:23.400 --> 00:00:25.200]  我也聽過很多人講
[00:00:25.200 --> 00:00:27.680]  通常呢 都會講亞伯拉罕呢
[00:00:27.680 --> 00:00:31.000]  是一個很順服 有信心
[00:00:31.000 --> 00:00:34.240]  通過上帝的考驗之類的
[00:00:34.240 --> 00:00:37.800]  也有人從那個批判的角度
[00:00:37.800 --> 00:00:41.080]  來讀這個經文 在討論
[00:00:41.080 --> 00:00:44.360]  哎呀 上帝是不是心裡不太正常
[00:00:44.360 --> 00:00:47.920]  要求亞伯拉罕做這麼殘忍的事
[00:00:47.920 --> 00:00:49.800]  只要是學術一點呢
[00:00:49.800 --> 00:00:53.000]  就會從一個倫理的角度來問
[00:00:53.000 --> 00:00:55.680]  那道德是否不正自明
[00:00:55.680 --> 00:00:58.600]  就是說這個世界道德不道德
[00:00:58.600 --> 00:01:01.360]  是由誰來決定
[00:01:01.360 --> 00:01:05.760]  是否呢 是上帝要我們去做的事情呢
[00:01:05.760 --> 00:01:08.760]  就一定合乎道德
[00:01:08.760 --> 00:01:11.480]  無需要通過人的理性
[00:01:11.480 --> 00:01:13.520]  那我們是受造之物
[00:01:13.520 --> 00:01:15.680]  我們有權去過問
[00:01:15.680 --> 00:01:17.960]  好像這個殺人的事件呢
[00:01:17.960 --> 00:01:23.480]  到底誰可以為正跟邪去定這個分界呢
[00:01:25.600 --> 00:01:28.560]  到底事件的對跟錯
[00:01:28.560 --> 00:01:31.160]  我們怎麼去判斷
[00:01:31.160 --> 00:01:33.080]  那我就按照經文的發展
[00:01:33.080 --> 00:01:35.640]  一點一點的看下去
[00:01:35.640 --> 00:01:39.360]  從一開始二十二章第一節呢
[00:01:39.360 --> 00:01:42.720]  就講了說這些事以後
[00:01:42.720 --> 00:01:44.160]  那什麼事以後呢
[00:01:44.160 --> 00:01:47.040]  經文說在二十一章記載了
[00:01:47.040 --> 00:01:48.800]  一共有好幾個事件
[00:01:48.800 --> 00:01:52.600]  第一個呢 就是他以沙出生了以後
[00:01:52.600 --> 00:01:55.760]  第二呢 就是趕走了以瑟瑪麗以後
[00:01:55.760 --> 00:01:56.760]  第三個呢
[00:01:56.760 --> 00:02:00.920]  就是亞伯拉罕跟亞比米勒立了約以後
[00:02:00.920 --> 00:02:03.560]  這個是代表了亞伯拉罕呢
[00:02:03.560 --> 00:02:07.720]  一生裡面好幾個人生不同的經歷
[00:02:07.720 --> 00:02:08.920]  那我們也可以說
[00:02:08.920 --> 00:02:12.440]  這個是一個人生新的階段
[00:02:12.440 --> 00:02:14.480]  一步一步的走下去
[00:02:14.480 --> 00:02:18.040]  他一步一步的認識耶和華
[00:02:18.040 --> 00:02:21.480]  他靈命呢 也一點一點的進步
[00:02:21.480 --> 00:02:25.360]  所以上帝沒有在十二章的時候
[00:02:25.360 --> 00:02:29.440]  一開始就要求亞伯拉罕去獻以撒
[00:02:29.440 --> 00:02:33.240]  他是先呼召他離開他的老家
[00:02:33.240 --> 00:02:36.400]  然後慢慢去試驗他
[00:02:36.400 --> 00:02:38.160]  最後走到這一步
[00:02:38.160 --> 00:02:40.760]  就把他兒子獻上以撒
[00:02:40.760 --> 00:02:43.600]  因為等他經歷了不同的事
