
[00:00:00.000 --> 00:00:01.660]  因為大部份都在這裏
[00:00:01.660 --> 00:00:05.400]  考考你們上個星期講到的時候講哪個人物
[00:00:05.400 --> 00:00:07.040]  還沒有記得嗎
[00:00:07.040 --> 00:00:09.000]  那個捲土重來
[00:00:09.000 --> 00:00:10.440]  我們學校的是誰
[00:00:10.440 --> 00:00:14.720]  是馬可
[00:00:14.720 --> 00:00:19.680]  我們在去年開始就講這個
[00:00:19.680 --> 00:00:21.680]  《聖經》裏面的一本書很重要的
[00:00:21.680 --> 00:00:23.280]  是《仕途行轉》
[00:00:23.280 --> 00:00:25.520]  接下來我們去到明年
[00:00:25.520 --> 00:00:27.800]  我們的題目都跟聖靈有關的
[00:00:27.800 --> 00:00:30.160]  所以我們會繼續講《仕途行轉》
[00:00:30.160 --> 00:00:32.160]  但是今天就不講《仕途行轉》了
[00:00:32.160 --> 00:00:36.040]  但是跟上一次這個《仕途行轉》的人物馬可有關係的
[00:00:36.040 --> 00:00:36.840]  為什麼呢
[00:00:36.840 --> 00:00:40.880]  因為我們今天講這個信息的經文
[00:00:40.880 --> 00:00:42.880]  就是出自哪一句福音
[00:00:42.880 --> 00:00:51.280]  在《馬可福音》第十章的四十五節
[00:00:51.280 --> 00:00:55.280]  這次經文就是全本馬可福音
[00:00:55.560 --> 00:00:58.120]  全本馬可福音的金句
[00:00:58.120 --> 00:01:01.000]  所以當馬可寫《馬可福音》的時候
[00:01:01.000 --> 00:01:04.400]  這節《聖經》可以說是全本福音書裏面
[00:01:04.400 --> 00:01:06.960]  是最重要的一節《聖經》
[00:01:06.960 --> 00:01:09.600]  所以這節《聖經》是講什麼的呢
[00:01:09.600 --> 00:01:14.360]  我們好不好一起去讀一讀這節的經文
[00:01:14.360 --> 00:01:16.520]  請大家同聲讀出好不好
[00:01:16.520 --> 00:01:17.560]  請讀
[00:01:17.560 --> 00:01:19.480]  因為人子來
[00:01:19.480 --> 00:01:22.640]  並不是要受人的服侍
[00:01:22.640 --> 00:01:25.000]  乃是服侍人
[00:01:25.000 --> 00:01:29.880]  並且要寫明作多人的宿教
[00:01:29.880 --> 00:01:31.960]  你試一下背了它好不好
[00:01:31.960 --> 00:01:33.160]  很容易背的
[00:01:33.160 --> 00:01:33.720]  試一下
[00:01:33.720 --> 00:01:35.960]  因為人子來
[00:01:35.960 --> 00:01:39.480]  並不是要受人的服侍
[00:01:39.480 --> 00:01:42.080]  乃是要服侍人
[00:01:42.080 --> 00:01:47.680]  並且要寫明作多人的宿教
[00:01:47.680 --> 00:01:50.440]  當馬可
[00:01:50.440 --> 00:01:54.360]  這位本來是一個富家子弟
[00:01:54.360 --> 00:01:57.440]  如果大家上個禮拜記得的話
[00:01:57.440 --> 00:01:59.840]  但是他嬌生慣養的
[00:01:59.840 --> 00:02:01.400]  有一點點辛苦
[00:02:01.400 --> 00:02:03.440]  可能他有時候也熬不住
[00:02:03.440 --> 00:02:05.360]  但是後來他成長
[00:02:05.360 --> 00:02:09.440]  他後來了解了信耶穌的意義
[00:02:09.440 --> 00:02:12.800]  更加在他人生的生命上
[00:02:12.800 --> 00:02:14.840]  越來越有改變
[00:02:14.840 --> 00:02:16.400]  越來越成長
[00:02:16.400 --> 00:02:21.800]  後來他就跟著兩個很重要的仕途
[00:02:21.800 --> 00:02:24.760]  就是保羅和巴拿伯
[00:02:24.760 --> 00:02:27.320]  他們來做宣教的工作
[00:02:27.320 --> 00:02:28.800]  他就去服侍
[00:02:28.800 --> 00:02:30.160]  他做幫手
[00:02:30.160 --> 00:02:31.800]  他就去學習
[00:02:31.800 --> 00:02:33.160]  去侍奉
[00:02:33.160 --> 00:02:35.840]  再後來他自己越來越成長
[00:02:35.840 --> 00:02:38.160]  雖然經過有起有跌
[00:02:38.160 --> 00:02:40.160]  但是最終他能夠成為
[00:02:40.160 --> 00:02:44.080]  神所使用很重要的一個工人
[00:02:44.080 --> 00:02:46.760]  不單止寫了馬可福音這本書
[00:02:46.760 --> 00:02:50.280]  更加後來有聖經的學者
[00:02:50.280 --> 00:02:52.600]  和當代的一些歷史家研究
[00:02:52.600 --> 00:02:54.600]  他去了埃及傳道
[00:02:54.600 --> 00:02:58.440]  建立了埃及地的一個新的教會
[00:02:58.440 --> 00:03:01.560]  他學習耶穌的榜樣去服侍
[00:03:01.560 --> 00:03:04.440]  所以當在這個馬可福音提到
[00:03:04.440 --> 00:03:07.120]  馬可福音最重要的一則經文
