
[00:00:00.000 --> 00:00:01.800]  希望我們當時有機會來
[00:00:01.800 --> 00:00:04.040]  帶我們一起在這個認會裏面
[00:00:04.040 --> 00:00:05.760]  讓我們彼此有個認識
[00:00:05.760 --> 00:00:07.440]  互相之間有個關心
[00:00:07.440 --> 00:00:08.680]  特別我們是家人
[00:00:08.680 --> 00:00:10.680]  可以在這個這麼好的場地裏面
[00:00:10.680 --> 00:00:12.840]  可以有些真的舒適的時間
[00:00:12.840 --> 00:00:13.840]  來使用我們
[00:00:13.840 --> 00:00:15.720]  讓我們能夠聽到一些講座的時候
[00:00:15.720 --> 00:00:17.160]  能夠對他們有些幫助
[00:00:17.160 --> 00:00:18.640]  聽到你們面前的祈禱交托
[00:00:18.640 --> 00:00:19.920]  那是奉主的德性的命
[00:00:19.920 --> 00:00:20.920]  對的
[00:00:20.920 --> 00:00:22.920]  在這裏呢
[00:00:22.920 --> 00:00:27.640]  剛才原來差不多全部都是第一代的紀錄圖
[00:00:27.640 --> 00:00:29.520]  我都是第一代的紀錄圖
[00:00:29.520 --> 00:00:31.320]  就是我父母還沒有信主
[00:00:31.320 --> 00:00:32.520]  那時候
[00:00:32.520 --> 00:00:34.600]  但是我們信了耶穌
[00:00:34.600 --> 00:00:37.920]  但是我們的兒女是第二代的紀錄圖
[00:00:37.920 --> 00:00:40.760]  但是一個很大的問題
[00:00:40.760 --> 00:00:43.800]  就是往往到了第二代的時候
[00:00:43.800 --> 00:00:45.880]  他小時候會跟你回教會
[00:00:45.880 --> 00:00:47.960]  一口無奈被你迫回去
[00:00:47.960 --> 00:00:49.960]  但是到了十幾歲的時候
[00:00:49.960 --> 00:00:53.000]  很容易他就不會再回教會了
[00:00:53.000 --> 00:00:55.800]  因為我們會講求自由權
[00:00:55.800 --> 00:00:59.840]  於是我們就不會再逼迫他們
[00:00:59.840 --> 00:01:03.240]  遲些我們會探討這個問題是否正確
[00:01:03.240 --> 00:01:08.040]  所以我們要很重視家庭教育
[00:01:08.040 --> 00:01:13.840]  家庭教育不單單只是教他們讀書
[00:01:13.840 --> 00:01:15.800]  在信仰上也是這樣
[00:01:15.800 --> 00:01:18.320]  但是我發現到有很多紀錄圖
[00:01:18.320 --> 00:01:22.080]  是把這個責任都交給教會
[00:01:22.080 --> 00:01:24.280]  就是教會有沒有好的主學
[00:01:24.280 --> 00:01:27.240]  有沒有好的兒童的工作
[00:01:27.240 --> 00:01:28.880]  以致他們肯回教會
[00:01:28.880 --> 00:01:31.480]  當然教會是需要的
[00:01:31.480 --> 00:01:35.320]  特別現在很多在香港移民過來英國的人
[00:01:35.320 --> 00:01:37.920]  其實是在努力下一代的教育
[00:01:37.920 --> 00:01:39.320]  所以如果在教會裡面
[00:01:39.320 --> 00:01:40.720]  如果我們知道我們的教會
[00:01:40.720 --> 00:01:43.200]  暫時教會是沒有兒童工作的
[00:01:43.200 --> 00:01:45.120]  所以可能留不到那些人
