
[00:00:00.000 --> 00:00:02.440]  各位靈智妹 大家好
[00:00:02.440 --> 00:00:06.400]  多謝 Pam 幫我們讀了一段這麼長的經文
[00:00:06.400 --> 00:00:10.840]  我們來到創世紀第41講
[00:00:10.840 --> 00:00:15.500]  上一次《說分傳道》講了些什麼 大家記不記得
[00:00:15.500 --> 00:00:22.400]  因為講到以撒逃避饑荒
[00:00:22.400 --> 00:00:25.800]  逃難到菲利士的基拉爾
[00:00:26.200 --> 00:00:31.300]  然後聲稱太太是他的妹妹
[00:00:31.300 --> 00:00:36.100]  這個情節在阿伯拉罕的事蹟中也出現過
[00:00:36.100 --> 00:00:42.700]  如果我們仔細看看聖經記載以撒的歷史
[00:00:42.700 --> 00:00:48.900]  其實你會發覺很多地方和阿伯拉罕很相似
[00:00:48.900 --> 00:00:53.300]  他們都是因為饑荒而逃難
[00:00:53.700 --> 00:00:56.900]  亦都去過基拉爾定居
[00:00:56.900 --> 00:01:01.900]  亦都聲稱自己太太是妹妹撒謊
[00:01:01.900 --> 00:01:04.700]  他們太太長期不育
[00:01:04.700 --> 00:01:08.000]  他們挖的井都是被人搶的
[00:01:08.000 --> 00:01:14.000]  他們都是和阿比米勒在別士巴訂立文約
[00:01:14.000 --> 00:01:17.500]  很多很多很相似的地方
[00:01:17.500 --> 00:01:23.600]  所以有些學者就以為摩西會不會搞錯
[00:01:24.000 --> 00:01:28.400]  是否他們重複記載了 擾亂了歷史呢?
[00:01:28.400 --> 00:01:34.100]  其實聖經這樣記載是非常有意思的
[00:01:34.100 --> 00:01:36.600]  是想告訴我們
[00:01:36.600 --> 00:01:41.600]  以撒和阿伯拉罕的人生軌跡是重疊的
[00:01:41.600 --> 00:01:44.300]  其實凸顯了一件事
[00:01:44.300 --> 00:01:49.600]  以撒延續著上帝對阿伯拉罕的約的線索
[00:01:50.200 --> 00:01:56.400]  亦都被人看到就算人多麼的軟弱
[00:01:56.400 --> 00:01:58.800]  重複的犯錯
[00:01:58.800 --> 00:02:03.200]  但是神對阿伯拉罕的應許
[00:02:03.200 --> 00:02:07.800]  仍然是跨世代堅定不移的實現中
[00:02:07.800 --> 00:02:11.600]  在這段經文我們看到
[00:02:11.600 --> 00:02:15.600]  神對阿伯拉罕的應許
[00:02:16.000 --> 00:02:22.800]  如何在很多不可能的當中仍然能夠逐步實現
[00:02:22.800 --> 00:02:26.200]  在看完經文之前我們一起禱告
[00:02:26.200 --> 00:02:30.400]  天父上帝 多謝祢
[00:02:30.400 --> 00:02:32.600]  祢似眼祢的說話
[00:02:32.600 --> 00:02:34.900]  求祢開我們的眼睛
[00:02:34.900 --> 00:02:38.400]  用祢的角度去看祢的說話
[00:02:38.400 --> 00:02:42.200]  求祢讓我們看到祢要我們看的東西
[00:02:43.200 --> 00:02:46.800]  讓我們明白神留這段聖經在今日
[00:02:46.800 --> 00:02:49.400]  對我們來說是甚麼心意
[00:02:49.400 --> 00:02:52.000]  多謝祢 祈禱奉耶穌的聖名
[00:02:52.000 --> 00:02:53.400]  阿門
[00:02:53.400 --> 00:03:04.000]  創世紀第26章開頭時
[00:03:04.000 --> 00:03:06.800]  以撒在那個地方耕種
[00:03:06.800 --> 00:03:09.200]  那個地方是基拉爾
[00:03:09.200 --> 00:03:12.200]  基拉爾大家看到那個位置是甚麼地方
[00:03:13.200 --> 00:03:14.400]  不用理會箭咀
[00:03:14.400 --> 00:03:15.800]  理會那個位置便可以了
[00:03:15.800 --> 00:03:21.600]  他說以撒在基拉爾這個地方耕種
[00:03:21.600 --> 00:03:25.000]  那一年有百倍的收成
[00:03:25.000 --> 00:03:29.000]  然後說切腹給他
[00:03:29.000 --> 00:03:31.200]  他有牛群羊群
[00:03:31.200 --> 00:03:32.400]  有很多僕人
[00:03:32.400 --> 00:03:34.000]  菲律賓人就襲到他
[00:03:34.000 --> 00:03:37.800]  成了大富翁 槍勝
[00:03:37.800 --> 00:03:40.000]  看到這裡的時候
[00:03:41.000 --> 00:03:43.200]  這些是很成功神學的感覺
[00:03:43.200 --> 00:03:45.800]  看到這麼好的
[00:03:45.800 --> 00:03:48.600]  跟耶和華說是無事抵
[00:03:48.600 --> 00:03:51.000]  我們試試看
[00:03:51.000 --> 00:03:55.000]  第一個不可能的事發生是甚麼呢?
[00:03:55.000 --> 00:03:58.600]  我們知道阿伯拉罕以撒
[00:03:58.600 --> 00:04:01.800]  他們不是一個農耕的民族
[00:04:01.800 --> 00:04:03.400]  是遊牧民族
[00:04:03.400 --> 00:04:07.400]  耕種對他們來說不在行
[00:04:07.400 --> 00:04:09.800]  但他們說甚麼呢?
[00:04:09.800 --> 00:04:12.800]  聖經說以撒在那地耕種
