
[00:00:00.000 --> 00:00:04.380]  好了,上一次,即是上個月
[00:00:04.380 --> 00:00:06.720]  即是小弟講到
[00:00:06.720 --> 00:00:09.720]  其實就介紹了一位朋友給大家認識的
[00:00:09.720 --> 00:00:11.460]  大家記不記得是誰?
[00:00:11.460 --> 00:00:13.160]  俄別爾東
[00:00:13.160 --> 00:00:16.540]  即是裏面,原來他是一個很追尋神的人
[00:00:16.540 --> 00:00:20.760]  今天我很想介紹另一位朋友給大家認識
[00:00:20.760 --> 00:00:22.120]  就是叫摩西
[00:00:22.120 --> 00:00:24.180]  那你說,摩西認識啦
[00:00:24.180 --> 00:00:26.400]  還用說的,還用聽的
[00:00:26.400 --> 00:00:29.400]  所以其實大家自小在教會
[00:00:29.400 --> 00:00:32.480]  出席主要學,講道等等
[00:00:32.480 --> 00:00:34.480]  你都會聽到摩西這個人
[00:00:34.480 --> 00:00:36.480]  就算你沒有回過教會
[00:00:36.480 --> 00:00:39.800]  其實你看電影,有一套電影叫《十誡》
[00:00:39.800 --> 00:00:42.260]  另外一套卡通片叫《埃及王子》
[00:00:42.260 --> 00:00:44.600]  挺好看的,亦都是講摩西的
[00:00:44.600 --> 00:00:47.720]  所以你會知道摩西究竟是一個甚麼人
[00:00:47.720 --> 00:00:49.720]  發生過大約是甚麼事
[00:00:49.720 --> 00:00:53.620]  最厲害的就是拿支棍來插在紅海,紅海就分開了
[00:00:53.620 --> 00:00:56.960]  最厲害,多厲害
[00:00:56.960 --> 00:01:00.040]  不過在基督徒眼中
[00:01:00.040 --> 00:01:03.520]  我不知道摩西對你們來說有甚麼印象
[00:01:03.520 --> 00:01:06.880]  當我看摩西,你覺得如何形容這個人呢?
[00:01:06.880 --> 00:01:09.600]  可不可以跟隔壁的人談談
[00:01:09.600 --> 00:01:15.180]  看摩西,你會如何形容這位朋友呢?
[00:01:15.180 --> 00:01:17.180]  阿摩生
[00:01:17.180 --> 00:01:21.240]  阿大摩,摩西
[00:01:26.960 --> 00:01:32.200]  有沒有?很簡單,很簡單
[00:01:32.200 --> 00:01:35.200]  又大聲說出答案
[00:01:35.200 --> 00:01:40.000]  你們討論的,摩西是
[00:01:40.000 --> 00:01:44.440]  有沒有人?你可以大聲叫出答案
[00:01:44.440 --> 00:01:46.440]  你們覺得,摩西
[00:01:46.440 --> 00:01:50.920]  摩西
[00:01:50.920 --> 00:01:53.920]  阿謙卑,還有呢?
[00:01:53.920 --> 00:01:58.920]  摩西謙卑,正確
[00:01:58.920 --> 00:02:00.920]  還有呢?
[00:02:00.920 --> 00:02:03.920]  勇敢,嘩,帶這班人出去
[00:02:03.920 --> 00:02:07.920]  勇敢,摩西很謙卑,摩西勇敢,還有呢?
[00:02:07.920 --> 00:02:11.920]  還有呢?
[00:02:11.920 --> 00:02:16.920]  神的朋友,對了,很多這類的評價
[00:02:16.920 --> 00:02:18.920]  但摩西,正確的
[00:02:18.920 --> 00:02:24.920]  但摩西的工作,你可能給我們基督徒的感覺
[00:02:24.920 --> 00:02:30.920]  其實摩西是一個給我感覺挺functional的人
[00:02:30.920 --> 00:02:33.920]  因為整本律法是他寫的
[00:02:33.920 --> 00:02:36.920]  神默示他,然後他寫出來
[00:02:36.920 --> 00:02:41.920]  另外他要處理很多事情
[00:02:41.920 --> 00:02:45.920]  所以可能大家沒甚麼機會
[00:02:45.920 --> 00:02:50.920]  想起摩西就會想起工作,寫律法,怎樣安排
[00:02:50.920 --> 00:02:56.920]  但很少在聖經裏會看到摩西有他那份
[00:02:56.920 --> 00:02:59.920]  我真的用一份溫柔來形容
[00:02:59.920 --> 00:03:03.920]  摩西那份溫柔,鐵漢柔情
[00:03:03.920 --> 00:03:07.920]  當我們一想起漢武神
[00:03:07.920 --> 00:03:09.920]  我們會想起大衛
[00:03:09.920 --> 00:03:15.920]  當我們想起漢武神或是仕途約翰,在耶穌的胸膛
[00:03:15.920 --> 00:03:19.920]  但我們比較少想起摩西
[00:03:19.920 --> 00:03:24.920]  但其實摩西都是一個漢武神的人
[00:03:24.920 --> 00:03:27.920]  在這裏我想猜少少,但都是有關係的
[00:03:27.920 --> 00:03:35.920]  在聖經裏記載了很多男人
[00:03:35.920 --> 00:03:38.920]  其實他們對神非常之渴慕
[00:03:38.920 --> 00:03:43.920]  他們很愛神,他們敬拜和祈禱都是很棒的
[00:03:43.920 --> 00:03:48.920]  所以其實男人都可以對神有這份激情
[00:03:48.920 --> 00:03:51.920]  男人可以對神有這份激情
[00:03:51.920 --> 00:03:56.920]  而且你想想,男人如果被挑起那份對神的渴慕
[00:03:56.920 --> 00:04:03.920]  我想這個世界,至少教會,至少我們的家庭是不再一樣的
[00:04:03.920 --> 00:04:08.920]  為甚麼呢?當我們想起對神的渴慕,很多時候
[00:04:08.920 --> 00:04:12.920]  現在,至少我,我會想起對神的渴慕
[00:04:12.920 --> 00:04:14.920]  很多時候反而會想起姐妹
[00:04:14.920 --> 00:04:23.920]  不知為甚麼,可能姐妹很容易表達她裏面那種情感
[00:04:23.920 --> 00:04:27.920]  她裏面那種豐富,但男士不是
[00:04:27.920 --> 00:04:31.920]  男士相對地會在這方面,在感受上難表達
[00:04:31.920 --> 00:04:36.920]  或者所謂的收斂一點,含蓄一點
[00:04:36.920 --> 00:04:42.920]  所以有時候見到在一些特別的特會裏面
[00:04:42.920 --> 00:04:45.920]  會給我們的感覺,多數都是姐妹
[00:04:45.920 --> 00:04:48.920]  當然,大陸內地那些,真的不是
[00:04:48.920 --> 00:04:51.920]  內地那些,我覺得內地的教會
[00:04:51.920 --> 00:04:55.920]  復興其中一樣東西就是男人
[00:04:55.920 --> 00:04:58.920]  尤其是去外面的聚會
[00:04:58.920 --> 00:05:01.920]  我們見到很多男人都可以來呼求神
[00:05:01.920 --> 00:05:04.920]  很大聲,哭喊地來呼求神
[00:05:04.920 --> 00:05:08.920]  「神啊,我要你啊,主啊,你幫助我們啊」等等
