
[00:00:00.000 --> 00:00:06.560]  肥利門書其實就是保羅寫給肥利門的一個私人信函
[00:00:06.560 --> 00:00:15.000]  也都是在當時這一類有些私人信函都會在教會當中來去傳閱的
[00:00:15.000 --> 00:00:22.360]  肥利門書另外一個特點就是它其實是跟這個哥羅西書是一起寫的
[00:00:22.360 --> 00:00:25.160]  也是一起送到哥羅西的地方
[00:00:25.160 --> 00:00:31.360]  因為肥利門就是在哥羅西的教會裡面的一個領袖人物
[00:00:31.360 --> 00:00:38.000]  這本書裡面提到另外一個人就是阿尼西姆
[00:00:38.000 --> 00:00:41.720]  或者我們新日本新標點裡面說的阿尼西謀
[00:00:41.720 --> 00:00:43.200]  說這個人是什麼呢?
[00:00:43.200 --> 00:00:48.720]  這個人本來是屬於肥利門家裡面的一個奴隸
[00:00:48.720 --> 00:00:52.640]  當時的促養奴隸是合法的
[00:00:52.640 --> 00:00:56.920]  不過這個阿尼西謀就是因為某些的緣故
[00:00:56.920 --> 00:00:59.760]  其實沒有什麼說得很清楚的
[00:00:59.760 --> 00:01:04.640]  不過只是知道一件事就是當然有其他猜想是因為什麼什麼
[00:01:04.640 --> 00:01:06.480]  但是事實是什麼呢?
[00:01:06.480 --> 00:01:11.040]  事實就是他逃離了他主人家 走了
[00:01:11.040 --> 00:01:17.600]  其實在當時一個奴隸他是主人的財產來的應該這麼說
[00:01:17.600 --> 00:01:20.440]  但是他逃離了這是很大的一件事
[00:01:20.440 --> 00:01:23.880]  這個阿尼西謀他逃離了之後
[00:01:23.880 --> 00:01:28.000]  他就在保羅坐牢的地方
[00:01:28.000 --> 00:01:31.400]  也就是遇到保羅的時候
[00:01:31.400 --> 00:01:33.560]  是保羅帶他去信耶穌
[00:01:33.560 --> 00:01:37.080]  他上了主之後保羅就非常愛他
[00:01:37.080 --> 00:01:38.880]  剛才讀到經文裡面就說
[00:01:38.880 --> 00:01:43.000]  他跟肥利門說過阿尼西謀簡直是我心上的人
[00:01:43.000 --> 00:01:46.520]  就是很愛他 很愛惜他
[00:01:46.520 --> 00:01:52.000]  因為這個緣故他很想為他做點事情
[00:01:52.000 --> 00:01:55.080]  其中這件事在這個肥利門書就是
[00:01:55.080 --> 00:02:01.200]  他打發阿尼西謀回去他的主人肥利門那裡
