
[00:00:00.000 --> 00:00:02.000]  丁子妹主內平安
[00:00:02.000 --> 00:00:05.000]  我們再一次同心禱告
[00:00:05.000 --> 00:00:10.000]  生命的主願意你掌管我們的生命
[00:00:10.000 --> 00:00:14.000]  在今天高舉個人的能力當中
[00:00:14.000 --> 00:00:16.000]  願意我們在你面前
[00:00:16.000 --> 00:00:20.000]  去承認我們自己的不足
[00:00:20.000 --> 00:00:22.000]  自己的軟弱
[00:00:22.000 --> 00:00:24.000]  我們祈求生命的主
[00:00:24.000 --> 00:00:27.000]  去帶領我們前面的道路
[00:00:27.000 --> 00:00:29.000]  因為我們要仰望你
[00:00:29.000 --> 00:00:31.000]  去倚靠你
[00:00:31.000 --> 00:00:35.000]  求主賜給我們每日所需的飲食
[00:00:35.000 --> 00:00:38.000]  讓我們定精在基督的身上
[00:00:38.000 --> 00:00:41.000]  上上思念主的愛
[00:00:41.000 --> 00:00:42.000]  以上禱告
[00:00:42.000 --> 00:00:45.000]  奉主耶穌基督的聖名祈求
[00:00:45.000 --> 00:00:46.000]  阿們
[00:00:46.000 --> 00:00:51.000]  我想問問大家有沒有看過這齣戲呢
[00:00:51.000 --> 00:00:56.000]  這齣戲叫做《一百二十七小時》
[00:00:56.000 --> 00:00:59.000]  曾經幾年前在香港上映過
[00:00:59.000 --> 00:01:01.000]  這齣戲其實改編自
[00:01:01.000 --> 00:01:05.000]  美國的登山家艾倫的自傳
[00:01:05.000 --> 00:01:07.000]  整齣戲就是說
[00:01:07.000 --> 00:01:10.000]  有一天艾倫在美國猶他州
[00:01:10.000 --> 00:01:12.000]  去攀登大峽谷其中一段
[00:01:12.000 --> 00:01:14.000]  大家知道大峽谷
[00:01:14.000 --> 00:01:16.000]  如果你去過或者你看過照片
[00:01:16.000 --> 00:01:20.000]  你會知道很多很宏偉的石頭
[00:01:20.000 --> 00:01:24.000]  有很多不斷很不同的改變
[00:01:24.000 --> 00:01:26.000]  每一段都有不同的
[00:01:26.000 --> 00:01:28.000]  那天天氣很好
[00:01:28.000 --> 00:01:31.000]  他正享受攀爬的樂趣的時候
[00:01:31.000 --> 00:01:34.000]  不知為何突然間一跌
[00:01:34.000 --> 00:01:36.000]  跌到一個裂縫那裡
[00:01:36.000 --> 00:01:37.000]  一摔摔下去
[00:01:37.000 --> 00:01:38.000]  然後引動了一塊石頭
[00:01:38.000 --> 00:01:40.000]  一夾夾住他的右手
[00:01:40.000 --> 00:01:42.000]  卡住了在那裡
[00:01:42.000 --> 00:01:44.000]  不可以上
[00:01:44.000 --> 00:01:46.000]  不可以下
[00:01:46.000 --> 00:01:49.000]  完全不能動
[00:01:51.000 --> 00:01:56.000]  於是他用盡了這麼多年爬山的經驗
[00:01:56.000 --> 00:01:59.000]  隨身帶備一些很簡單的
[00:01:59.000 --> 00:02:03.000]  各樣的儀器器具去幫他
[00:02:03.000 --> 00:02:05.000]  希望脫險
[00:02:05.000 --> 00:02:07.000]  但無論如何
[00:02:07.000 --> 00:02:10.000]  用盡各樣的方法
[00:02:10.000 --> 00:02:12.000]  都搞不定
[00:02:12.000 --> 00:02:16.000]  127小時
[00:02:16.000 --> 00:02:18.000]  即是多少天?
[00:02:18.000 --> 00:02:20.000]  5天是嗎?
[00:02:20.000 --> 00:02:22.000]  就在這5天裡面
[00:02:22.000 --> 00:02:26.000]  白天他經歷了很炎熱的天氣
[00:02:26.000 --> 00:02:29.000]  晚上經歷了很寒冷的天氣
[00:02:29.000 --> 00:02:32.000]  經歷了身體因著缺水
[00:02:32.000 --> 00:02:33.000]  因著沒有食物
[00:02:33.000 --> 00:02:36.000]  越來越軟弱
[00:02:36.000 --> 00:02:41.000]  人的意志也都被那份恐懼
[00:02:41.000 --> 00:02:44.000]  所折磨到差不多沒有了
[00:02:44.000 --> 00:02:48.000]  他差不多想放棄
[00:02:49.000 --> 00:02:51.000]  因為對他來說
[00:02:51.000 --> 00:02:55.000]  這是一個完全絕望的一個境況
[00:02:55.000 --> 00:03:00.000]  當他想放棄自己的時候
[00:03:00.000 --> 00:03:02.000]  他突然間想到
[00:03:02.000 --> 00:03:04.000]  在一個迷迷茫茫當中
[00:03:04.000 --> 00:03:05.000]  他想到的就是
[00:03:05.000 --> 00:03:08.000]  那些家人是多麼的愛惜他
[00:03:08.000 --> 00:03:10.000]  他想到他的子女
[00:03:10.000 --> 00:03:11.000]  他想到他太太
[00:03:11.000 --> 00:03:14.000]  他想到他很想能夠有機會
[00:03:14.000 --> 00:03:18.000]  再一次和他這些心愛他的家人
[00:03:18.000 --> 00:03:21.000]  他也都很心愛他這些的家人
[00:03:21.000 --> 00:03:25.000]  來到有重聚的機會
[00:03:25.000 --> 00:03:30.000]  所以這一絲的盼望
[00:03:30.000 --> 00:03:33.000]  這一絲來自愛的盼望
[00:03:33.000 --> 00:03:36.000]  重燃他生存的意志
[00:03:36.000 --> 00:03:38.000]  所以他再定一定
[00:03:38.000 --> 00:03:39.000]  再想一想
[00:03:39.000 --> 00:03:41.000]  再用各種的方式
[00:03:41.000 --> 00:03:43.000]  最後
[00:03:43.000 --> 00:03:46.000]  最後你知道他怎樣脫險嗎?
[00:03:47.000 --> 00:03:51.000]  他就用他隨身帶備一個很小的一把刀
[00:03:51.000 --> 00:03:54.000]  是不多鋒利的一把刀
[00:03:54.000 --> 00:03:56.000]  忍著痛
[00:03:56.000 --> 00:03:58.000]  一下一下
[00:03:58.000 --> 00:04:02.000]  將自己的右手前臂割了下來
[00:04:02.000 --> 00:04:05.000]  因為剛好壓住了前臂
[00:04:05.000 --> 00:04:10.000]  當然最後的故事就是
[00:04:10.000 --> 00:04:12.000]  他能夠脫險
[00:04:14.000 --> 00:04:19.000]  兄弟姐妹,可能我們今天都落入了一個
