
[00:00:00.000 --> 00:00:04.000]  夫臣姐妹,讓我們再次回到上主的說話之前
[00:00:04.000 --> 00:00:06.500]  一起以禱告預備我們心思意念
[00:00:06.500 --> 00:00:08.500]  仰望我們主於我們的神當中
[00:00:08.500 --> 00:00:11.500]  求上帝的靈幫助我們明白當中的教導
[00:00:11.500 --> 00:00:17.000]  父臣,多謝你
[00:00:17.000 --> 00:00:21.500]  你讓我們再次回來可以勾歌頌讚
[00:00:21.500 --> 00:00:24.500]  讓我們可以回來打開你的說話
[00:00:24.500 --> 00:00:26.500]  明白主義你的教導
[00:00:26.500 --> 00:00:29.000]  我們再次為此懇求
[00:00:29.000 --> 00:00:32.000]  賜予智慧的聖靈
[00:00:32.000 --> 00:00:36.000]  讓我們能夠在當中動息上主你的心思意念
[00:00:36.000 --> 00:00:43.000]  好使昔日你獨生兒子耶穌基督地上所作成的工作
[00:00:43.000 --> 00:00:46.000]  成為我們今天每個信徒
[00:00:46.000 --> 00:00:52.000]  知曉如何行這條屬靈的道路的根基和基礎
[00:00:52.000 --> 00:00:58.000]  要讓耶穌的啟示成為了我們每一個信徒
[00:00:58.000 --> 00:01:08.000]  更加學會如何去調整我們在罪惡世界裡所牽引的墮落
[00:01:08.000 --> 00:01:11.000]  重歸於上主你的面前
[00:01:11.000 --> 00:01:15.000]  我們為這件事情懇求主你的帶領
[00:01:15.000 --> 00:01:21.000]  無論聽的、說的都在當中可以不住成長
[00:01:21.000 --> 00:01:23.000]  更像恩主你
[00:01:23.000 --> 00:01:27.000]  禱告奉靠主耶穌基督得聖的名字而求
[00:01:27.000 --> 00:01:30.000]  阿門
[00:01:30.000 --> 00:01:34.000]  我曾經認識一個家庭
[00:01:34.000 --> 00:01:38.000]  這個家庭裡面有兩兄弟
[00:01:38.000 --> 00:01:47.000]  這個家庭這兩兄弟後來他們漸漸在這個世界打滾生活
[00:01:47.000 --> 00:01:50.000]  就開始有自己的家室
[00:01:50.000 --> 00:01:54.000]  正所謂成家立室
[00:01:54.000 --> 00:01:59.000]  不過這兩兄弟他們的發展的路向就很不同
[00:01:59.000 --> 00:02:02.000]  其中我認識的一位
[00:02:02.000 --> 00:02:06.000]  他本來都做了一份挺好的工作
[00:02:06.000 --> 00:02:12.000]  不過後來因為他的妻子早逝死了
[00:02:12.000 --> 00:02:13.000]  那沒辦法了
[00:02:13.000 --> 00:02:20.000]  他就唯有留在家裡跟他兩個兒子一起住
[00:02:20.000 --> 00:02:24.000]  不過這兩兄弟就很不生性
[00:02:24.000 --> 00:02:27.000]  要麼就經常沒事做
[00:02:27.000 --> 00:02:29.000]  沒事做很多原因
[00:02:29.000 --> 00:02:31.000]  我在這裡不是這個討論焦點
[00:02:31.000 --> 00:02:33.000]  沒事做是一件事
[00:02:33.000 --> 00:02:34.000]  但是沒事做之後
[00:02:34.000 --> 00:02:39.000]  有時候就是伸手向他爸爸拿錢
[00:02:39.000 --> 00:02:42.000]  又說要做生意又怎樣
[00:02:42.000 --> 00:02:43.000]  結果這個老人家
[00:02:43.000 --> 00:02:50.000]  差不多他的家當都完全是花光在他這兩個兒子上面
[00:02:50.000 --> 00:02:55.000]  但是這兩個兒子仍然都是他的生活很放蕩
[00:02:55.000 --> 00:02:57.000]  可有可無
[00:02:57.000 --> 00:02:58.000]  不是沒有子女的
[00:02:58.000 --> 00:03:00.000]  不是沒有結婚的那些子女
[00:03:00.000 --> 00:03:08.000]  不過根本是沒有放時間在他子女的成長栽培上面
[00:03:08.000 --> 00:03:17.000]  這位老人家後來也有一個機會去探訪他的兄弟
[00:03:17.000 --> 00:03:20.000]  他的兄弟的情況就很不同
[00:03:20.000 --> 00:03:23.000]  他的兄弟同樣有子女
