
[00:00:00.000 --> 00:00:02.960]  今日的題目是謙卑三
[00:00:02.960 --> 00:00:06.280]  愛心互助 謙卑服侍
[00:00:06.280 --> 00:00:08.480]  愛心互助 謙卑服侍
[00:00:08.480 --> 00:00:11.800]  這其實是我們教會很想做到
[00:00:11.800 --> 00:00:17.240]  亦是我們在教會裏應該做到的事情
[00:00:17.240 --> 00:00:19.680]  但是我們在教會裏
[00:00:19.680 --> 00:00:22.120]  我們有不同的性格
[00:00:22.120 --> 00:00:24.680]  有不同的成長背景
[00:00:24.680 --> 00:00:28.800]  不同處事方法的人走在一起
[00:00:28.800 --> 00:00:30.840]  可能在過往我們發現
[00:00:30.840 --> 00:00:32.960]  在教會裏面大家一起去侍奉
[00:00:32.960 --> 00:00:35.400]  一起去做一樣東西
[00:00:35.400 --> 00:00:37.520]  都未必一定很順暢的
[00:00:37.520 --> 00:00:39.120]  是不是
[00:00:39.120 --> 00:00:43.920]  我們說要愛心互助 謙卑服侍
[00:00:43.920 --> 00:00:47.280]  怎樣做到呢
[00:00:47.280 --> 00:00:50.080]  雖然我們信了耶穌
[00:00:50.080 --> 00:00:51.840]  但是在教會裏面
[00:00:51.840 --> 00:00:55.640]  我們同樣經常有軟弱 犯罪
[00:00:55.640 --> 00:01:00.440]  我們仍然有自私自我的一面
[00:01:00.440 --> 00:01:01.880]  這樣的時候
[00:01:01.880 --> 00:01:03.760]  當我們走在一起
[00:01:03.760 --> 00:01:07.600]  怎樣可以做到真真正正的愛心互助
[00:01:07.600 --> 00:01:11.000]  謙卑去服侍其他人呢
[00:01:11.000 --> 00:01:12.600]  今日我們看菲臘比書
[00:01:12.600 --> 00:01:17.120]  菲臘比書其實當時保羅是在坐牢的
[00:01:17.120 --> 00:01:18.160]  保羅是在坐牢
[00:01:18.160 --> 00:01:20.160]  而菲臘比教會
[00:01:20.160 --> 00:01:23.080]  亦都受到很多異端的侵襲
[00:01:23.080 --> 00:01:24.800]  所以保羅就寫這一封信
[00:01:24.800 --> 00:01:26.200]  他不能去到菲臘比那裏
[00:01:26.200 --> 00:01:29.080]  但是他寫一封信給菲臘比的弟兄姊妹
[00:01:29.080 --> 00:01:32.480]  兼顧他們對耶穌基督的信心
[00:01:32.480 --> 00:01:35.400]  鼓勵他們行事為人
[00:01:35.400 --> 00:01:39.120]  就要和基督的福音相稱
[00:01:39.120 --> 00:01:41.160]  鼓勵他們齊心努力
[00:01:41.160 --> 00:01:42.800]  要對抗外敵
[00:01:42.800 --> 00:01:45.640]  鞏固他們內裏的團結
[00:01:45.640 --> 00:01:48.400]  所以我們今日看這段經文的時候
[00:01:48.400 --> 00:01:50.280]  求主幫助我們
[00:01:50.280 --> 00:01:52.600]  有三點的學習
[00:01:52.600 --> 00:01:55.160]  怎樣我們真的能夠做到
[00:01:55.160 --> 00:01:56.920]  在教會裏面愛心互助
[00:01:56.920 --> 00:01:58.160]  謙卑服侍
[00:01:58.160 --> 00:02:00.160]  我們一齊先低頭祈禱
[00:02:22.600 --> 00:02:25.480]  求主祢的靈與我們同在
[00:02:25.480 --> 00:02:27.560]  激勵我們
[00:02:27.560 --> 00:02:31.960]  叫我們聽到由行出神力的道
[00:02:31.960 --> 00:02:33.920]  我們將以下一段時間交上
[00:02:33.920 --> 00:02:36.160]  禱告奉耶穌基督的聖名
[00:02:36.160 --> 00:02:37.680]  阿們
[00:02:37.680 --> 00:02:39.920]  要實踐這一點第一點
[00:02:39.920 --> 00:02:42.320]  求同存異
[00:02:42.320 --> 00:02:44.120]  為甚麼呢
[00:02:44.120 --> 00:02:46.520]  我想說一下「存」字
[00:02:46.520 --> 00:02:49.840]  「存」是存異象
